Date,IGPL
2016-01-01,127.95
2016-01-04,127.1
2016-01-05,131.0
2016-01-06,129.95
2016-01-07,124.45
2016-01-08,126.5
2016-01-11,126.1
2016-01-12,123.85
2016-01-13,119.5
2016-01-14,115.25
2016-01-15,110.35
2016-01-18,99.2
2016-01-19,103.35
2016-01-20,101.75
2016-01-21,100.15
2016-01-22,104.2
2016-01-25,103.3
2016-01-27,105.4
2016-01-28,106.45
2016-01-29,114.4
2016-02-01,114.6
2016-02-02,117.3
2016-02-03,110.95
2016-02-04,103.75
2016-02-05,109.25
2016-02-08,108.1
2016-02-09,104.4
2016-02-10,98.7
2016-02-11,89.55
2016-02-12,85.0
2016-02-15,91.0
2016-02-16,85.65
2016-02-17,86.85
2016-02-18,90.6
2016-02-19,91.95
2016-02-22,93.15
2016-02-23,89.35
2016-02-24,85.3
2016-02-25,83.15
2016-02-26,79.6
2016-02-29,80.8
2016-03-01,85.35
2016-03-02,86.75
2016-03-03,89.85
2016-03-04,93.45
2016-03-08,99.25
2016-03-09,99.2
2016-03-10,98.95
2016-03-11,99.05
2016-03-14,105.0
2016-03-15,105.2
2016-03-16,104.2
2016-03-17,106.15
2016-03-18,107.25
2016-03-21,107.1
2016-03-22,105.85
2016-03-23,106.2
2016-03-28,102.95
2016-03-29,102.85
2016-03-30,105.1
2016-03-31,103.6
2016-04-01,108.1
2016-04-04,112.05
2016-04-05,114.75
2016-04-06,120.3
2016-04-07,117.05
2016-04-08,116.25
2016-04-11,123.2
2016-04-12,124.1
2016-04-13,121.15
2016-04-18,121.25
2016-04-20,127.6
2016-04-21,125.4
2016-04-22,125.15
2016-04-25,123.8
2016-04-26,124.55
2016-04-27,126.8
2016-04-28,125.75
2016-04-29,127.8
2016-05-02,134.3
2016-05-03,132.1
2016-05-04,132.9
2016-05-05,134.2
2016-05-06,135.6
2016-05-09,135.5
2016-05-10,134.85
2016-05-11,135.7
2016-05-12,135.85
2016-05-13,133.65
2016-05-16,141.55
2016-05-17,136.55
2016-05-18,143.3
2016-05-19,140.75
2016-05-20,139.15
2016-05-23,141.85
2016-05-24,128.1
2016-05-25,126.85
2016-05-26,126.9
2016-05-27,128.3
2016-05-30,129.25
2016-05-31,128.25
2016-06-01,127.65
2016-06-02,127.65
2016-06-03,131.25
2016-06-06,135.85
2016-06-07,142.9
2016-06-08,139.3
2016-06-09,140.85
2016-06-10,137.75
2016-06-13,140.15
2016-06-14,137.0
2016-06-15,143.1
2016-06-16,145.8
2016-06-17,145.9
2016-06-20,145.9
2016-06-21,145.3
2016-06-22,143.75
2016-06-23,142.8
2016-06-24,146.05
2016-06-27,153.35
2016-06-28,158.3
2016-06-29,165.3
2016-06-30,161.45
2016-07-01,157.85
2016-07-04,165.15
2016-07-05,163.8
2016-07-07,160.15
2016-07-08,157.8
2016-07-11,157.35
2016-07-12,152.5
2016-07-13,152.2
2016-07-14,160.4
2016-07-15,157.55
2016-07-18,158.9
2016-07-19,159.35
2016-07-20,162.05
2016-07-21,164.8
2016-07-22,160.6
2016-07-25,161.15
2016-07-26,157.85
2016-07-27,155.45
2016-07-28,154.75
2016-07-29,153.8
2016-08-01,150.7
2016-08-02,148.5
2016-08-03,151.6
2016-08-04,150.05
2016-08-05,155.15
2016-08-08,155.9
2016-08-09,152.15
2016-08-10,151.15
2016-08-11,155.55
2016-08-12,153.55
2016-08-16,154.4
2016-08-17,155.5
2016-08-18,159.95
2016-08-19,159.75
2016-08-22,161.1
2016-08-23,161.45
2016-08-24,164.95
2016-08-25,160.95
2016-08-26,157.6
2016-08-29,159.25
2016-08-30,176.85
2016-08-31,174.7
2016-09-01,173.95
2016-09-02,167.05
2016-09-06,166.95
2016-09-07,167.65
2016-09-08,170.25
2016-09-09,169.95
2016-09-12,166.5
2016-09-14,187.85
2016-09-15,186.15
2016-09-16,191.65
2016-09-19,195.15
2016-09-20,201.25
2016-09-21,200.65
2016-09-22,202.5
2016-09-23,197.25
2016-09-26,194.15
2016-09-27,194.9
2016-09-28,195.3
2016-09-29,182.05
2016-09-30,193.65
2016-10-03,219.05
2016-10-04,247.75
2016-10-05,242.55
2016-10-06,231.7
2016-10-07,240.3
2016-10-10,240.95
2016-10-13,233.8
2016-10-14,235.35
2016-10-17,236.95
2016-10-18,233.85
2016-10-19,232.5
2016-10-20,236.05
2016-10-21,234.45
2016-10-24,233.45
2016-10-25,233.5
2016-10-26,267.25
2016-10-27,259.5
2016-10-28,289.75
2016-10-30,303.45
2016-11-01,330.0
2016-11-02,324.6
2016-11-03,292.15
2016-11-04,270.2
2016-11-07,280.65
2016-11-08,276.5
2016-11-09,271.85
2016-11-10,251.65
2016-11-11,250.9
2016-11-15,233.45
2016-11-16,220.7
2016-11-17,210.8
2016-11-18,212.85
2016-11-21,202.25
2016-11-22,192.15
2016-11-23,201.75
2016-11-24,211.8
2016-11-25,222.35
2016-11-28,233.45
2016-11-29,245.1
2016-11-30,254.15
2016-12-01,245.45
2016-12-02,233.2
2016-12-05,235.1
2016-12-06,224.0
2016-12-07,222.95
2016-12-08,234.05
2016-12-09,245.75
2016-12-12,250.7
2016-12-13,250.7
2016-12-14,248.45
2016-12-15,249.0
2016-12-16,244.15
2016-12-19,242.1
2016-12-20,233.25
2016-12-21,230.55
2016-12-22,223.8
2016-12-23,228.45
2016-12-26,219.15
2016-12-27,220.85
2016-12-28,220.7
2016-12-29,226.8
2016-12-30,231.7
