Date,REFEX
2016-01-01,8.35
2016-01-04,8.75
2016-01-05,9.6
2016-01-06,10.2
2016-01-07,10.35
2016-01-08,12.4
2016-01-11,13.6
2016-01-12,13.85
2016-01-13,12.7
2016-01-14,12.2
2016-01-15,11.0
2016-01-18,10.1
2016-01-19,10.5
2016-01-20,10.0
2016-01-21,9.5
2016-01-22,9.4
2016-01-25,9.6
2016-01-27,9.15
2016-01-28,8.8
2016-01-29,9.1
2016-02-01,9.05
2016-02-02,8.95
2016-02-03,8.7
2016-02-04,8.5
2016-02-05,8.55
2016-02-08,8.5
2016-02-09,8.55
2016-02-10,8.85
2016-02-11,8.1
2016-02-12,7.55
2016-02-15,8.3
2016-02-16,7.9
2016-02-17,7.5
2016-02-18,7.9
2016-02-19,8.15
2016-02-22,7.7
2016-02-23,7.55
2016-02-24,7.85
2016-02-25,7.6
2016-02-26,7.25
2016-02-29,7.65
2016-03-01,7.85
2016-03-02,8.15
2016-03-03,8.45
2016-03-04,8.25
2016-03-08,8.0
2016-03-09,8.2
2016-03-10,8.25
2016-03-11,7.8
2016-03-14,7.8
2016-03-15,8.0
2016-03-16,8.2
2016-03-17,7.8
2016-03-18,7.55
2016-03-21,7.7
2016-03-22,7.6
2016-03-23,7.55
2016-03-28,7.5
2016-03-29,7.5
2016-03-30,7.35
2016-03-31,7.5
2016-04-01,7.25
2016-04-04,7.25
2016-04-05,7.55
2016-04-06,7.8
2016-04-07,7.5
2016-04-08,7.8
2016-04-11,7.6
2016-04-12,7.6
2016-04-13,7.7
2016-04-18,7.5
2016-04-20,7.4
2016-04-21,7.45
2016-04-22,7.75
2016-04-25,7.8
2016-04-26,7.9
2016-04-27,8.1
2016-04-28,8.1
2016-04-29,7.95
2016-05-02,7.8
2016-05-03,8.0
2016-05-04,7.9
2016-05-05,7.95
2016-05-06,7.4
2016-05-09,7.8
2016-05-10,7.65
2016-05-11,7.8
2016-05-12,7.7
2016-05-13,7.2
2016-05-16,7.6
2016-05-17,7.45
2016-05-18,7.35
2016-05-19,7.2
2016-05-20,7.45
2016-05-23,7.05
2016-05-24,7.2
2016-05-25,7.05
2016-05-26,7.0
2016-05-27,7.1
2016-05-30,7.1
2016-05-31,8.5
2016-06-01,10.2
2016-06-02,11.2
2016-06-03,12.1
2016-06-06,12.25
2016-06-07,11.65
2016-06-08,10.7
2016-06-09,10.5
2016-06-10,11.55
2016-06-13,12.35
2016-06-14,12.95
2016-06-15,12.9
2016-06-16,12.55
2016-06-17,12.4
2016-06-20,12.1
2016-06-21,11.85
2016-06-22,11.65
2016-06-23,11.6
2016-06-24,11.15
2016-06-27,12.2
2016-06-28,12.15
2016-06-29,12.15
2016-06-30,12.25
2016-07-01,13.45
2016-07-04,15.35
2016-07-05,14.95
2016-07-07,14.25
2016-07-08,16.15
2016-07-11,19.35
2016-07-12,18.9
2016-07-13,17.15
2016-07-14,18.75
2016-07-15,20.6
2016-07-18,22.0
2016-07-19,24.05
2016-07-20,22.85
2016-07-21,21.75
2016-07-22,20.7
2016-07-25,19.7
2016-07-26,18.75
2016-07-27,18.1
2016-07-28,17.2
2016-07-29,16.35
2016-08-01,15.55
2016-08-02,14.8
2016-08-03,14.1
2016-08-04,13.4
2016-08-05,14.05
2016-08-08,14.75
2016-08-09,14.45
2016-08-10,13.75
2016-08-11,13.1
2016-08-12,13.25
2016-08-16,12.65
2016-08-17,13.25
2016-08-18,13.9
2016-08-19,14.4
2016-08-22,13.95
2016-08-23,14.15
2016-08-24,13.6
2016-08-25,13.6
2016-08-26,13.0
2016-08-29,12.55
2016-08-30,12.3
2016-08-31,12.8
2016-09-01,12.3
2016-09-02,12.0
2016-09-06,12.1
2016-09-07,12.05
2016-09-08,12.45
2016-09-09,12.2
2016-09-12,12.15
2016-09-14,12.35
2016-09-15,12.6
2016-09-16,12.15
2016-09-19,12.0
2016-09-20,12.25
2016-09-21,12.1
2016-09-22,12.25
2016-09-23,12.4
2016-09-26,12.5
2016-09-27,12.6
2016-09-28,13.2
2016-09-29,13.55
2016-09-30,14.2
2016-10-03,14.55
2016-10-04,15.25
2016-10-05,16.0
2016-10-06,16.25
2016-10-07,15.5
2016-10-10,14.75
2016-10-13,14.05
2016-10-14,14.55
2016-10-17,15.25
2016-10-18,16.0
2016-10-19,16.8
2016-10-20,17.6
2016-10-21,18.15
2016-10-24,18.15
2016-10-25,17.4
2016-10-26,16.55
2016-10-27,17.1
2016-10-28,16.65
2016-10-30,17.05
2016-11-01,17.8
2016-11-02,17.6
2016-11-03,17.1
2016-11-04,15.4
2016-11-07,16.0
2016-11-08,16.0
2016-11-09,15.85
2016-11-10,15.35
2016-11-11,15.2
2016-11-15,13.7
2016-11-16,12.8
2016-11-17,13.45
2016-11-18,14.6
2016-11-21,13.35
2016-11-22,13.45
2016-11-23,13.45
2016-11-24,13.7
2016-11-25,15.0
2016-11-28,16.5
2016-11-29,16.2
2016-11-30,16.2
2016-12-01,15.95
2016-12-02,15.35
2016-12-05,14.85
2016-12-06,15.0
2016-12-07,14.5
2016-12-08,15.15
2016-12-09,15.0
2016-12-12,14.35
2016-12-13,14.95
2016-12-14,15.15
2016-12-15,16.65
2016-12-16,16.7
2016-12-19,15.85
2016-12-20,15.7
2016-12-21,16.9
2016-12-22,16.2
2016-12-23,15.9
2016-12-26,15.8
2016-12-27,15.75
2016-12-28,15.65
2016-12-29,15.75
2016-12-30,15.65
