Date,KANANIIND
2016-01-01,10.05
2016-01-04,10.1
2016-01-05,12.1
2016-01-06,13.25
2016-01-07,13.2
2016-01-08,13.7
2016-01-11,13.45
2016-01-12,13.55
2016-01-13,14.9
2016-01-14,16.2
2016-01-15,15.8
2016-01-18,15.45
2016-01-19,16.55
2016-01-20,15.6
2016-01-21,16.0
2016-01-22,17.6
2016-01-25,18.6
2016-01-27,19.5
2016-01-28,19.8
2016-01-29,19.55
2016-02-01,18.6
2016-02-02,19.5
2016-02-03,18.55
2016-02-04,18.4
2016-02-05,17.7
2016-02-08,16.85
2016-02-09,16.05
2016-02-10,15.25
2016-02-11,14.5
2016-02-12,13.8
2016-02-15,14.45
2016-02-16,14.5
2016-02-17,15.2
2016-02-18,15.3
2016-02-19,14.55
2016-02-22,13.85
2016-02-23,13.2
2016-02-24,13.0
2016-02-25,12.75
2016-02-26,13.0
2016-02-29,12.85
2016-03-01,13.45
2016-03-02,14.1
2016-03-03,14.8
2016-03-04,14.2
2016-03-08,14.2
2016-03-09,15.6
2016-03-10,16.2
2016-03-11,15.25
2016-03-14,16.0
2016-03-15,15.25
2016-03-16,14.4
2016-03-17,14.95
2016-03-18,13.55
2016-03-21,13.6
2016-03-22,13.55
2016-03-23,12.8
2016-03-28,11.6
2016-03-29,11.8
2016-03-30,12.3
2016-03-31,12.4
2016-04-01,12.6
2016-04-04,12.0
2016-04-05,12.1
2016-04-06,12.7
2016-04-07,12.45
2016-04-08,12.5
2016-04-11,13.1
2016-04-12,13.75
2016-04-13,14.05
2016-04-18,14.75
2016-04-20,14.55
2016-04-21,14.1
2016-04-22,13.4
2016-04-25,12.75
2016-04-26,12.6
2016-04-27,12.0
2016-04-28,11.4
2016-04-29,11.3
2016-05-02,11.0
2016-05-03,10.5
2016-05-04,10.45
2016-05-05,10.55
2016-05-06,11.0
2016-05-09,11.55
2016-05-10,12.1
2016-05-11,12.7
2016-05-12,13.3
2016-05-13,13.95
2016-05-16,14.6
2016-05-17,15.3
2016-05-18,15.5
2016-05-19,15.1
2016-05-20,14.85
2016-05-23,14.6
2016-05-24,15.3
2016-05-25,16.05
2016-05-26,16.85
2016-05-27,17.65
2016-05-30,18.5
2016-05-31,18.2
2016-06-01,18.55
2016-06-02,19.45
2016-06-03,18.9
2016-06-06,18.65
2016-07-05,22.25
2016-07-07,22.95
2016-07-08,22.75
2016-07-11,23.75
2016-07-12,24.75
2016-07-13,25.35
2016-07-14,24.3
2016-07-15,25.0
2016-07-18,24.75
2016-07-19,24.5
2016-07-20,23.3
2016-07-21,22.15
2016-07-22,22.55
2016-07-25,23.4
2016-07-26,22.9
2016-07-27,23.05
2016-07-28,23.5
2016-07-29,23.0
2016-08-01,22.8
2016-08-02,21.7
2016-08-03,21.5
2016-08-04,22.4
2016-08-05,23.5
2016-08-08,24.4
2016-08-09,24.85
2016-08-10,25.75
2016-08-11,23.2
2016-08-12,22.9
2016-08-16,24.45
2016-08-17,22.3
2016-08-18,23.45
2016-08-19,23.15
2016-08-22,23.0
2016-08-23,25.3
2016-08-24,26.05
2016-08-25,25.2
2016-08-26,23.1
2016-08-29,24.45
2016-08-30,26.05
2016-08-31,24.8
2016-09-01,24.75
2016-09-02,26.15
2016-09-06,29.2
2016-09-07,26.9
2016-09-08,30.0
2016-09-09,28.95
2016-09-12,29.7
2016-09-14,28.3
2016-09-15,27.5
2016-09-16,27.8
2016-09-19,28.3
2016-09-20,27.35
2016-09-21,27.15
2016-09-22,27.05
2016-09-23,26.6
2016-09-26,26.0
2016-09-27,25.2
2016-09-28,24.35
2016-09-29,22.8
2016-09-30,23.2
2016-10-03,23.65
2016-10-04,23.55
2016-10-05,23.9
2016-10-06,22.85
2016-10-07,21.65
2016-10-10,19.1
2016-10-13,18.2
2016-10-14,19.1
2016-10-17,18.8
2016-10-18,20.85
2016-10-19,19.0
2016-10-20,19.0
2016-10-21,21.55
2016-10-24,23.1
2016-10-25,23.25
2016-10-26,21.2
2016-10-27,20.95
2016-10-28,20.05
2016-10-30,20.8
2016-11-01,20.0
2016-11-02,18.85
2016-11-03,21.55
2016-11-04,19.95
2016-11-07,20.1
2016-11-08,20.35
2016-11-09,19.15
2016-11-10,17.0
2016-11-11,17.1
2016-11-15,16.55
2016-11-16,15.55
2016-11-17,13.65
2016-11-18,14.3
2016-11-21,13.55
2016-11-22,13.85
2016-11-23,13.5
2016-11-24,13.05
2016-11-25,14.2
2016-11-28,14.55
2016-11-29,15.3
2016-11-30,15.1
2016-12-01,15.05
2016-12-02,14.7
2016-12-05,15.35
2016-12-06,16.05
2016-12-07,16.45
2016-12-08,16.9
2016-12-09,17.2
2016-12-12,17.6
2016-12-13,18.55
2016-12-14,17.8
2016-12-15,17.5
2016-12-16,17.5
2016-12-19,17.3
2016-12-20,17.0
2016-12-21,16.9
2016-12-22,16.75
2016-12-23,15.55
2016-12-26,13.9
2016-12-27,14.0
2016-12-28,16.8
2016-12-29,16.6
2016-12-30,16.9
