Date,HINDZINC
2016-01-01,149.15
2016-01-04,145.05
2016-01-05,151.25
2016-01-06,145.7
2016-01-07,139.1
2016-01-08,140.85
2016-01-11,140.05
2016-01-12,141.65
2016-01-13,141.95
2016-01-14,141.9
2016-01-15,140.2
2016-01-18,139.0
2016-01-19,139.0
2016-01-20,139.35
2016-01-21,141.6
2016-01-22,144.95
2016-01-25,151.2
2016-01-27,159.75
2016-01-28,164.55
2016-01-29,161.0
2016-02-01,160.05
2016-02-02,155.85
2016-02-03,154.85
2016-02-04,161.4
2016-02-05,168.25
2016-02-08,167.7
2016-02-09,164.0
2016-02-10,162.35
2016-02-11,161.15
2016-02-12,158.0
2016-02-15,167.95
2016-02-16,165.45
2016-02-17,163.25
2016-02-18,165.45
2016-02-19,164.2
2016-02-22,163.8
2016-02-23,163.85
2016-02-24,163.9
2016-02-25,163.85
2016-02-26,162.85
2016-02-29,160.35
2016-03-01,163.0
2016-03-02,162.05
2016-03-03,170.2
2016-03-04,173.45
2016-03-08,174.35
2016-03-09,172.1
2016-03-10,169.75
2016-03-11,169.15
2016-03-14,170.45
2016-03-15,171.6
2016-03-16,169.2
2016-03-17,169.1
2016-03-18,171.5
2016-03-21,171.55
2016-03-22,170.0
2016-03-23,169.55
2016-03-28,168.0
2016-03-29,169.95
2016-03-30,175.05
2016-03-31,183.6
2016-04-01,184.8
2016-04-04,188.2
2016-04-05,186.75
2016-04-06,162.2
2016-04-07,160.5
2016-04-08,160.1
2016-04-11,160.25
2016-04-12,159.55
2016-04-13,165.95
2016-04-18,168.95
2016-04-20,174.95
2016-04-21,174.15
2016-04-22,172.1
2016-04-25,169.5
2016-04-26,172.5
2016-04-27,172.9
2016-04-28,172.1
2016-04-29,172.1
2016-05-02,174.45
2016-05-03,173.05
2016-05-04,165.85
2016-05-05,167.75
2016-05-06,169.95
2016-05-09,169.75
2016-05-10,166.3
2016-05-11,167.85
2016-05-12,168.0
2016-05-13,166.45
2016-05-16,167.15
2016-05-17,168.35
2016-05-18,167.95
2016-05-19,166.8
2016-05-20,161.45
2016-05-23,166.6
2016-05-24,166.55
2016-05-25,166.95
2016-05-26,166.95
2016-05-27,168.5
2016-05-30,172.25
2016-05-31,170.75
2016-06-01,168.85
2016-06-02,168.25
2016-06-03,167.8
2016-06-06,169.9
2016-06-07,171.5
2016-06-08,170.25
2016-06-09,176.75
2016-06-10,173.4
2016-06-13,176.0
2016-06-14,176.6
2016-06-15,174.95
2016-06-16,171.85
2016-06-17,171.95
2016-06-20,176.65
2016-06-21,177.05
2016-06-22,175.0
2016-06-23,174.95
2016-06-24,169.65
2016-06-27,168.2
2016-06-28,171.65
2016-06-29,177.05
2016-06-30,180.55
2016-07-01,177.25
2016-07-04,184.95
2016-07-05,185.25
2016-07-07,186.9
2016-07-08,187.05
2016-07-11,190.05
2016-07-12,195.4
2016-07-13,193.55
2016-07-14,195.05
2016-07-15,196.15
2016-07-18,189.05
2016-07-19,192.4
2016-07-20,194.45
2016-07-21,193.9
2016-07-22,193.95
2016-07-25,196.15
2016-07-26,202.6
2016-07-27,208.25
2016-07-28,202.6
2016-07-29,203.95
2016-08-01,211.7
2016-08-02,206.9
2016-08-03,206.7
2016-08-04,208.25
2016-08-05,218.6
2016-08-08,220.95
2016-08-09,220.35
2016-08-10,220.0
2016-08-11,217.15
2016-08-12,219.35
2016-08-16,228.3
2016-08-17,223.15
2016-08-18,228.0
2016-08-19,228.95
2016-08-22,230.2
2016-08-23,227.25
2016-08-24,228.2
2016-08-25,223.8
2016-08-26,224.95
2016-08-29,227.1
2016-08-30,228.4
2016-08-31,227.0
2016-09-01,225.8
2016-09-02,227.5
2016-09-06,230.2
2016-09-07,228.35
2016-09-08,223.6
2016-09-09,220.35
2016-09-12,212.55
2016-09-14,220.35
2016-09-15,218.8
2016-09-16,211.8
2016-09-19,216.9
2016-09-20,221.05
2016-09-21,219.75
2016-09-22,223.2
2016-09-23,227.45
2016-09-26,229.7
2016-09-27,228.95
2016-09-28,230.55
2016-09-29,229.15
2016-09-30,233.35
2016-10-03,254.45
2016-10-04,251.95
2016-10-05,253.35
2016-10-06,250.0
2016-10-07,252.0
2016-10-10,251.65
2016-10-13,243.35
2016-10-14,245.75
2016-10-17,240.35
2016-10-18,245.0
2016-10-19,248.1
2016-10-20,249.9
2016-10-21,249.7
2016-10-24,253.25
2016-10-25,254.65
2016-10-26,253.2
2016-10-27,250.8
2016-10-28,252.95
2016-10-30,252.5
2016-11-01,272.55
2016-11-02,269.5
2016-11-03,267.2
2016-11-04,255.65
2016-11-07,262.45
2016-11-08,259.15
2016-11-09,253.45
2016-11-10,258.1
2016-11-11,249.75
2016-11-15,238.6
2016-11-16,237.95
2016-11-17,250.7
2016-11-18,249.8
2016-11-21,244.45
2016-11-22,253.0
2016-11-23,257.8
2016-11-24,273.35
2016-11-25,273.25
2016-11-28,284.5
2016-11-29,282.35
2016-11-30,282.6
2016-12-01,275.0
2016-12-02,272.55
2016-12-05,275.15
2016-12-06,275.95
2016-12-07,278.45
2016-12-08,283.65
2016-12-09,281.15
2016-12-12,281.05
2016-12-13,278.15
2016-12-14,276.65
2016-12-15,285.3
2016-12-16,281.15
2016-12-19,269.5
2016-12-20,262.3
2016-12-21,266.8
2016-12-22,260.95
2016-12-23,258.45
2016-12-26,249.7
2016-12-27,252.4
2016-12-28,249.6
2016-12-29,256.5
2016-12-30,255.4
