Date,MSPL
2016-01-01,13.3
2016-01-04,13.5
2016-01-05,14.3
2016-01-06,14.4
2016-01-07,13.25
2016-01-08,13.25
2016-01-11,13.1
2016-01-12,13.1
2016-01-13,12.35
2016-01-14,12.4
2016-01-15,11.5
2016-01-18,10.8
2016-01-19,10.9
2016-01-20,10.45
2016-01-21,10.7
2016-01-22,10.95
2016-01-25,11.15
2016-01-27,11.2
2016-01-28,11.2
2016-01-29,11.25
2016-02-01,12.0
2016-02-02,12.45
2016-02-03,11.7
2016-02-04,11.2
2016-02-05,11.35
2016-02-08,11.55
2016-02-09,11.75
2016-02-10,11.2
2016-02-11,10.8
2016-02-12,10.65
2016-02-15,10.25
2016-02-16,10.2
2016-02-17,10.5
2016-02-18,10.2
2016-02-19,10.2
2016-02-22,10.0
2016-02-23,10.1
2016-02-24,10.0
2016-02-25,9.8
2016-02-26,10.15
2016-02-29,9.55
2016-03-01,9.95
2016-03-02,10.25
2016-03-03,10.15
2016-03-04,10.15
2016-03-08,10.5
2016-03-09,10.55
2016-03-10,10.25
2016-03-11,10.15
2016-03-14,10.4
2016-03-15,10.05
2016-03-16,9.9
2016-03-17,9.7
2016-03-18,9.85
2016-03-21,9.35
2016-03-22,9.5
2016-03-23,9.15
2016-03-28,9.05
2016-03-29,9.05
2016-03-30,8.7
2016-03-31,8.9
2016-04-01,9.35
2016-04-04,9.5
2016-04-05,9.5
2016-04-06,9.5
2016-04-07,9.2
2016-04-08,9.0
2016-04-11,9.25
2016-04-12,9.1
2016-04-13,10.85
2016-04-18,13.0
2016-04-20,14.05
2016-04-21,13.3
2016-04-22,12.65
2016-04-25,12.5
2016-04-26,13.7
2016-04-27,12.7
2016-04-28,12.8
2016-04-29,12.85
2016-05-02,12.4
2016-05-03,11.75
2016-05-04,12.15
2016-05-05,12.5
2016-05-06,11.85
2016-05-09,11.7
2016-05-10,11.75
2016-05-11,11.7
2016-05-12,11.65
2016-05-13,11.4
2016-05-16,11.45
2016-05-17,11.25
2016-05-18,11.25
2016-05-19,11.35
2016-05-20,11.4
2016-05-23,11.4
2016-05-24,10.85
2016-05-25,11.0
2016-05-26,11.1
2016-05-27,11.1
2016-05-30,10.75
2016-05-31,10.85
2016-06-01,11.25
2016-06-02,10.9
2016-06-03,10.85
2016-06-06,10.65
2016-06-07,11.1
2016-06-08,11.25
2016-06-09,11.3
2016-06-10,12.4
2016-06-13,11.85
2016-06-14,12.7
2016-06-15,12.6
2016-06-16,12.35
2016-06-17,11.5
2016-06-20,11.7
2016-06-21,12.05
2016-06-22,11.85
2016-06-23,11.85
2016-06-24,11.55
2016-06-27,11.65
2016-06-28,11.85
2016-06-29,11.8
2016-06-30,11.85
2016-07-01,12.55
2016-07-04,12.65
2016-07-05,12.7
2016-07-07,12.35
2016-07-08,12.55
2016-07-11,12.1
2016-07-12,12.35
2016-07-13,13.2
2016-07-14,13.15
2016-07-15,13.55
2016-07-18,13.1
2016-07-19,13.0
2016-07-20,12.25
2016-07-21,12.0
2016-07-22,12.2
2016-07-25,12.05
2016-07-26,12.2
2016-07-27,12.15
2016-07-28,12.8
2016-07-29,12.4
2016-08-01,11.9
2016-08-02,11.4
2016-08-03,11.7
2016-08-04,11.6
2016-08-05,12.0
2016-08-08,11.65
2016-08-09,11.6
2016-08-10,11.35
2016-08-11,11.25
2016-08-12,11.6
2016-08-16,11.35
2016-08-17,11.1
2016-08-18,11.05
2016-08-19,11.4
2016-08-22,11.0
2016-08-23,11.1
2016-08-24,11.2
2016-08-25,11.25
2016-08-26,11.0
2016-08-29,11.25
2016-08-30,11.05
2016-08-31,10.9
2016-09-01,11.0
2016-09-02,10.95
2016-09-06,10.6
2016-09-07,11.0
2016-09-08,11.2
2016-09-09,11.1
2016-09-12,10.9
2016-09-14,11.0
2016-09-15,10.65
2016-09-16,11.05
2016-09-19,11.2
2016-09-20,11.2
2016-09-21,11.0
2016-09-22,11.1
2016-09-23,11.1
2016-09-26,11.15
2016-09-27,11.0
2016-09-28,10.5
2016-09-29,9.6
2016-09-30,9.85
2016-10-03,10.0
2016-10-04,10.0
2016-10-05,10.65
2016-10-06,10.45
2016-10-07,10.4
2016-10-10,10.45
2016-10-13,12.1
2016-10-14,11.95
2016-10-17,12.0
2016-10-18,11.9
2016-10-19,11.95
2016-10-20,12.5
2016-10-21,13.9
2016-10-24,14.05
2016-10-25,16.85
2016-10-26,15.45
2016-10-27,14.8
2016-10-28,14.65
2016-10-30,14.6
2016-11-01,15.4
2016-11-02,14.7
2016-11-03,14.6
2016-11-04,13.3
2016-11-07,13.85
2016-11-08,13.7
2016-11-09,12.8
2016-11-10,13.5
2016-11-11,13.3
2016-11-15,12.15
2016-11-16,12.1
2016-11-17,10.95
2016-11-18,11.2
2016-11-21,10.65
2016-11-22,10.75
2016-11-23,11.55
2016-11-24,11.25
2016-11-25,12.35
2016-11-28,12.3
2016-11-29,11.8
2016-11-30,12.15
2016-12-01,12.85
2016-12-02,12.8
2016-12-05,13.75
2016-12-06,13.1
2016-12-07,13.2
2016-12-08,13.25
2016-12-09,12.9
2016-12-12,13.05
2016-12-13,13.05
2016-12-14,12.85
2016-12-15,12.9
2016-12-16,12.9
2016-12-19,12.2
2016-12-20,12.5
2016-12-21,12.9
2016-12-22,12.05
2016-12-23,11.8
2016-12-26,11.3
2016-12-27,11.05
2016-12-28,10.95
2016-12-29,10.5
2016-12-30,10.55
