Date,PRECAM
2016-02-08,177.45
2016-02-09,167.25
2016-02-10,160.25
2016-02-11,158.75
2016-02-12,158.15
2016-02-15,160.3
2016-02-16,158.1
2016-02-17,154.05
2016-02-18,154.9
2016-02-19,151.6
2016-02-22,151.05
2016-02-23,152.5
2016-02-24,152.25
2016-02-25,152.05
2016-02-26,152.2
2016-02-29,153.0
2016-03-01,152.05
2016-03-02,151.0
2016-03-03,163.15
2016-03-04,162.6
2016-03-08,158.9
2016-03-09,158.05
2016-03-10,156.95
2016-03-11,156.55
2016-03-14,153.8
2016-03-15,150.75
2016-03-16,149.4
2016-03-17,147.3
2016-03-18,148.1
2016-03-21,148.65
2016-03-22,147.4
2016-03-23,144.7
2016-03-28,145.9
2016-03-29,149.75
2016-03-30,150.5
2016-03-31,150.3
2016-04-01,148.4
2016-04-04,145.6
2016-04-05,143.9
2016-04-06,144.6
2016-04-07,143.9
2016-04-08,144.65
2016-04-11,147.65
2016-04-12,151.6
2016-04-13,154.3
2016-04-18,154.5
2016-04-20,154.4
2016-04-21,147.75
2016-04-22,145.65
2016-04-25,145.2
2016-04-26,146.0
2016-04-27,148.2
2016-04-28,149.95
2016-04-29,148.15
2016-05-02,149.75
2016-05-03,153.8
2016-05-04,150.2
2016-05-05,147.9
2016-05-06,147.35
2016-05-09,148.2
2016-05-10,147.1
2016-05-11,145.45
2016-05-12,145.25
2016-05-13,143.95
2016-05-16,143.1
2016-05-17,142.0
2016-05-18,141.75
2016-05-19,140.05
2016-05-20,139.9
2016-05-23,136.35
2016-05-24,133.6
2016-05-25,133.95
2016-05-26,135.6
2016-05-27,136.6
2016-05-30,137.2
2016-05-31,130.95
2016-06-01,132.45
2016-06-02,132.05
2016-06-03,139.05
2016-06-06,139.6
2016-06-07,137.95
2016-06-08,133.6
2016-06-09,132.7
2016-06-10,130.85
2016-06-13,134.45
2016-06-14,136.35
2016-06-15,137.2
2016-06-16,134.0
2016-06-17,132.85
2016-06-20,133.4
2016-06-21,136.85
2016-06-22,133.85
2016-06-23,133.9
2016-06-24,131.15
2016-06-27,131.65
2016-06-28,129.5
2016-06-29,130.75
2016-06-30,131.6
2016-07-01,130.65
2016-07-04,130.45
2016-07-05,128.1
2016-07-07,128.15
2016-07-08,129.3
2016-07-11,127.8
2016-07-12,132.55
2016-07-13,134.35
2016-07-14,133.15
2016-07-15,130.9
2016-07-18,130.0
2016-07-19,130.1
2016-07-20,129.6
2016-07-21,129.7
2016-07-22,133.85
2016-07-25,131.6
2016-07-26,132.3
2016-07-27,132.5
2016-07-28,131.35
2016-07-29,131.4
2016-08-01,131.05
2016-08-02,131.2
2016-08-03,131.5
2016-08-04,136.7
2016-08-05,148.6
2016-08-08,145.8
2016-08-09,142.8
2016-08-10,138.9
2016-08-11,137.55
2016-08-12,137.15
2016-08-16,135.9
2016-08-17,140.7
2016-08-18,142.65
2016-08-19,146.1
2016-08-22,145.0
2016-08-23,144.15
2016-08-24,145.15
2016-08-25,142.65
2016-08-26,141.75
2016-08-29,145.85
2016-08-30,151.7
2016-08-31,147.1
2016-09-01,146.75
2016-09-02,146.0
2016-09-06,148.3
2016-09-07,147.0
2016-09-08,143.7
2016-09-09,141.2
2016-09-12,138.3
2016-09-14,136.85
2016-09-15,136.75
2016-09-16,138.15
2016-09-19,136.4
2016-09-20,136.9
2016-09-21,140.55
2016-09-22,143.1
2016-09-23,144.35
2016-09-26,145.0
2016-09-27,143.2
2016-09-28,144.05
2016-09-29,139.95
2016-09-30,140.8
2016-10-03,145.8
2016-10-04,140.7
2016-10-05,147.1
2016-10-06,143.85
2016-10-07,141.2
2016-10-10,150.2
2016-10-13,157.55
2016-10-14,167.85
2016-10-17,162.15
2016-10-18,166.4
2016-10-19,179.7
2016-10-20,185.05
2016-10-21,179.65
2016-10-24,181.8
2016-10-25,183.9
2016-10-26,176.75
2016-10-27,174.45
2016-10-28,175.2
2016-10-30,178.95
2016-11-01,181.0
2016-11-02,175.85
2016-11-03,170.8
2016-11-04,167.0
2016-11-07,166.4
2016-11-08,165.6
2016-11-09,168.45
2016-11-10,169.5
2016-11-11,164.95
2016-11-15,160.6
2016-11-16,156.5
2016-11-17,153.95
2016-11-18,152.75
2016-11-21,139.15
2016-11-22,143.95
2016-11-23,150.7
2016-11-24,149.15
2016-11-25,151.05
2016-11-28,150.3
2016-11-29,154.5
2016-11-30,157.35
2016-12-01,155.5
2016-12-02,151.3
2016-12-05,151.5
2016-12-06,153.1
2016-12-07,154.6
2016-12-08,158.4
2016-12-09,161.55
2016-12-12,159.95
2016-12-13,159.0
2016-12-14,155.0
2016-12-15,154.15
2016-12-16,156.5
2016-12-19,152.6
2016-12-20,155.25
2016-12-21,153.15
2016-12-22,151.9
2016-12-23,150.8
2016-12-26,145.3
2016-12-27,148.6
2016-12-28,151.0
2016-12-29,156.3
2016-12-30,155.85
