Date,BPL
2016-01-01,40.25
2016-01-04,39.45
2016-01-05,40.15
2016-01-06,38.2
2016-01-07,36.65
2016-01-08,38.75
2016-01-11,38.2
2016-01-12,37.15
2016-01-13,35.3
2016-01-14,34.65
2016-01-15,33.25
2016-01-18,30.35
2016-01-19,31.05
2016-01-20,30.45
2016-01-21,30.8
2016-01-22,32.15
2016-01-25,33.45
2016-01-27,32.3
2016-01-28,31.6
2016-01-29,32.1
2016-02-01,32.45
2016-02-02,31.05
2016-02-03,30.1
2016-02-04,30.15
2016-02-05,29.95
2016-02-08,30.0
2016-02-09,29.7
2016-02-10,29.2
2016-02-11,26.6
2016-02-12,26.3
2016-02-15,26.6
2016-02-16,24.65
2016-02-17,24.6
2016-02-18,25.85
2016-02-19,27.85
2016-02-22,29.1
2016-02-23,28.2
2016-02-24,27.5
2016-02-25,27.1
2016-02-26,26.95
2016-02-29,26.35
2016-03-01,27.45
2016-03-02,28.1
2016-03-03,29.05
2016-03-04,28.85
2016-03-08,29.5
2016-03-09,29.05
2016-03-10,29.0
2016-03-11,29.05
2016-03-14,28.55
2016-03-15,28.25
2016-03-16,27.55
2016-03-17,27.45
2016-03-18,27.35
2016-03-21,27.75
2016-03-22,27.5
2016-03-23,27.35
2016-03-28,25.75
2016-03-29,24.95
2016-03-30,26.15
2016-03-31,26.0
2016-04-01,27.05
2016-04-04,27.9
2016-04-05,27.35
2016-04-06,27.7
2016-04-07,27.65
2016-04-08,27.8
2016-04-11,27.55
2016-04-12,27.55
2016-04-13,28.6
2016-04-18,28.3
2016-04-20,28.95
2016-04-21,28.45
2016-04-22,32.0
2016-04-25,30.4
2016-04-26,30.15
2016-04-27,29.75
2016-04-28,29.85
2016-04-29,29.35
2016-05-02,29.5
2016-05-03,29.15
2016-05-04,28.3
2016-05-05,27.9
2016-05-06,27.0
2016-05-09,27.6
2016-05-10,28.1
2016-05-11,28.1
2016-05-12,27.9
2016-05-13,27.5
2016-05-16,27.5
2016-05-17,27.85
2016-05-18,27.95
2016-05-19,27.7
2016-05-20,27.05
2016-05-23,26.75
2016-05-24,29.15
2016-05-25,29.5
2016-05-26,28.25
2016-05-27,29.25
2016-05-30,29.35
2016-05-31,29.0
2016-06-01,28.85
2016-06-02,28.6
2016-06-03,29.75
2016-06-06,29.9
2016-06-07,29.8
2016-06-08,29.55
2016-06-09,29.65
2016-06-10,29.25
2016-06-13,28.75
2016-06-14,28.9
2016-06-15,28.8
2016-06-16,28.25
2016-06-17,27.9
2016-06-20,28.35
2016-06-21,28.85
2016-06-22,29.8
2016-06-23,34.45
2016-06-24,32.85
2016-06-27,35.25
2016-06-28,35.5
2016-06-29,36.3
2016-06-30,35.7
2016-07-01,34.1
2016-07-04,34.2
2016-07-05,33.8
2016-07-07,33.65
2016-07-08,33.3
2016-07-11,36.35
2016-07-12,41.55
2016-07-13,40.65
2016-07-14,39.45
2016-07-15,39.2
2016-07-18,39.6
2016-07-19,38.85
2016-07-20,38.65
2016-07-21,37.6
2016-07-22,38.1
2016-07-25,38.7
2016-07-26,38.65
2016-07-27,38.9
2016-07-28,38.55
2016-07-29,38.15
2016-08-01,38.4
2016-08-02,39.2
2016-08-03,37.65
2016-08-04,36.75
2016-08-05,37.85
2016-08-08,38.3
2016-08-09,38.05
2016-08-10,37.3
2016-08-11,38.1
2016-08-12,38.15
2016-08-16,37.15
2016-08-17,37.45
2016-08-18,37.1
2016-08-19,36.9
2016-08-22,38.35
2016-08-23,39.15
2016-08-24,39.05
2016-08-25,40.7
2016-08-26,48.8
2016-08-29,52.65
2016-08-30,54.35
2016-08-31,50.0
2016-09-01,49.15
2016-09-02,51.3
2016-09-06,51.9
2016-09-07,52.15
2016-09-08,53.6
2016-09-09,52.9
2016-09-12,50.3
2016-09-14,51.5
2016-09-15,61.8
2016-09-16,61.15
2016-09-19,62.8
2016-09-20,63.15
2016-09-21,71.5
2016-09-22,76.9
2016-09-23,75.95
2016-09-26,91.1
2016-09-27,96.85
2016-09-28,95.35
2016-09-29,85.85
2016-09-30,83.05
2016-10-03,87.7
2016-10-04,92.75
2016-10-05,94.5
2016-10-06,94.1
2016-10-07,90.55
2016-10-10,91.35
2016-10-13,86.0
2016-10-14,88.55
2016-10-17,90.95
2016-10-18,92.05
2016-10-19,93.1
2016-10-20,90.7
2016-10-21,88.5
2016-10-24,88.9
2016-10-25,90.45
2016-10-26,87.85
2016-10-27,86.4
2016-10-28,77.8
2016-10-30,72.1
2016-11-01,79.3
2016-11-02,79.85
2016-11-03,77.75
2016-11-04,75.55
2016-11-07,75.35
2016-11-08,73.55
2016-11-09,71.3
2016-11-10,72.8
2016-11-11,68.25
2016-11-15,60.3
2016-11-16,60.2
2016-11-17,55.15
2016-11-18,56.8
2016-11-21,52.65
2016-11-22,54.5
2016-11-23,61.4
2016-11-24,68.5
2016-11-25,70.4
2016-11-28,70.55
2016-11-29,72.2
2016-11-30,71.65
2016-12-01,70.75
2016-12-02,66.7
2016-12-05,69.9
2016-12-06,72.05
2016-12-07,73.4
2016-12-08,74.0
2016-12-09,72.85
2016-12-12,70.05
2016-12-13,70.95
2016-12-14,68.75
2016-12-15,67.8
2016-12-16,67.3
2016-12-19,66.6
2016-12-20,68.55
2016-12-21,67.9
2016-12-22,65.7
2016-12-23,62.3
2016-12-26,59.7
2016-12-27,61.25
2016-12-28,61.05
2016-12-29,62.85
2016-12-30,62.95
