Date,TORNTPHARM
2016-01-01,1478.9
2016-01-04,1448.35
2016-01-05,1435.95
2016-01-06,1442.85
2016-01-07,1425.0
2016-01-08,1440.6
2016-01-11,1416.5
2016-01-12,1433.65
2016-01-13,1409.85
2016-01-14,1390.15
2016-01-15,1323.8
2016-01-18,1329.5
2016-01-19,1370.75
2016-01-20,1311.9
2016-01-21,1338.95
2016-01-22,1391.3
2016-01-25,1399.9
2016-01-27,1395.15
2016-01-28,1384.0
2016-01-29,1398.85
2016-02-01,1395.9
2016-02-02,1348.6
2016-02-03,1378.65
2016-02-04,1351.3
2016-02-05,1374.3
2016-02-08,1340.75
2016-02-09,1326.55
2016-02-10,1318.95
2016-02-11,1266.1
2016-02-12,1235.05
2016-02-15,1301.45
2016-02-16,1272.55
2016-02-17,1322.9
2016-02-18,1329.5
2016-02-19,1334.8
2016-02-22,1350.2
2016-02-23,1308.55
2016-02-24,1263.4
2016-02-25,1265.15
2016-02-26,1264.95
2016-02-29,1261.0
2016-03-01,1287.45
2016-03-02,1301.15
2016-03-03,1316.0
2016-03-04,1328.75
2016-03-08,1313.0
2016-03-09,1309.4
2016-03-10,1277.25
2016-03-11,1287.9
2016-03-14,1288.9
2016-03-15,1278.55
2016-03-16,1254.25
2016-03-17,1256.1
2016-03-18,1312.75
2016-03-21,1347.75
2016-03-22,1418.1
2016-03-23,1398.0
2016-03-28,1366.3
2016-03-29,1340.8
2016-03-30,1351.0
2016-03-31,1340.25
2016-04-01,1362.1
2016-04-04,1398.1
2016-04-05,1398.6
2016-04-06,1380.65
2016-04-07,1384.1
2016-04-08,1436.75
2016-04-11,1436.25
2016-04-12,1458.25
2016-04-13,1471.25
2016-04-18,1474.2
2016-04-20,1425.1
2016-04-21,1460.8
2016-04-22,1460.45
2016-04-25,1422.7
2016-04-26,1430.2
2016-04-27,1442.85
2016-04-28,1419.0
2016-04-29,1430.25
2016-05-02,1427.2
2016-05-03,1435.35
2016-05-04,1402.6
2016-05-05,1400.65
2016-05-06,1393.15
2016-05-09,1388.85
2016-05-10,1390.2
2016-05-11,1384.05
2016-05-12,1397.2
2016-05-13,1391.7
2016-05-16,1398.95
2016-05-17,1385.2
2016-05-18,1381.85
2016-05-19,1374.7
2016-05-20,1325.05
2016-05-23,1329.55
2016-05-24,1354.5
2016-05-25,1391.45
2016-05-26,1382.4
2016-05-27,1378.5
2016-05-30,1370.4
2016-05-31,1341.75
2016-06-01,1362.7
2016-06-02,1335.95
2016-06-03,1381.8
2016-06-06,1371.6
2016-06-07,1375.4
2016-06-08,1397.55
2016-06-09,1368.3
2016-06-10,1350.5
2016-06-13,1336.3
2016-06-14,1339.9
2016-06-15,1340.6
2016-06-16,1339.75
2016-06-17,1347.6
2016-06-20,1340.35
2016-06-21,1329.4
2016-06-22,1328.35
2016-06-23,1344.6
2016-06-24,1322.0
2016-06-27,1325.75
2016-06-28,1343.4
2016-06-29,1350.7
2016-06-30,1372.85
2016-07-01,1393.7
2016-07-04,1393.65
2016-07-05,1398.65
2016-07-07,1398.35
2016-07-08,1420.35
2016-07-11,1446.95
2016-07-12,1435.75
2016-07-13,1418.3
2016-07-14,1439.75
2016-07-15,1413.15
2016-07-18,1396.65
2016-07-19,1393.1
2016-07-20,1435.55
2016-07-21,1455.3
2016-07-22,1459.65
2016-07-25,1460.45
2016-07-26,1462.45
2016-07-27,1406.45
2016-07-28,1437.0
2016-07-29,1440.45
2016-08-01,1458.1
2016-08-02,1483.65
2016-08-03,1463.55
2016-08-04,1464.9
2016-08-05,1519.6
2016-08-08,1526.45
2016-08-09,1501.5
2016-08-10,1479.25
2016-08-11,1478.6
2016-08-12,1486.9
2016-08-16,1490.45
2016-08-17,1505.55
2016-08-18,1569.6
2016-08-19,1551.2
2016-08-22,1542.2
2016-08-23,1584.7
2016-08-24,1701.0
2016-08-25,1612.2
2016-08-26,1615.5
2016-08-29,1616.1
2016-08-30,1612.75
2016-08-31,1631.95
2016-09-01,1599.3
2016-09-02,1610.45
2016-09-06,1631.3
2016-09-07,1618.2
2016-09-08,1682.05
2016-09-09,1663.1
2016-09-12,1655.55
2016-09-14,1628.4
2016-09-15,1627.4
2016-09-16,1595.95
2016-09-19,1604.8
2016-09-20,1605.6
2016-09-21,1616.9
2016-09-22,1649.05
2016-09-23,1640.85
2016-09-26,1653.4
2016-09-27,1656.85
2016-09-28,1646.6
2016-09-29,1622.8
2016-09-30,1623.55
2016-10-03,1660.1
2016-10-04,1642.05
2016-10-05,1666.7
2016-10-06,1637.6
2016-10-07,1630.65
2016-10-10,1628.9
