Date,MOREPENLAB
2016-01-01,39.85
2016-01-04,40.55
2016-01-05,40.3
2016-01-06,38.8
2016-01-07,35.95
2016-01-08,37.3
2016-01-11,36.85
2016-01-12,38.35
2016-01-13,34.35
2016-01-14,33.15
2016-01-15,28.15
2016-01-18,22.75
2016-01-19,24.95
2016-01-20,25.1
2016-01-21,25.7
2016-01-22,27.05
2016-01-25,29.5
2016-01-27,30.75
2016-01-28,31.35
2016-01-29,31.95
2016-02-01,33.5
2016-02-02,34.25
2016-02-03,32.55
2016-02-04,30.95
2016-02-05,29.9
2016-02-08,31.35
2016-02-09,32.9
2016-02-10,31.85
2016-02-11,30.3
2016-02-12,28.8
2016-02-15,27.75
2016-02-16,26.4
2016-02-17,25.2
2016-02-18,24.5
2016-02-19,25.7
2016-02-22,26.95
2016-02-23,27.9
2016-02-24,27.5
2016-02-25,26.9
2016-02-26,25.9
2016-02-29,25.4
2016-03-01,26.65
2016-03-02,27.95
2016-03-03,28.05
2016-03-04,27.8
2016-03-08,27.3
2016-03-09,27.4
2016-03-10,27.2
2016-03-11,27.05
2016-03-14,26.85
2016-03-15,26.1
2016-03-16,25.55
2016-03-17,25.75
2016-03-18,25.0
2016-03-21,24.75
2016-03-22,25.95
2016-03-23,27.2
2016-03-28,25.85
2016-03-29,25.65
2016-03-30,26.8
2016-03-31,26.2
2016-04-01,26.7
2016-04-04,26.75
2016-04-05,25.8
2016-04-06,26.35
2016-04-07,25.85
2016-04-08,25.9
2016-04-11,25.8
2016-04-12,26.45
2016-04-13,26.45
2016-04-18,25.9
2016-04-20,28.1
2016-04-21,27.45
2016-04-22,27.05
2016-04-25,27.35
2016-04-26,27.05
2016-04-27,26.95
2016-04-28,25.9
2016-04-29,25.5
2016-05-02,26.75
2016-05-03,26.5
2016-05-04,26.15
2016-05-05,27.45
2016-05-06,29.65
2016-05-09,29.7
2016-05-10,27.75
2016-05-11,28.05
2016-05-12,27.45
2016-05-13,26.7
2016-05-16,26.4
2016-05-17,25.9
2016-05-18,25.45
2016-05-19,25.75
2016-05-20,25.2
2016-05-23,25.05
2016-05-24,24.25
2016-05-25,23.85
2016-05-26,23.55
2016-05-27,23.75
2016-05-30,23.85
2016-05-31,23.45
2016-06-01,24.75
2016-06-02,25.45
2016-06-03,24.45
2016-06-06,24.0
2016-06-07,23.8
2016-06-08,24.8
2016-06-09,24.3
2016-06-10,24.1
2016-06-13,24.05
2016-06-14,23.8
2016-06-15,24.0
2016-06-16,24.4
2016-06-17,23.75
2016-06-20,25.0
2016-06-21,24.7
2016-06-22,23.9
2016-06-23,23.8
2016-06-24,22.95
2016-06-27,23.7
2016-06-28,23.75
2016-06-29,24.3
2016-06-30,24.2
2016-07-01,24.3
2016-07-04,25.15
2016-07-05,25.75
2016-07-07,24.9
2016-07-08,24.75
2016-07-11,25.15
2016-07-12,24.6
2016-07-13,24.25
2016-07-14,24.6
2016-07-15,24.05
2016-07-18,23.4
2016-07-19,23.65
2016-07-20,24.9
2016-07-21,24.1
2016-07-22,24.1
2016-07-25,24.45
2016-07-26,24.2
2016-07-27,23.75
2016-07-28,23.75
2016-07-29,23.85
2016-08-01,24.05
2016-08-02,23.7
2016-08-03,23.55
2016-08-04,23.5
2016-08-05,23.8
2016-08-08,24.0
2016-08-09,23.85
2016-08-10,23.1
2016-08-11,22.55
2016-08-12,22.1
2016-08-16,19.55
2016-08-17,20.5
2016-08-18,21.15
2016-08-19,20.75
2016-08-22,20.7
2016-08-23,20.05
2016-08-24,19.8
2016-08-25,20.1
2016-08-26,19.85
2016-08-29,19.75
2016-08-30,20.25
2016-08-31,20.1
2016-09-01,19.75
2016-09-02,23.7
2016-09-06,24.25
2016-09-07,22.8
2016-09-08,23.8
2016-09-09,24.5
2016-09-12,23.35
2016-09-14,24.3
2016-09-15,23.9
2016-09-16,23.6
2016-09-19,23.65
2016-09-20,23.85
2016-09-21,23.6
2016-09-22,24.8
2016-09-23,26.2
2016-09-26,26.05
2016-09-27,26.1
2016-09-28,26.15
2016-09-29,22.55
2016-09-30,23.3
2016-10-03,23.95
2016-10-04,23.9
2016-10-05,23.75
2016-10-06,23.85
2016-10-07,23.5
2016-10-10,23.45
2016-10-13,23.05
2016-10-14,23.25
2016-10-17,22.95
2016-10-18,23.15
2016-10-19,23.1
2016-10-20,24.25
2016-10-21,24.45
2016-10-24,24.7
2016-10-25,24.2
2016-10-26,23.8
2016-10-27,23.55
2016-10-28,23.4
2016-10-30,23.8
2016-11-01,23.9
2016-11-02,23.15
2016-11-03,22.9
2016-11-04,21.8
2016-11-07,22.5
2016-11-08,22.3
2016-11-09,23.4
2016-11-10,23.75
2016-11-11,23.0
2016-11-15,21.35
2016-11-16,21.15
2016-11-17,20.2
2016-11-18,20.55
2016-11-21,19.85
2016-11-22,19.9
2016-11-23,20.8
2016-11-24,20.35
2016-11-25,20.95
2016-11-28,21.65
2016-11-29,21.9
2016-11-30,23.9
2016-12-01,23.45
2016-12-02,23.1
2016-12-05,22.75
2016-12-06,22.8
2016-12-07,22.4
2016-12-08,22.55
2016-12-09,22.6
2016-12-12,22.1
2016-12-13,21.95
2016-12-14,21.4
2016-12-15,21.8
2016-12-16,21.6
2016-12-19,21.35
2016-12-20,21.05
2016-12-21,20.9
2016-12-22,20.45
2016-12-23,20.6
2016-12-26,19.95
2016-12-27,20.25
2016-12-28,20.15
2016-12-29,20.25
2016-12-30,20.35
