Date,ADFFOODS
2016-01-01,94.75
2016-01-04,92.25
2016-01-05,94.85
2016-01-06,93.0
2016-01-07,92.05
2016-01-08,91.2
2016-01-11,90.1
2016-01-12,88.65
2016-01-13,87.3
2016-01-14,87.7
2016-01-15,85.55
2016-01-18,79.5
2016-01-19,81.65
2016-01-20,78.6
2016-01-21,83.15
2016-01-22,87.75
2016-01-25,88.8
2016-01-27,89.0
2016-01-28,89.0
2016-01-29,89.4
2016-02-01,91.65
2016-02-02,88.45
2016-02-03,86.2
2016-02-04,85.3
2016-02-05,84.0
2016-02-08,84.35
2016-02-09,82.2
2016-02-10,80.8
2016-02-11,75.6
2016-02-12,74.9
2016-02-15,76.8
2016-02-16,71.0
2016-02-17,68.35
2016-02-18,69.55
2016-02-19,69.45
2016-02-22,68.9
2016-02-23,65.8
2016-02-24,66.75
2016-02-25,66.7
2016-02-26,66.2
2016-02-29,67.8
2016-03-01,75.1
2016-03-02,76.55
2016-03-03,76.85
2016-03-04,75.05
2016-03-08,78.15
2016-03-09,81.7
2016-03-10,81.25
2016-03-11,81.0
2016-03-14,79.45
2016-03-15,79.55
2016-03-16,80.0
2016-03-17,79.45
2016-03-18,79.25
2016-03-21,79.3
2016-03-22,78.45
2016-03-23,78.75
2016-03-28,80.0
2016-03-29,85.2
2016-03-30,85.25
2016-03-31,84.0
2016-04-01,83.95
2016-04-04,85.45
2016-04-05,80.6
2016-04-06,78.85
2016-04-07,77.9
2016-04-08,83.4
2016-04-11,84.4
2016-04-12,84.55
2016-04-13,85.25
2016-04-18,83.75
2016-04-20,84.05
2016-04-21,83.1
2016-04-22,83.45
2016-04-25,81.9
2016-04-26,83.4
2016-04-27,90.0
2016-04-28,88.75
2016-04-29,88.5
2016-05-02,86.35
2016-05-03,91.8
2016-05-04,88.05
2016-05-05,86.1
2016-05-06,86.0
2016-05-09,87.3
2016-05-10,88.5
2016-05-11,87.15
2016-05-12,88.65
2016-05-13,86.9
2016-05-16,87.55
2016-05-17,88.7
2016-05-18,86.65
2016-05-19,87.45
2016-05-20,86.45
2016-05-23,87.9
2016-05-24,88.75
2016-05-25,91.15
2016-05-26,92.45
2016-05-27,90.1
2016-05-30,87.15
2016-05-31,85.3
2016-06-01,85.6
2016-06-02,84.6
2016-06-03,83.45
2016-06-06,83.25
2016-06-07,83.2
2016-06-08,84.7
2016-06-09,84.55
2016-06-10,83.8
2016-06-13,83.7
2016-06-14,86.0
2016-06-15,88.9
2016-06-16,87.1
2016-06-17,86.05
2016-06-20,88.4
2016-06-21,91.75
2016-06-22,89.45
2016-06-23,88.45
2016-06-24,86.3
2016-06-27,89.15
2016-06-28,91.05
2016-06-29,91.0
2016-06-30,91.1
2016-07-01,90.75
2016-07-04,89.65
2016-07-05,91.5
2016-07-07,89.75
2016-07-08,89.1
2016-07-11,89.2
2016-07-12,90.1
2016-07-13,89.7
2016-07-14,89.5
2016-07-15,89.65
2016-07-18,89.45
2016-07-19,90.55
2016-07-20,92.4
2016-07-21,91.9
2016-07-22,98.65
2016-07-25,96.75
2016-07-26,96.55
2016-07-27,112.7
2016-07-28,112.15
2016-07-29,119.5
2016-08-01,116.9
2016-08-02,115.45
2016-08-03,112.8
2016-08-04,110.7
2016-08-05,111.9
2016-08-08,114.7
2016-08-09,114.25
2016-08-10,118.7
2016-08-11,119.0
2016-08-12,120.05
2016-08-16,121.8
2016-08-17,122.3
2016-08-18,120.05
2016-08-19,119.75
2016-08-22,119.1
2016-08-23,118.9
2016-08-24,120.1
2016-08-25,118.6
2016-08-26,118.65
2016-08-29,129.15
2016-08-30,130.5
2016-08-31,126.95
2016-09-01,129.95
2016-09-02,128.8
2016-09-06,126.75
2016-09-07,126.85
2016-09-08,127.1
2016-09-09,125.05
2016-09-12,125.45
2016-09-14,127.2
2016-09-15,127.45
2016-09-16,128.75
2016-09-19,131.85
2016-09-20,127.0
2016-09-21,127.35
2016-09-22,127.8
2016-09-23,125.7
2016-09-26,126.2
2016-09-27,125.05
2016-09-28,129.7
2016-09-29,124.6
2016-09-30,125.15
2016-10-03,125.45
2016-10-04,125.95
2016-10-05,124.95
2016-10-06,128.75
2016-10-07,129.1
2016-10-10,127.15
2016-10-13,126.0
2016-10-14,125.95
2016-10-17,126.6
2016-10-18,128.45
2016-10-19,136.25
2016-10-20,136.8
2016-10-21,133.85
2016-10-24,155.55
2016-10-25,151.6
2016-10-26,165.6
2016-10-27,179.1
2016-10-28,174.35
2016-10-30,183.05
2016-11-01,183.45
2016-11-02,175.1
2016-11-03,166.25
2016-11-04,156.3
2016-11-07,161.3
2016-11-08,172.45
2016-11-09,167.3
2016-11-10,170.45
2016-11-11,161.25
2016-11-15,146.9
2016-11-16,141.4
2016-11-17,136.65
2016-11-18,141.95
2016-11-21,132.7
2016-11-22,132.9
2016-11-23,136.75
2016-11-24,151.85
2016-11-25,154.7
2016-11-28,153.75
2016-11-29,149.65
2016-11-30,154.3
2016-12-01,157.2
2016-12-02,152.1
2016-12-05,155.6
2016-12-06,149.75
2016-12-07,144.7
2016-12-08,148.5
2016-12-09,148.75
2016-12-12,144.9
2016-12-13,143.7
2016-12-14,147.1
2016-12-15,150.7
2016-12-16,148.15
2016-12-19,145.8
2016-12-20,144.7
2016-12-21,143.35
2016-12-22,138.95
2016-12-23,137.55
2016-12-26,135.05
2016-12-27,138.25
2016-12-28,137.6
2016-12-29,139.85
2016-12-30,140.3
