Date,PNB
2016-01-01,117.6
2016-01-04,112.8
2016-01-05,110.6
2016-01-06,109.6
2016-01-07,105.05
2016-01-08,105.1
2016-01-11,102.9
2016-01-12,99.65
2016-01-13,98.0
2016-01-14,97.8
2016-01-15,92.2
2016-01-18,90.85
2016-01-19,92.45
2016-01-20,87.25
2016-01-21,88.6
2016-01-22,92.5
2016-01-25,91.85
2016-01-27,93.75
2016-01-28,91.4
2016-01-29,91.3
2016-02-01,90.05
2016-02-02,89.5
2016-02-03,89.25
2016-02-04,90.9
2016-02-05,94.7
2016-02-08,94.3
2016-02-09,87.75
2016-02-10,79.95
2016-02-11,77.05
2016-02-12,73.65
2016-02-15,76.5
2016-02-16,72.5
2016-02-17,72.65
2016-02-18,72.45
2016-02-19,76.15
2016-02-22,75.55
2016-02-23,72.7
2016-02-24,72.2
2016-02-25,71.75
2016-02-26,72.5
2016-02-29,71.0
2016-03-01,73.65
2016-03-02,78.65
2016-03-03,79.0
2016-03-04,83.0
2016-03-08,81.5
2016-03-09,82.7
2016-03-10,81.8
2016-03-11,81.85
2016-03-14,82.3
2016-03-15,83.3
2016-03-16,82.75
2016-03-17,82.75
2016-03-18,84.3
2016-03-21,86.4
2016-03-22,85.95
2016-03-23,84.7
2016-03-28,82.15
2016-03-29,81.95
2016-03-30,85.55
2016-03-31,84.7
2016-04-01,87.65
2016-04-04,86.85
2016-04-05,82.8
2016-04-06,81.35
2016-04-07,81.0
2016-04-08,81.5
2016-04-11,83.05
2016-04-12,83.45
2016-04-13,84.6
2016-04-18,82.5
2016-04-20,84.3
2016-04-21,88.6
2016-04-22,90.1
2016-04-25,89.2
2016-04-26,90.15
2016-04-27,90.1
2016-04-28,88.2
2016-04-29,86.95
2016-05-02,84.15
2016-05-03,82.9
2016-05-04,81.25
2016-05-05,81.45
2016-05-06,80.7
2016-05-09,82.75
2016-05-10,82.55
2016-05-11,79.5
2016-05-12,79.35
2016-05-13,77.6
2016-05-16,74.95
2016-05-17,73.75
2016-05-18,76.2
2016-05-19,74.05
2016-05-20,73.35
2016-05-23,72.25
2016-05-24,71.85
2016-05-25,74.0
2016-05-26,74.55
2016-05-27,76.6
2016-05-30,77.2
2016-05-31,79.0
2016-06-01,76.7
2016-06-02,77.45
2016-06-03,76.15
2016-06-06,77.0
2016-06-07,77.65
2016-06-08,80.7
2016-06-09,82.3
2016-06-10,84.2
2016-06-13,83.0
2016-06-14,89.9
2016-06-15,90.0
2016-06-16,92.6
2016-06-17,94.6
2016-06-20,96.5
2016-06-21,97.0
2016-06-22,97.0
2016-06-23,99.25
2016-06-24,102.4
2016-06-27,104.35
2016-06-28,104.3
2016-06-29,104.4
2016-06-30,105.9
2016-07-01,105.25
2016-07-04,112.65
2016-07-05,113.95
2016-07-07,116.85
2016-07-08,117.6
2016-07-11,127.3
2016-07-12,126.25
2016-07-13,125.05
2016-07-14,132.95
2016-07-15,135.95
2016-07-18,132.2
2016-07-19,131.15
2016-07-20,129.4
2016-07-21,123.65
2016-07-22,120.2
2016-07-25,130.2
2016-07-26,129.3
2016-07-27,132.8
2016-07-28,128.95
2016-07-29,123.35
2016-08-01,122.25
2016-08-02,122.7
2016-08-03,121.6
2016-08-04,122.45
2016-08-05,123.5
2016-08-08,122.9
2016-08-09,123.8
2016-08-10,119.7
2016-08-11,116.25
2016-08-12,122.9
2016-08-16,122.6
2016-08-17,125.0
2016-08-18,126.6
2016-08-19,128.25
2016-08-22,127.45
2016-08-23,126.85
2016-08-24,126.35
2016-08-25,125.75
2016-08-26,122.85
2016-08-29,123.15
2016-08-30,127.05
2016-08-31,127.55
2016-09-01,125.75
2016-09-02,126.15
2016-09-06,132.7
2016-09-07,139.2
2016-09-08,142.6
2016-09-09,144.85
2016-09-12,137.2
2016-09-14,141.9
2016-09-15,138.75
2016-09-16,137.85
2016-09-19,138.4
2016-09-20,137.5
2016-09-21,135.75
2016-09-22,141.15
2016-09-23,139.3
2016-09-26,140.15
2016-09-27,139.7
2016-09-28,146.5
2016-09-29,136.6
2016-09-30,140.7
2016-10-03,143.35
2016-10-04,145.7
2016-10-05,144.3
2016-10-06,141.95
2016-10-07,143.6
2016-10-10,144.45
2016-10-13,137.95
2016-10-14,138.95
2016-10-17,136.65
2016-10-18,140.8
2016-10-19,140.9
2016-10-20,145.85
2016-10-21,147.55
2016-10-24,147.05
2016-10-25,146.3
2016-10-26,144.0
2016-10-27,141.8
2016-10-28,143.95
2016-10-30,144.8
2016-11-01,143.9
2016-11-02,136.7
2016-11-03,133.15
2016-11-04,131.65
2016-11-07,140.45
2016-11-08,140.6
2016-11-09,142.2
2016-11-10,159.3
2016-11-11,155.7
2016-11-15,154.7
2016-11-16,148.8
2016-11-17,147.6
2016-11-18,149.75
2016-11-21,136.45
2016-11-22,137.4
2016-11-23,137.5
2016-11-24,137.85
2016-11-25,140.3
2016-11-28,137.1
2016-11-29,136.1
2016-11-30,138.15
2016-12-01,136.35
2016-12-02,134.0
2016-12-05,135.65
2016-12-06,134.05
2016-12-07,131.4
2016-12-08,133.1
2016-12-09,135.2
2016-12-12,130.85
2016-12-13,129.4
2016-12-14,127.1
2016-12-15,126.3
2016-12-16,125.25
2016-12-19,124.35
2016-12-20,121.45
2016-12-21,120.55
2016-12-22,119.4
2016-12-23,120.0
2016-12-26,115.05
2016-12-27,116.0
2016-12-28,113.95
2016-12-29,113.15
2016-12-30,115.45
