Date,SITINET
2016-01-01,36.2
2016-01-04,36.9
2016-01-05,38.7
2016-01-06,37.05
2016-01-07,34.85
2016-01-08,36.0
2016-01-11,35.05
2016-01-12,35.5
2016-01-13,36.1
2016-01-14,37.2
2016-01-15,36.65
2016-01-18,35.5
2016-01-19,35.4
2016-01-20,35.35
2016-01-21,35.55
2016-01-22,36.95
2016-01-25,36.5
2016-01-27,36.35
2016-01-28,36.35
2016-01-29,36.45
2016-02-01,36.55
2016-02-02,36.15
2016-02-03,35.6
2016-02-04,35.7
2016-02-05,35.75
2016-02-08,35.4
2016-02-09,35.3
2016-02-10,34.65
2016-02-11,33.45
2016-02-12,33.75
2016-02-15,33.55
2016-02-16,33.5
2016-02-17,33.35
2016-02-18,33.6
2016-02-19,34.35
2016-02-22,35.4
2016-02-23,34.95
2016-02-24,34.95
2016-02-25,35.0
2016-02-26,34.9
2016-02-29,35.45
2016-03-01,35.6
2016-03-02,35.15
2016-03-03,35.35
2016-03-04,35.3
2016-03-08,34.8
2016-03-09,34.85
2016-03-10,34.75
2016-03-11,34.65
2016-03-14,34.7
2016-03-15,35.2
2016-03-16,36.0
2016-03-17,36.2
2016-03-18,35.55
2016-03-21,35.5
2016-03-22,35.35
2016-03-23,35.4
2016-03-28,35.0
2016-03-29,34.7
2016-03-30,35.0
2016-03-31,35.45
2016-04-01,35.95
2016-04-04,35.8
2016-04-05,35.0
2016-04-06,34.95
2016-04-07,34.9
2016-04-08,34.9
2016-04-11,34.9
2016-04-12,34.95
2016-04-13,34.9
2016-04-18,35.1
2016-04-20,34.95
2016-04-21,34.95
2016-04-22,34.7
2016-04-25,35.05
2016-04-26,35.2
2016-04-27,35.4
2016-04-28,35.25
2016-04-29,35.35
2016-05-02,36.8
2016-05-03,36.0
2016-05-04,36.15
2016-05-05,36.0
2016-05-06,36.0
2016-05-09,36.0
2016-05-10,35.75
2016-05-11,36.0
2016-05-12,35.6
2016-05-13,35.6
2016-05-16,35.65
2016-05-17,36.95
2016-05-18,36.8
2016-05-19,38.75
2016-05-20,38.2
2016-05-23,37.95
2016-05-24,36.9
2016-05-25,38.15
2016-05-26,37.35
2016-05-27,37.7
2016-05-30,38.15
2016-05-31,37.75
2016-06-01,37.55
2016-06-02,37.4
2016-06-03,37.4
2016-06-06,36.75
2016-06-07,37.0
2016-06-08,38.15
2016-06-09,37.9
2016-06-10,37.45
2016-06-13,37.3
2016-06-14,37.6
2016-06-15,37.75
2016-06-16,37.2
2016-06-17,36.95
2016-06-20,37.0
2016-06-21,38.2
2016-06-22,37.9
2016-06-23,37.55
2016-06-24,36.5
2016-06-27,37.25
2016-06-28,37.15
2016-06-29,37.3
2016-06-30,38.65
2016-07-01,38.75
2016-07-04,38.9
2016-07-05,38.95
2016-07-07,38.95
2016-07-08,39.3
2016-07-11,38.95
2016-07-12,38.3
2016-07-13,38.1
2016-07-14,38.1
2016-07-15,38.0
2016-07-18,38.0
2016-07-19,37.65
2016-07-20,37.85
2016-07-21,37.8
2016-07-22,37.8
2016-07-25,37.7
2016-07-26,37.35
2016-07-27,37.35
2016-07-28,37.4
2016-07-29,38.95
2016-08-01,38.85
2016-08-02,38.2
2016-08-03,37.95
2016-08-04,38.2
2016-08-05,38.2
2016-08-08,38.55
2016-08-09,38.0
2016-08-10,37.9
2016-08-11,38.1
2016-08-12,37.95
2016-08-16,38.0
2016-08-17,37.75
2016-08-18,36.6
2016-08-19,37.05
2016-08-22,36.4
2016-08-23,36.1
2016-08-24,36.4
2016-08-25,36.1
2016-08-26,35.65
2016-08-29,35.15
2016-08-30,35.3
2016-08-31,35.35
2016-09-01,33.75
2016-09-02,33.9
2016-09-06,33.9
2016-09-07,33.75
2016-09-08,34.4
2016-09-09,36.15
2016-09-12,35.55
2016-09-14,35.4
2016-09-15,35.15
2016-09-16,35.35
2016-09-19,35.05
2016-09-20,34.7
2016-09-21,34.95
2016-09-22,34.7
2016-09-23,34.3
2016-09-26,33.9
2016-09-27,33.8
2016-09-28,34.15
2016-09-29,33.9
2016-09-30,34.1
2016-10-03,34.65
2016-10-04,35.4
2016-10-05,35.8
2016-10-06,35.6
2016-10-07,34.8
2016-10-10,34.5
2016-10-13,34.15
2016-10-14,34.2
2016-10-17,33.85
2016-10-18,33.7
2016-10-19,34.05
2016-10-20,34.55
2016-10-21,34.15
2016-10-24,34.2
2016-10-25,34.05
2016-10-26,34.2
2016-10-27,34.1
2016-10-28,34.7
2016-10-30,34.6
2016-11-01,34.75
2016-11-02,35.05
2016-11-03,35.4
2016-11-04,35.3
2016-11-07,35.0
2016-11-08,34.95
2016-11-09,35.1
2016-11-10,35.1
2016-11-11,35.0
2016-11-15,34.85
2016-11-16,34.7
2016-11-17,34.9
2016-11-18,35.2
2016-11-21,35.05
2016-11-22,35.0
2016-11-23,36.55
2016-11-24,35.95
2016-11-25,36.95
2016-11-28,36.45
2016-11-29,36.35
2016-11-30,36.4
2016-12-01,35.55
2016-12-02,35.2
2016-12-05,34.85
2016-12-06,35.05
2016-12-07,34.55
2016-12-08,35.15
2016-12-09,36.6
2016-12-12,37.5
2016-12-13,38.35
2016-12-14,37.9
2016-12-15,37.6
2016-12-16,37.25
2016-12-19,36.95
2016-12-20,37.85
2016-12-21,37.55
2016-12-22,37.15
2016-12-23,37.1
2016-12-26,37.1
2016-12-27,37.3
2016-12-28,37.15
2016-12-29,37.6
2016-12-30,38.2
