Date,SUPRAJIT
2016-01-01,144.1
2016-01-04,143.75
2016-01-05,141.8
2016-01-06,141.8
2016-01-07,140.85
2016-01-08,141.35
2016-01-11,139.3
2016-01-12,138.65
2016-01-13,139.05
2016-01-14,136.45
2016-01-15,128.05
2016-01-18,125.45
2016-01-19,126.3
2016-01-20,126.65
2016-01-21,129.95
2016-01-22,143.25
2016-01-25,143.8
2016-01-27,143.05
2016-01-28,142.9
2016-01-29,142.75
2016-02-01,142.1
2016-02-02,141.35
2016-02-03,137.95
2016-02-04,136.15
2016-02-05,139.9
2016-02-08,141.05
2016-02-09,140.1
2016-02-10,139.9
2016-02-11,137.95
2016-02-12,138.2
2016-02-15,142.45
2016-02-16,139.3
2016-02-17,142.25
2016-02-18,142.0
2016-02-19,139.45
2016-02-22,136.75
2016-02-23,134.85
2016-02-24,130.45
2016-02-25,130.0
2016-02-26,132.45
2016-02-29,130.3
2016-03-01,131.05
2016-03-02,133.1
2016-03-03,132.3
2016-03-04,133.55
2016-03-08,133.35
2016-03-09,132.95
2016-03-10,132.35
2016-03-11,131.8
2016-03-14,132.15
2016-03-15,132.05
2016-03-16,132.4
2016-03-17,132.9
2016-03-18,132.8
2016-03-21,132.8
2016-03-22,132.9
2016-03-23,132.25
2016-03-28,129.7
2016-03-29,128.55
2016-03-30,130.0
2016-03-31,131.0
2016-04-01,133.55
2016-04-04,132.45
2016-04-05,135.1
2016-04-06,133.85
2016-04-07,134.05
2016-04-08,133.5
2016-04-11,134.5
2016-04-12,133.6
2016-04-13,136.6
2016-04-18,147.45
2016-04-20,142.0
2016-04-21,143.45
2016-04-22,140.6
2016-04-25,139.1
2016-04-26,138.85
2016-04-27,139.05
2016-04-28,143.4
2016-04-29,140.45
2016-05-02,141.05
2016-05-03,141.95
2016-05-04,143.2
2016-05-05,143.05
2016-05-06,149.05
2016-05-09,149.5
2016-05-10,151.45
2016-05-11,148.6
2016-05-12,150.25
2016-05-13,151.15
2016-05-16,149.9
2016-05-17,151.85
2016-05-18,155.95
2016-05-19,163.4
2016-05-20,162.05
2016-05-23,162.15
2016-05-24,158.95
2016-05-25,164.05
2016-05-26,162.35
2016-05-27,161.15
2016-05-30,160.0
2016-05-31,162.25
2016-06-01,160.7
2016-06-02,162.7
2016-06-03,173.55
2016-06-06,180.6
2016-06-07,185.0
2016-06-08,182.75
2016-06-09,185.8
2016-06-10,182.3
2016-06-13,184.2
2016-06-14,183.1
2016-06-15,185.5
2016-06-16,184.75
2016-06-17,183.0
2016-06-20,182.9
2016-06-21,191.25
2016-06-22,184.1
2016-06-23,179.15
2016-06-24,183.25
2016-06-27,185.5
2016-06-28,202.9
2016-06-29,199.45
2016-06-30,200.25
2016-07-01,195.1
2016-07-04,189.75
2016-07-05,190.1
2016-07-07,188.45
2016-07-08,191.05
2016-07-11,189.8
2016-07-12,189.8
2016-07-13,189.85
2016-07-14,189.75
2016-07-15,189.75
2016-07-18,189.75
2016-07-19,187.65
2016-07-20,187.55
2016-07-21,190.7
2016-07-22,188.8
2016-07-25,189.2
2016-07-26,190.3
2016-07-27,190.6
2016-07-28,189.85
2016-07-29,193.0
2016-08-01,191.05
2016-08-02,194.4
2016-08-03,190.2
2016-08-04,188.95
2016-08-05,191.3
2016-08-08,189.15
2016-08-09,189.65
2016-08-10,193.5
2016-08-11,192.5
2016-08-12,191.35
2016-08-16,199.05
2016-08-17,198.75
2016-08-18,197.8
2016-08-19,197.65
2016-08-22,195.05
2016-08-23,193.4
2016-08-24,189.95
2016-08-25,192.4
2016-08-26,189.4
2016-08-29,191.55
2016-08-30,192.0
2016-08-31,194.55
2016-09-01,192.25
2016-09-02,191.8
2016-09-06,193.7
2016-09-07,190.7
2016-09-08,191.05
2016-09-09,189.2
2016-09-12,190.9
2016-09-14,194.65
2016-09-15,199.85
2016-09-16,217.8
2016-09-19,216.35
2016-09-20,216.5
2016-09-21,215.6
2016-09-22,214.7
2016-09-23,213.3
2016-09-26,213.05
2016-09-27,216.75
2016-09-28,217.85
2016-09-29,207.4
2016-09-30,211.5
2016-10-03,216.9
2016-10-04,217.9
2016-10-05,216.95
2016-10-06,211.5
2016-10-07,213.3
2016-10-10,213.9
2016-10-13,210.95
2016-10-14,215.3
2016-10-17,210.95
2016-10-18,214.4
2016-10-19,213.85
2016-10-20,213.5
2016-10-21,211.8
2016-10-24,213.45
2016-10-25,210.35
2016-10-26,208.25
2016-10-27,206.4
2016-10-28,206.0
2016-10-30,213.2
2016-11-01,211.95
2016-11-02,213.95
2016-11-03,207.9
2016-11-04,201.75
2016-11-07,204.7
2016-11-08,202.75
2016-11-09,202.35
2016-11-10,202.6
2016-11-11,195.7
2016-11-15,185.85
2016-11-16,187.05
2016-11-17,188.1
2016-11-18,187.8
2016-11-21,180.9
2016-11-22,179.8
2016-11-23,181.25
2016-11-24,182.5
2016-11-25,188.7
2016-11-28,184.9
2016-11-29,188.25
2016-11-30,187.05
2016-12-01,186.05
2016-12-02,184.15
2016-12-05,184.75
2016-12-06,188.95
2016-12-07,190.75
2016-12-08,198.55
2016-12-09,198.45
2016-12-12,200.15
2016-12-13,194.8
2016-12-14,192.0
2016-12-15,197.6
2016-12-16,196.25
2016-12-19,197.4
2016-12-20,191.75
2016-12-21,195.35
2016-12-22,190.05
2016-12-23,188.4
2016-12-26,187.15
2016-12-27,188.6
2016-12-28,184.1
2016-12-29,186.25
2016-12-30,190.9
