Date,SWARAJENG
2016-01-01,962.5
2016-01-04,946.85
2016-01-05,961.05
2016-01-06,964.4
2016-01-07,952.2
2016-01-08,953.1
2016-01-11,955.85
2016-01-12,950.05
2016-01-13,932.15
2016-01-14,909.9
2016-01-15,908.25
2016-01-18,897.8
2016-01-19,919.85
2016-01-20,906.6
2016-01-21,886.6
2016-01-22,897.4
2016-01-25,891.95
2016-01-27,856.25
2016-01-28,844.1
2016-01-29,849.95
2016-02-01,874.4
2016-02-02,880.15
2016-02-03,851.45
2016-02-04,848.95
2016-02-05,854.05
2016-02-08,856.8
2016-02-09,847.3
2016-02-10,834.1
2016-02-11,806.1
2016-02-12,785.15
2016-02-15,802.85
2016-02-16,801.0
2016-02-17,789.25
2016-02-18,792.9
2016-02-19,797.1
2016-02-22,808.85
2016-02-23,810.35
2016-02-24,806.15
2016-02-25,816.4
2016-02-26,816.25
2016-02-29,819.45
2016-03-01,841.9
2016-03-02,873.0
2016-03-03,867.05
2016-03-04,871.9
2016-03-08,861.05
2016-03-09,855.15
2016-03-10,842.75
2016-03-11,852.15
2016-03-14,849.35
2016-03-15,848.0
2016-03-16,844.7
2016-03-17,841.7
2016-03-18,846.4
2016-03-21,861.15
2016-03-22,860.8
2016-03-23,860.25
2016-03-28,848.15
2016-03-29,844.2
2016-03-30,861.8
2016-03-31,856.6
2016-04-01,878.5
2016-04-04,890.3
2016-04-05,870.6
2016-04-06,904.0
2016-04-07,892.25
2016-04-08,898.15
2016-04-11,989.0
2016-04-12,1005.65
2016-04-13,1105.9
2016-04-18,1095.5
2016-04-20,1110.0
2016-04-21,1139.05
2016-04-22,1142.0
2016-04-25,1137.6
2016-04-26,1125.1
2016-04-27,1160.0
2016-04-28,1106.05
2016-04-29,1101.55
2016-05-02,1139.6
2016-05-03,1134.05
2016-05-04,1113.35
2016-05-05,1113.1
2016-05-06,1106.85
2016-05-09,1114.45
2016-05-10,1108.95
2016-05-11,1106.45
2016-05-12,1102.35
2016-05-13,1100.0
2016-05-16,1096.7
2016-05-17,1096.35
2016-05-18,1121.85
2016-05-19,1100.9
2016-05-20,1106.9
2016-05-23,1101.6
2016-05-24,1100.05
2016-05-25,1101.2
2016-05-26,1100.6
2016-05-27,1100.15
2016-05-30,1111.15
2016-05-31,1107.2
2016-06-01,1107.65
2016-06-02,1107.0
2016-06-03,1103.5
2016-06-06,1099.05
2016-06-07,1101.55
2016-06-08,1123.5
2016-06-09,1110.45
2016-06-10,1105.05
2016-06-13,1100.95
2016-06-14,1115.7
2016-06-15,1138.45
2016-06-16,1135.25
2016-06-17,1121.45
2016-06-20,1117.35
2016-06-21,1106.65
2016-06-22,1163.4
2016-06-23,1153.0
2016-06-24,1162.4
2016-06-27,1157.7
2016-06-28,1148.25
2016-06-29,1155.85
2016-06-30,1183.65
2016-07-01,1218.3
2016-07-04,1238.1
2016-07-05,1245.0
2016-07-07,1180.35
2016-07-08,1156.95
2016-07-11,1150.2
2016-07-12,1148.55
2016-07-13,1138.7
2016-07-14,1134.2
2016-07-15,1142.95
2016-07-18,1122.9
2016-07-19,1110.45
2016-07-20,1140.7
2016-07-21,1145.3
2016-07-22,1146.5
2016-07-25,1171.95
2016-07-26,1189.4
2016-07-27,1177.5
2016-07-28,1161.4
2016-07-29,1163.7
2016-08-01,1157.8
2016-08-02,1146.45
2016-08-03,1127.05
