Date,FAIRCHEM
2016-01-01,252.85
2016-01-04,249.1
2016-01-05,249.95
2016-01-06,251.1
2016-01-07,249.2
2016-01-08,250.9
2016-01-11,248.1
2016-01-12,254.55
2016-01-13,249.0
2016-01-14,243.5
2016-01-15,240.35
2016-01-18,229.05
2016-01-19,222.5
2016-01-20,220.0
2016-01-21,218.85
2016-01-22,219.9
2016-01-25,224.65
2016-01-27,218.75
2016-01-28,221.85
2016-01-29,225.0
2016-02-01,226.3
2016-02-02,224.3
2016-02-03,234.4
2016-02-04,229.9
2016-02-05,221.7
2016-02-08,220.05
2016-02-09,219.7
2016-02-10,221.45
2016-02-11,199.1
2016-02-12,201.3
2016-02-15,208.0
2016-02-16,203.8
2016-02-17,200.3
2016-02-18,201.4
2016-02-19,200.05
2016-02-22,200.85
2016-02-23,209.95
2016-02-24,210.25
2016-02-25,210.0
2016-02-26,210.35
2016-02-29,210.0
2016-03-01,220.1
2016-03-02,214.05
2016-03-03,216.0
2016-03-04,212.45
2016-03-08,235.0
2016-03-09,279.5
2016-03-10,267.85
2016-03-11,270.35
2016-03-14,285.85
2016-03-15,290.2
2016-03-16,274.75
2016-03-17,271.1
2016-03-18,268.65
2016-03-21,266.45
2016-03-22,259.25
2016-03-23,258.15
2016-03-28,257.8
2016-03-29,255.35
2016-03-30,257.55
2016-03-31,259.0
2016-04-01,259.95
2016-04-04,274.8
2016-04-05,284.2
2016-04-06,296.85
2016-04-07,289.65
2016-04-08,291.3
2016-04-11,288.05
2016-04-12,305.25
2016-04-13,295.15
2016-04-18,303.3
2016-04-20,307.2
2016-04-21,316.2
2016-04-22,318.25
2016-04-25,300.3
2016-04-26,302.05
2016-04-27,295.2
2016-04-28,301.35
2016-04-29,298.9
2016-05-02,298.6
2016-05-03,275.5
2016-05-04,276.9
2016-05-05,278.7
2016-05-06,276.25
2016-05-09,278.65
2016-05-10,281.3
2016-05-11,274.4
2016-05-12,279.55
2016-05-13,278.75
2016-05-16,280.0
2016-05-17,278.55
2016-05-18,281.0
2016-05-19,281.0
2016-05-20,270.2
2016-05-23,287.05
2016-05-24,285.55
2016-05-25,281.3
2016-05-26,286.25
2016-05-27,290.0
2016-05-30,287.3
2016-05-31,281.15
2016-06-01,278.45
2016-06-02,279.65
2016-06-03,292.15
2016-06-06,284.65
2016-06-07,289.7
2016-06-08,290.6
2016-06-09,288.45
2016-06-10,285.75
2016-06-13,284.8
2016-06-14,288.1
2016-06-15,289.05
2016-06-16,297.25
2016-06-17,315.0
2016-06-20,306.9
2016-06-21,313.05
2016-06-22,337.55
2016-06-23,335.55
2016-06-24,340.6
2016-06-27,363.6
2016-06-28,353.55
2016-06-29,353.05
2016-06-30,345.85
2016-07-01,348.0
2016-07-04,337.3
2016-07-05,333.05
2016-07-07,325.85
2016-07-08,391.0
2016-07-11,381.8
2016-07-12,392.55
2016-07-13,363.35
2016-07-14,368.2
2016-07-15,373.7
2016-07-18,363.3
2016-07-19,358.05
2016-07-20,358.65
2016-07-21,350.6
2016-07-22,379.0
2016-07-25,387.05
2016-07-26,372.4
2016-07-27,369.25
2016-07-28,377.05
2016-07-29,387.9
2016-08-01,374.65
2016-08-02,382.35
2016-08-03,379.45
2016-08-04,379.8
2016-08-05,373.0
2016-08-08,367.75
2016-08-09,373.2
2016-08-10,369.65
2016-08-11,369.05
2016-08-12,368.8
2016-08-16,360.9
2016-08-17,381.6
2016-08-18,376.95
2016-08-19,388.05
2016-08-22,393.5
2016-08-23,388.75
2016-08-24,389.3
2016-08-25,387.85
2016-08-26,380.7
2016-08-29,391.4
2016-08-30,386.8
2016-08-31,385.6
2016-09-01,385.7
2016-09-02,383.35
2016-09-06,396.75
2016-09-07,392.45
2016-09-08,393.8
2016-09-09,394.25
2016-09-12,377.7
2016-09-14,399.6
2016-09-15,408.45
2016-09-16,417.2
2016-09-19,414.6
2016-09-20,417.0
2016-09-21,417.6
2016-09-22,423.45
2016-09-23,439.8
2016-09-26,436.3
2016-09-27,428.0
2016-09-28,425.3
2016-09-29,408.9
2016-09-30,426.75
2016-10-03,449.15
2016-10-04,437.15
2016-10-05,449.55
2016-10-06,471.1
2016-10-07,482.7
2016-10-10,494.75
2016-10-13,484.35
2016-10-14,492.35
2016-10-17,493.3
2016-10-18,485.8
2016-10-19,499.75
2016-10-20,499.7
2016-10-21,500.55
2016-10-24,502.6
2016-10-25,503.7
2016-10-26,521.65
2016-10-27,528.5
2016-10-28,524.3
2016-10-30,521.5
2016-11-01,511.85
2016-11-02,509.35
2016-11-03,516.9
2016-11-04,502.8
2016-11-07,510.45
2016-11-08,492.85
2016-11-09,490.35
2016-11-10,506.1
2016-11-11,483.05
2016-11-15,473.95
2016-11-16,466.25
2016-11-17,453.4
2016-11-18,444.3
2016-11-21,398.75
2016-11-22,422.2
2016-11-23,434.9
2016-11-24,462.85
2016-11-25,455.6
2016-11-28,463.9
2016-11-29,467.75
2016-11-30,473.15
2016-12-01,465.65
2016-12-02,456.2
2016-12-05,441.05
2016-12-06,443.7
2016-12-07,439.7
2016-12-08,448.95
2016-12-09,485.85
2016-12-12,507.25
2016-12-13,510.4
2016-12-14,512.55
2016-12-15,514.5
2016-12-16,516.55
2016-12-19,520.2
2016-12-20,512.1
2016-12-21,510.5
2016-12-22,485.5
2016-12-23,490.7
2016-12-26,475.7
2016-12-27,483.55
2016-12-28,493.2
2016-12-29,507.95
2016-12-30,506.15
