Date,BANCOINDIA
2016-01-01,144.7
2016-01-04,144.05
2016-01-05,145.15
2016-01-06,145.9
2016-01-07,139.45
2016-01-08,142.5
2016-01-11,142.65
2016-01-12,140.55
2016-01-13,135.3
2016-01-14,132.45
2016-01-15,128.4
2016-01-18,119.2
2016-01-19,121.2
2016-01-20,120.1
2016-01-21,119.8
2016-01-22,124.05
2016-01-25,126.65
2016-01-27,126.1
2016-01-28,125.6
2016-01-29,127.9
2016-02-01,123.8
2016-02-02,123.55
2016-02-03,120.3
2016-02-04,117.9
2016-02-05,114.9
2016-02-08,113.95
2016-02-09,109.55
2016-02-10,106.15
2016-02-11,103.3
2016-02-12,100.9
2016-02-15,104.15
2016-02-16,99.5
2016-02-17,99.1
2016-02-18,93.5
2016-02-19,96.2
2016-02-22,95.9
2016-02-23,94.75
2016-02-24,92.7
2016-02-25,92.4
2016-02-26,92.3
2016-02-29,94.6
2016-03-01,97.95
2016-03-02,100.0
2016-03-03,101.8
2016-03-04,99.4
2016-03-08,100.0
2016-03-09,100.2
2016-03-10,100.8
2016-03-11,98.9
2016-03-14,99.6
2016-03-15,99.1
2016-03-16,98.6
2016-03-17,102.8
2016-03-18,103.65
2016-03-21,106.1
2016-03-22,109.9
2016-03-23,109.95
2016-03-28,110.6
2016-03-29,112.05
2016-03-30,112.45
2016-03-31,110.05
2016-04-01,115.25
2016-04-04,114.45
2016-04-05,111.25
2016-04-06,112.9
2016-04-07,111.05
2016-04-08,112.8
2016-04-11,123.0
2016-04-12,121.55
2016-04-13,122.95
2016-04-18,126.55
2016-04-20,133.25
2016-04-21,135.95
2016-04-22,136.3
2016-04-25,134.65
2016-04-26,134.95
2016-04-27,135.3
2016-04-28,133.15
2016-04-29,132.75
2016-05-02,130.75
2016-05-03,131.1
2016-05-04,130.25
2016-05-05,128.1
2016-05-06,127.9
2016-05-09,130.4
2016-05-10,129.8
2016-05-11,127.95
2016-05-12,129.65
2016-05-13,129.6
2016-05-16,127.65
2016-05-17,127.95
2016-05-18,127.25
2016-05-19,126.65
2016-05-20,127.4
2016-05-23,126.05
2016-05-24,125.5
2016-05-25,127.75
2016-05-26,127.3
2016-05-27,134.0
2016-05-30,133.35
2016-05-31,131.2
2016-06-01,133.85
2016-06-02,138.35
2016-06-03,138.55
2016-06-06,137.55
2016-06-07,136.75
2016-06-08,136.55
2016-06-09,137.3
2016-06-10,138.0
2016-06-13,139.1
2016-06-14,137.7
2016-06-15,144.2
2016-06-16,144.2
2016-06-17,142.7
2016-06-20,144.25
2016-06-21,141.65
2016-06-22,140.95
2016-06-23,139.9
2016-06-24,137.45
2016-06-27,137.4
2016-06-28,143.65
2016-06-29,143.7
2016-06-30,153.45
2016-07-01,157.65
2016-07-04,160.9
2016-07-05,155.3
2016-07-07,154.1
2016-07-08,155.95
2016-07-11,155.0
2016-07-12,153.0
2016-07-13,149.15
2016-07-14,151.65
2016-07-15,150.6
2016-07-18,149.9
2016-07-19,147.85
2016-07-20,150.7
2016-07-21,161.65
2016-07-22,169.05
2016-07-25,172.5
2016-07-26,171.1
2016-07-27,170.9
2016-07-28,172.5
2016-07-29,169.55
2016-08-01,174.4
2016-08-02,199.55
2016-08-03,199.2
2016-08-04,208.95
2016-08-05,209.7
2016-08-08,197.45
2016-08-09,200.0
2016-08-10,195.8
2016-08-11,199.15
2016-08-12,202.5
2016-08-16,199.35
2016-08-17,212.4
2016-08-18,218.05
2016-08-19,214.7
2016-08-22,212.65
2016-08-23,219.5
2016-08-24,220.85
2016-08-25,216.95
2016-08-26,213.3
2016-08-29,212.4
2016-08-30,214.65
2016-08-31,216.15
2016-09-01,227.0
2016-09-02,238.2
2016-09-06,232.35
2016-09-07,230.4
2016-09-08,230.0
2016-09-09,224.2
2016-09-12,214.8
2016-09-14,229.35
2016-09-15,233.25
2016-09-16,230.15
2016-09-19,220.35
2016-09-20,219.1
2016-09-21,221.45
2016-09-22,223.65
2016-09-23,219.85
2016-09-26,218.25
2016-09-27,214.4
2016-09-28,215.3
2016-09-29,205.15
2016-09-30,207.55
2016-10-03,215.25
2016-10-04,214.5
2016-10-05,219.2
2016-10-06,215.6
2016-10-07,215.35
2016-10-10,223.45
2016-10-13,226.05
2016-10-14,225.85
2016-10-17,222.95
2016-10-18,226.8
2016-10-19,225.85
2016-10-20,224.6
2016-10-21,233.4
2016-10-24,232.2
2016-10-25,227.5
2016-10-26,226.9
2016-10-27,225.6
2016-10-28,221.7
2016-10-30,224.8
2016-11-01,222.2
2016-11-02,215.3
2016-11-03,214.1
2016-11-04,204.85
2016-11-07,208.5
2016-11-08,204.85
2016-11-09,197.45
2016-11-10,204.95
2016-11-11,195.5
2016-11-15,179.3
2016-11-16,176.7
2016-11-17,173.1
2016-11-18,174.7
2016-11-21,161.75
2016-11-22,166.7
2016-11-23,175.65
2016-11-24,173.15
2016-11-25,180.5
2016-11-28,181.95
2016-11-29,192.6
2016-11-30,196.35
2016-12-01,191.7
2016-12-02,190.1
2016-12-05,195.55
2016-12-06,194.4
2016-12-07,193.6
2016-12-08,194.65
2016-12-09,187.0
2016-12-12,187.35
2016-12-13,191.2
2016-12-14,191.25
2016-12-15,190.25
2016-12-16,187.55
2016-12-19,188.5
2016-12-20,183.85
2016-12-21,180.8
2016-12-22,176.9
2016-12-23,176.4
2016-12-26,173.2
2016-12-27,172.25
2016-12-28,174.95
2016-12-29,183.35
2016-12-30,188.4
