Date,KOTHARIPET
2016-01-01,28.2
2016-01-04,27.85
2016-01-05,27.95
2016-01-06,27.65
2016-01-07,26.05
2016-01-08,26.05
2016-01-11,25.15
2016-01-12,23.6
2016-01-13,22.95
2016-01-14,23.1
2016-01-15,22.85
2016-01-18,21.15
2016-01-19,22.2
2016-01-20,20.8
2016-01-21,20.8
2016-01-22,22.0
2016-01-25,22.55
2016-01-27,22.85
2016-01-28,22.6
2016-01-29,22.5
2016-02-01,22.75
2016-02-02,21.9
2016-02-03,21.25
2016-02-04,20.75
2016-02-05,20.75
2016-02-08,21.0
2016-02-09,20.35
2016-02-10,18.8
2016-02-11,17.1
2016-02-12,18.55
2016-02-15,19.5
2016-02-16,18.7
2016-02-17,18.85
2016-02-18,18.45
2016-02-19,18.0
2016-02-22,17.95
2016-02-23,17.15
2016-02-24,17.0
2016-02-25,16.7
2016-02-26,17.0
2016-02-29,17.0
2016-03-01,17.5
2016-03-02,18.25
2016-03-03,18.55
2016-03-04,20.5
2016-03-08,19.4
2016-03-09,19.75
2016-03-10,19.8
2016-03-11,19.85
2016-03-14,19.6
2016-03-15,19.45
2016-03-16,19.35
2016-03-17,18.7
2016-03-18,18.5
2016-03-21,19.05
2016-03-22,19.35
2016-03-23,19.7
2016-03-28,19.7
2016-03-29,18.35
2016-03-30,18.65
2016-03-31,18.25
2016-04-01,18.85
2016-04-04,18.85
2016-04-05,18.7
2016-04-06,19.0
2016-04-07,18.7
2016-04-08,19.5
2016-04-11,20.8
2016-04-12,21.0
2016-04-13,20.8
2016-04-18,20.5
2016-04-20,20.35
2016-04-21,20.35
2016-04-22,20.25
2016-04-25,20.2
2016-04-26,20.1
2016-04-27,20.5
2016-04-28,20.4
2016-04-29,20.2
2016-05-02,20.15
2016-05-03,19.9
2016-05-04,19.6
2016-05-05,19.55
2016-05-06,20.2
2016-05-09,20.05
2016-05-10,20.5
2016-05-11,20.05
2016-05-12,20.0
2016-05-13,20.2
2016-05-16,20.2
2016-05-17,19.8
2016-05-18,19.8
2016-05-19,19.95
2016-05-20,19.5
2016-05-23,22.15
2016-05-24,21.3
2016-05-25,21.7
2016-05-26,21.05
2016-05-27,21.0
2016-05-30,20.3
2016-05-31,21.65
2016-06-01,21.05
2016-06-02,21.2
2016-06-03,20.75
2016-06-06,20.15
2016-06-07,19.75
2016-06-08,20.0
2016-06-09,20.4
2016-06-10,20.1
2016-06-13,20.2
2016-06-14,20.45
2016-06-15,21.4
2016-06-16,20.8
2016-06-17,20.4
2016-06-20,20.0
2016-06-21,19.8
2016-06-22,19.85
2016-06-23,20.4
2016-06-24,20.4
2016-06-27,20.8
2016-06-28,20.1
2016-06-29,20.45
2016-06-30,20.45
2016-07-01,20.25
2016-07-04,21.75
2016-07-05,22.1
2016-07-07,22.3
2016-07-08,21.75
2016-07-11,22.5
2016-07-12,21.8
2016-07-13,21.95
2016-07-14,22.0
2016-07-15,21.95
2016-07-18,21.55
2016-07-19,21.6
2016-07-20,21.7
2016-07-21,23.05
2016-07-22,22.35
2016-07-25,22.95
2016-07-26,22.75
2016-07-27,22.65
2016-07-28,22.75
2016-07-29,22.45
2016-08-01,22.55
2016-08-02,21.5
2016-08-03,20.55
2016-08-04,20.9
2016-08-05,21.05
2016-08-08,21.55
2016-08-09,21.7
2016-08-10,20.9
2016-08-11,20.75
2016-08-12,21.1
2016-08-16,20.3
2016-08-17,20.25
2016-08-18,21.0
2016-08-19,21.0
2016-08-22,20.4
2016-08-23,20.35
2016-08-24,20.7
2016-08-25,20.5
2016-08-26,20.4
2016-08-29,20.45
2016-08-30,20.65
2016-08-31,20.65
2016-09-01,20.7
2016-09-02,20.5
2016-09-06,20.8
2016-09-07,20.65
2016-09-08,20.25
2016-09-09,20.2
2016-09-12,20.4
2016-09-14,20.4
2016-09-15,21.4
2016-09-16,23.75
2016-09-19,24.2
2016-09-20,24.15
2016-09-21,23.2
2016-09-22,23.15
2016-09-23,23.05
2016-09-26,21.6
2016-09-27,21.6
2016-09-28,21.55
2016-09-29,20.1
2016-09-30,20.9
2016-10-03,23.1
2016-10-04,22.7
2016-10-05,22.9
2016-10-06,27.35
2016-10-07,25.65
2016-10-10,25.4
2016-10-13,24.9
2016-10-14,24.95
2016-10-17,26.35
2016-10-18,27.85
2016-10-19,27.05
2016-10-20,27.1
2016-10-21,26.5
2016-10-24,26.4
2016-10-25,26.25
2016-10-26,25.65
2016-10-27,25.85
2016-10-28,26.6
2016-10-30,26.4
2016-11-01,25.8
2016-11-02,25.4
2016-11-03,25.6
2016-11-04,24.3
2016-11-07,25.15
2016-11-08,23.6
2016-11-09,22.9
2016-11-10,23.1
2016-11-11,22.05
2016-11-15,20.8
2016-11-16,20.9
2016-11-17,20.55
2016-11-18,20.6
2016-11-21,20.0
2016-11-22,20.1
2016-11-23,22.35
2016-11-24,21.25
2016-11-25,21.8
2016-11-28,21.8
2016-11-29,20.95
2016-11-30,21.4
2016-12-01,22.15
2016-12-02,21.35
2016-12-05,21.0
2016-12-06,21.65
2016-12-07,21.4
2016-12-08,21.35
2016-12-09,21.65
2016-12-12,21.5
2016-12-13,21.1
2016-12-14,21.3
2016-12-15,21.2
2016-12-16,21.15
2016-12-19,20.9
2016-12-20,20.95
2016-12-21,21.15
2016-12-22,20.65
2016-12-23,20.7
2016-12-26,20.1
2016-12-27,20.3
2016-12-28,20.35
2016-12-29,20.85
2016-12-30,21.05
