Date,CENTRALBK
2016-01-01,71.8
2016-01-04,70.0
2016-01-05,69.45
2016-01-06,69.1
2016-01-07,67.85
2016-01-08,67.65
2016-01-11,67.55
2016-01-12,66.35
2016-01-13,64.9
2016-01-14,64.1
2016-01-15,63.35
2016-01-18,61.25
2016-01-19,62.4
2016-01-20,61.65
2016-01-21,62.45
2016-01-22,63.55
2016-01-25,64.4
2016-01-27,63.55
2016-01-28,63.15
2016-01-29,62.4
2016-02-01,62.35
2016-02-02,61.65
2016-02-03,59.7
2016-02-04,60.3
2016-02-05,60.9
2016-02-08,61.45
2016-02-09,61.7
2016-02-10,53.95
2016-02-11,51.95
2016-02-12,51.7
2016-02-15,53.05
2016-02-16,51.15
2016-02-17,48.85
2016-02-18,49.6
2016-02-19,49.4
2016-02-22,52.35
2016-02-23,53.0
2016-02-24,53.65
2016-02-25,54.95
2016-02-26,57.6
2016-02-29,58.55
2016-03-01,64.7
2016-03-02,66.3
2016-03-03,67.2
2016-03-04,67.05
2016-03-08,67.1
2016-03-09,67.55
2016-03-10,68.1
2016-03-11,67.15
2016-03-14,69.05
2016-03-15,69.2
2016-03-16,68.9
2016-03-17,68.95
2016-03-18,68.85
2016-03-21,70.95
2016-03-22,73.0
2016-03-23,72.8
2016-03-28,71.8
2016-03-29,74.9
2016-03-30,74.9
2016-03-31,74.25
2016-04-01,76.3
2016-04-04,76.65
2016-04-05,74.95
2016-04-06,74.45
2016-04-07,74.4
2016-04-08,76.3
2016-04-11,75.85
2016-04-12,75.95
2016-04-13,77.15
2016-04-18,77.15
2016-04-20,79.65
2016-04-21,79.75
2016-04-22,81.0
2016-04-25,81.0
2016-04-26,82.2
2016-04-27,83.25
2016-04-28,82.7
2016-04-29,82.05
2016-05-02,81.9
2016-05-03,82.55
2016-05-04,81.0
2016-05-05,81.45
2016-05-06,81.05
2016-05-09,81.5
2016-05-10,80.25
2016-05-11,78.0
2016-05-12,78.95
2016-05-13,78.35
2016-05-16,76.25
2016-05-17,77.55
2016-05-18,76.8
2016-05-19,75.75
2016-05-20,76.6
2016-05-23,75.35
2016-05-24,76.75
2016-05-25,78.9
2016-05-26,81.95
2016-05-27,82.45
2016-05-30,82.85
2016-05-31,82.55
2016-06-01,83.7
2016-06-02,84.2
2016-06-03,83.8
2016-06-06,83.8
2016-06-07,84.75
2016-06-08,87.15
2016-06-09,88.35
2016-06-10,88.9
2016-06-13,87.85
2016-06-14,88.55
2016-06-15,90.1
2016-06-16,93.5
2016-06-17,105.1
2016-06-20,107.3
2016-06-21,105.65
2016-06-22,105.05
2016-06-23,106.15
2016-06-24,105.85
2016-06-27,108.05
2016-06-28,107.35
2016-06-29,107.2
2016-06-30,106.95
2016-07-01,106.8
2016-07-04,106.3
2016-07-05,105.7
2016-07-07,105.65
2016-07-08,104.75
2016-07-11,105.2
2016-07-12,104.0
2016-07-13,102.7
2016-07-14,104.9
2016-07-15,103.5
2016-07-18,101.4
2016-07-19,99.8
2016-07-20,97.8
2016-07-21,97.75
2016-07-22,97.8
2016-07-25,99.65
2016-07-26,98.35
2016-07-27,97.8
2016-07-28,97.9
2016-07-29,97.9
2016-08-01,97.65
2016-08-02,96.85
2016-08-03,96.7
2016-08-04,97.55
2016-08-05,97.9
2016-08-08,97.15
2016-08-09,97.85
2016-08-10,96.9
2016-08-11,99.45
2016-08-12,97.5
2016-08-16,102.1
2016-08-17,105.5
2016-08-18,100.7
2016-08-19,101.3
2016-08-22,104.2
2016-08-23,105.3
2016-08-24,104.65
2016-08-25,101.45
2016-08-26,100.8
2016-08-29,107.7
2016-08-30,109.65
2016-08-31,108.05
2016-09-01,106.25
2016-09-02,105.3
2016-09-06,105.85
2016-09-07,105.5
2016-09-08,106.55
2016-09-09,107.6
2016-09-12,104.75
2016-09-14,104.8
2016-09-15,104.7
2016-09-16,100.35
2016-09-19,98.5
2016-09-20,98.65
2016-09-21,96.5
2016-09-22,99.55
2016-09-23,97.9
2016-09-26,98.0
2016-09-27,96.85
2016-09-28,97.8
2016-09-29,92.4
2016-09-30,91.7
2016-10-03,95.8
2016-10-04,94.55
2016-10-05,93.95
2016-10-06,94.65
2016-10-07,94.35
2016-10-10,94.25
2016-10-13,92.55
2016-10-14,92.9
2016-10-17,92.25
2016-10-18,92.25
2016-10-19,89.95
2016-10-20,91.0
2016-10-21,91.6
2016-10-24,91.9
2016-10-25,91.25
2016-10-26,90.95
2016-10-27,90.6
2016-10-28,91.45
2016-10-30,92.7
2016-11-01,91.3
2016-11-02,91.6
2016-11-03,91.25
2016-11-04,88.5
2016-11-07,87.75
2016-11-08,89.95
2016-11-09,88.05
2016-11-10,94.0
2016-11-11,91.15
2016-11-15,89.7
2016-11-16,87.3
2016-11-17,82.8
2016-11-18,82.45
2016-11-21,79.15
2016-11-22,79.25
2016-11-23,77.95
2016-11-24,77.35
2016-11-25,78.4
2016-11-28,81.25
2016-11-29,83.1
2016-11-30,84.25
2016-12-01,85.2
2016-12-02,84.85
2016-12-05,86.35
2016-12-06,86.75
2016-12-07,86.7
2016-12-08,86.8
2016-12-09,87.15
2016-12-12,86.9
2016-12-13,86.05
2016-12-14,85.1
2016-12-15,85.25
2016-12-16,83.15
2016-12-19,82.0
2016-12-20,82.25
2016-12-21,82.4
2016-12-22,82.6
2016-12-23,83.05
2016-12-26,82.2
2016-12-27,82.85
2016-12-28,82.8
2016-12-29,82.6
2016-12-30,83.5
