Date,DCBBANK
2016-01-01,82.1
2016-01-04,79.95
2016-01-05,79.95
2016-01-06,79.9
2016-01-07,76.1
2016-01-08,77.45
2016-01-11,76.0
2016-01-12,75.15
2016-01-13,79.05
2016-01-14,75.0
2016-01-15,75.65
2016-01-18,73.05
2016-01-19,73.0
2016-01-20,70.8
2016-01-21,70.05
2016-01-22,72.0
2016-01-25,72.8
2016-01-27,74.05
2016-01-28,75.4
2016-01-29,78.3
2016-02-01,79.3
2016-02-02,77.95
2016-02-03,75.45
2016-02-04,77.1
2016-02-05,80.15
2016-02-08,79.9
2016-02-09,78.1
2016-02-10,74.4
2016-02-11,71.35
2016-02-12,72.0
2016-02-15,76.95
2016-02-16,74.05
2016-02-17,73.0
2016-02-18,72.8
2016-02-19,73.35
2016-02-22,73.8
2016-02-23,72.1
2016-02-24,71.7
2016-02-25,69.6
2016-02-26,70.0
2016-02-29,71.3
2016-03-01,72.95
2016-03-02,79.4
2016-03-03,77.55
2016-03-04,77.65
2016-03-08,76.55
2016-03-09,76.85
2016-03-10,77.05
2016-03-11,75.85
2016-03-14,76.5
2016-03-15,76.6
2016-03-16,77.8
2016-03-17,78.1
2016-03-18,77.3
2016-03-21,77.9
2016-03-22,77.25
2016-03-23,76.05
2016-03-28,72.15
2016-03-29,72.6
2016-03-30,75.8
2016-03-31,79.25
2016-04-01,79.95
2016-04-04,82.75
2016-04-05,81.1
2016-04-06,82.55
2016-04-07,83.4
2016-04-08,83.1
2016-04-11,83.0
2016-04-12,82.25
2016-04-13,83.45
2016-04-18,87.8
2016-04-20,97.35
2016-04-21,95.75
2016-04-22,98.0
2016-04-25,94.85
2016-04-26,96.95
2016-04-27,95.45
2016-04-28,95.05
2016-04-29,94.3
2016-05-02,91.1
2016-05-03,90.3
2016-05-04,89.95
2016-05-05,88.95
2016-05-06,90.8
2016-05-09,91.55
2016-05-10,91.65
2016-05-11,91.7
2016-05-12,91.8
2016-05-13,94.45
2016-05-16,93.4
2016-05-17,93.25
2016-05-18,91.9
2016-05-19,90.1
2016-05-20,89.1
2016-05-23,88.45
2016-05-24,88.55
2016-05-25,89.9
2016-05-26,92.35
2016-05-27,93.9
2016-05-30,94.6
2016-05-31,94.15
2016-06-01,93.8
2016-06-02,95.2
2016-06-03,93.5
2016-06-06,93.25
2016-06-07,95.75
2016-06-08,94.8
2016-06-09,95.6
2016-06-10,95.85
2016-06-13,94.15
2016-06-14,94.9
2016-06-15,98.8
2016-06-16,99.2
2016-06-17,98.5
2016-06-20,97.55
2016-06-21,97.85
2016-06-22,97.1
2016-06-23,96.65
2016-06-24,94.5
2016-06-27,95.95
2016-06-28,96.5
2016-06-29,96.15
2016-06-30,97.2
2016-07-01,99.9
2016-07-04,103.6
2016-07-05,104.7
2016-07-07,102.9
2016-07-08,103.1
2016-07-11,104.35
2016-07-12,105.6
2016-07-13,99.9
2016-07-14,105.0
2016-07-15,100.05
2016-07-18,99.7
2016-07-19,99.95
2016-07-20,99.35
2016-07-21,99.55
2016-07-22,99.95
2016-07-25,100.5
2016-07-26,99.7
2016-07-27,99.75
2016-07-28,103.8
2016-07-29,111.2
2016-08-01,106.7
2016-08-02,109.8
2016-08-03,110.05
2016-08-04,110.0
2016-08-05,114.25
2016-08-08,113.65
2016-08-09,113.3
2016-08-10,108.1
2016-08-11,110.75
2016-08-12,113.4
2016-08-16,114.95
2016-08-17,115.55
2016-08-18,116.85
2016-08-19,116.65
2016-08-22,117.95
2016-08-23,116.55
2016-08-24,114.95
2016-08-25,114.5
2016-08-26,116.75
2016-08-29,116.2
2016-08-30,119.2
2016-08-31,120.55
2016-09-01,119.25
2016-09-02,116.35
2016-09-06,117.7
2016-09-07,119.95
2016-09-08,123.5
2016-09-09,120.85
2016-09-12,117.8
2016-09-14,121.85
2016-09-15,122.75
2016-09-16,123.0
2016-09-19,123.25
2016-09-20,122.9
2016-09-21,122.85
2016-09-22,122.2
2016-09-23,124.0
2016-09-26,124.9
2016-09-27,123.4
2016-09-28,126.0
2016-09-29,121.5
2016-09-30,125.15
2016-10-03,127.3
2016-10-04,128.1
2016-10-05,126.35
2016-10-06,125.15
2016-10-07,125.1
2016-10-10,123.75
2016-10-13,123.6
2016-10-14,122.1
2016-10-17,125.85
2016-10-18,127.15
2016-10-19,127.5
2016-10-20,128.0
2016-10-21,128.05
2016-10-24,128.3
2016-10-25,128.2
2016-10-26,128.2
2016-10-27,127.4
2016-10-28,130.85
2016-10-30,132.0
2016-11-01,129.3
2016-11-02,126.95
2016-11-03,129.6
2016-11-04,128.7
2016-11-07,128.7
2016-11-08,130.0
2016-11-09,118.05
2016-11-10,122.45
2016-11-11,117.25
2016-11-15,101.35
2016-11-16,102.85
2016-11-17,106.2
2016-11-18,110.35
2016-11-21,106.3
2016-11-22,108.0
2016-11-23,108.7
2016-11-24,106.3
2016-11-25,109.35
2016-11-28,109.5
2016-11-29,109.35
2016-11-30,111.75
2016-12-01,108.85
2016-12-02,109.3
2016-12-05,108.7
2016-12-06,108.2
2016-12-07,106.25
2016-12-08,107.1
2016-12-09,107.2
2016-12-12,104.7
2016-12-13,106.3
2016-12-14,106.7
2016-12-15,108.25
2016-12-16,108.0
2016-12-19,109.0
2016-12-20,106.3
2016-12-21,106.5
2016-12-22,105.2
2016-12-23,105.75
2016-12-26,103.1
2016-12-27,106.75
2016-12-28,105.7
2016-12-29,108.05
2016-12-30,107.95
