Date,WSTCSTPAPR
2016-01-01,73.3
2016-01-04,72.1
2016-01-05,78.15
2016-01-06,73.15
2016-01-07,71.0
2016-01-08,72.0
2016-01-11,71.3
2016-01-12,72.65
2016-01-13,70.8
2016-01-14,68.95
2016-01-15,65.25
2016-01-18,61.85
2016-01-19,62.85
2016-01-20,60.0
2016-01-21,59.6
2016-01-22,63.8
2016-01-25,63.5
2016-01-27,63.75
2016-01-28,63.85
2016-01-29,63.8
2016-02-01,63.25
2016-02-02,63.65
2016-02-03,61.7
2016-02-04,59.55
2016-02-05,58.75
2016-02-08,61.1
2016-02-09,60.4
2016-02-10,58.65
2016-02-11,55.15
2016-02-12,59.05
2016-02-15,60.5
2016-02-16,58.05
2016-02-17,57.15
2016-02-18,59.2
2016-02-19,59.75
2016-02-22,60.3
2016-02-23,59.95
2016-02-24,58.6
2016-02-25,57.1
2016-02-26,59.0
2016-02-29,59.7
2016-03-01,60.45
2016-03-02,62.0
2016-03-03,62.6
2016-03-04,63.15
2016-03-08,63.95
2016-03-09,64.6
2016-03-10,64.5
2016-03-11,63.85
2016-03-14,64.9
2016-03-15,64.15
2016-03-16,63.75
2016-03-17,63.0
2016-03-18,62.25
2016-03-21,62.65
2016-03-22,65.65
2016-03-23,66.2
2016-03-28,64.7
2016-03-29,65.25
2016-03-30,65.2
2016-03-31,69.05
2016-04-01,70.25
2016-04-04,70.55
2016-04-05,71.15
2016-04-06,75.05
2016-04-07,75.1
2016-04-08,80.8
2016-04-11,78.75
2016-04-12,79.05
2016-04-13,77.15
2016-04-18,79.35
2016-04-20,78.6
2016-04-21,76.35
2016-04-22,77.55
2016-04-25,76.7
2016-04-26,77.5
2016-04-27,76.3
2016-04-28,73.45
2016-04-29,73.35
2016-05-02,73.4
2016-05-03,76.6
2016-05-04,75.4
2016-05-05,77.9
2016-05-06,77.55
2016-05-09,86.6
2016-05-10,86.8
2016-05-11,93.15
2016-05-12,89.65
2016-05-13,89.45
2016-05-16,89.0
2016-05-17,87.9
2016-05-18,86.65
2016-05-19,83.25
2016-05-20,80.4
2016-05-23,82.5
2016-05-24,81.75
2016-05-25,82.05
2016-05-26,85.0
2016-05-27,90.5
2016-05-30,79.45
2016-05-31,77.15
2016-06-01,78.5
2016-06-02,78.95
2016-06-03,77.6
2016-06-06,77.0
2016-06-07,77.5
2016-06-08,76.75
2016-06-09,75.7
2016-06-10,75.05
2016-06-13,74.85
2016-06-14,75.85
2016-06-15,80.25
2016-06-16,77.9
2016-06-17,77.35
2016-06-20,80.0
2016-06-21,80.1
2016-06-22,80.05
2016-06-23,80.05
2016-06-24,79.8
2016-06-27,82.5
2016-06-28,81.45
2016-06-29,82.55
2016-06-30,80.7
2016-07-01,80.85
2016-07-04,83.65
2016-07-05,83.5
2016-07-07,84.2
2016-07-08,84.3
2016-07-11,85.45
2016-07-12,84.9
2016-07-13,83.05
2016-07-14,86.35
2016-07-15,84.35
2016-07-18,83.05
2016-07-19,83.2
2016-07-20,82.9
2016-07-21,82.25
2016-07-22,81.6
2016-07-25,94.25
2016-07-26,89.8
2016-07-27,89.0
2016-07-28,91.35
2016-07-29,93.7
2016-08-01,91.2
2016-08-02,95.05
2016-08-03,91.2
2016-08-04,89.85
2016-08-05,92.05
2016-08-08,91.55
2016-08-09,91.0
2016-08-10,87.85
2016-08-11,88.35
2016-08-12,89.35
2016-08-16,89.9
2016-08-17,92.6
2016-08-18,92.25
2016-08-19,94.3
2016-08-22,96.6
2016-08-23,96.85
2016-08-24,98.95
2016-08-25,101.0
2016-08-26,100.0
2016-08-29,100.5
2016-08-30,98.85
2016-08-31,96.5
2016-09-01,93.3
2016-09-02,96.9
2016-09-06,99.45
2016-09-07,102.0
2016-09-08,105.85
2016-09-09,102.05
2016-09-12,98.2
2016-09-14,98.25
2016-09-15,104.8
2016-09-16,101.95
2016-09-19,102.4
2016-09-20,104.4
2016-09-21,104.0
2016-09-22,106.85
2016-09-23,103.3
2016-09-26,109.05
2016-09-27,109.15
2016-09-28,115.5
2016-09-29,104.2
2016-09-30,112.7
2016-10-03,115.85
2016-10-04,121.15
2016-10-05,120.35
2016-10-06,121.7
2016-10-07,124.35
2016-10-10,130.75
2016-10-13,124.4
2016-10-14,125.5
2016-10-17,128.8
2016-10-18,129.15
2016-10-19,127.65
2016-10-20,125.35
2016-10-21,124.8
2016-10-24,127.55
2016-10-25,128.7
2016-10-26,129.4
2016-10-27,131.55
2016-10-28,136.55
2016-10-30,140.3
2016-11-01,138.0
2016-11-02,138.15
2016-11-03,134.5
2016-11-04,130.85
2016-11-07,136.4
2016-11-08,141.2
2016-11-09,134.4
2016-11-10,138.35
2016-11-11,132.95
2016-11-15,121.6
2016-11-16,126.35
2016-11-17,123.15
2016-11-18,123.85
2016-11-21,119.8
2016-11-22,125.2
2016-11-23,132.8
2016-11-24,130.15
2016-11-25,132.45
2016-11-28,131.7
2016-11-29,134.05
2016-11-30,140.0
2016-12-01,136.3
2016-12-02,132.2
2016-12-05,137.75
2016-12-06,138.45
2016-12-07,134.55
2016-12-08,139.9
2016-12-09,138.75
2016-12-12,139.1
2016-12-13,141.9
2016-12-14,141.7
2016-12-15,139.65
2016-12-16,136.65
2016-12-19,134.35
2016-12-20,135.25
2016-12-21,132.4
2016-12-22,128.45
2016-12-23,128.4
2016-12-26,125.05
2016-12-27,125.95
2016-12-28,129.95
2016-12-29,130.7
2016-12-30,131.95
