Date,3PLAND
2016-01-01,20.7
2016-01-04,20.65
2016-01-05,20.25
2016-01-06,21.0
2016-01-07,19.7
2016-01-08,19.1
2016-01-11,21.0
2016-01-12,23.1
2016-01-13,22.65
2016-01-14,23.95
2016-01-15,21.6
2016-01-18,21.05
2016-01-19,20.45
2016-01-20,19.75
2016-01-21,21.2
2016-01-22,21.65
2016-01-25,21.05
2016-01-27,20.45
2016-01-28,20.0
2016-01-29,20.2
2016-02-01,20.95
2016-02-02,20.1
2016-02-03,19.75
2016-02-04,17.95
2016-02-05,18.0
2016-02-08,19.65
2016-02-09,17.95
2016-02-10,15.6
2016-02-26,9.7
2016-02-29,10.1
2016-03-01,10.05
2016-03-02,10.35
2016-03-03,12.25
2016-03-04,11.45
2016-03-08,11.75
2016-03-09,13.0
2016-03-10,14.7
2016-03-11,14.95
2016-03-14,14.8
2016-03-15,14.7
2016-03-16,13.9
2016-03-17,12.95
2016-03-18,13.0
2016-03-21,12.2
2016-03-22,13.3
2016-03-23,12.85
2016-03-28,11.95
2016-03-29,11.8
2016-03-30,10.65
2016-03-31,10.15
2016-04-01,10.0
2016-04-04,10.1
2016-04-05,10.55
2016-04-06,10.05
2016-04-07,10.1
2016-04-08,9.6
2016-04-11,9.15
2016-04-12,9.25
2016-04-13,9.7
2016-04-18,10.0
2016-04-20,10.4
2016-04-21,10.0
2016-04-22,9.85
2016-04-25,9.65
2016-04-26,9.6
2016-04-27,10.05
2016-04-28,10.35
2016-04-29,9.85
2016-05-02,10.05
2016-05-03,9.95
2016-05-04,9.9
2016-05-05,10.35
2016-05-06,10.0
2016-05-09,10.0
2016-05-10,10.25
2016-05-11,10.05
2016-05-12,9.65
2016-05-13,10.25
2016-05-16,9.9
2016-05-17,9.7
2016-05-18,9.75
2016-05-19,9.8
2016-05-20,10.3
2016-05-23,9.85
2016-05-24,9.55
2016-05-25,10.3
2016-05-26,10.3
2016-05-27,10.1
2016-05-30,10.35
2016-05-31,9.9
2016-06-01,9.75
2016-06-02,9.6
2016-06-03,9.7
2016-06-06,9.2
2016-06-07,9.7
2016-06-08,9.8
2016-06-09,9.85
2016-06-10,9.5
2016-06-13,9.7
2016-06-14,9.85
2016-06-15,9.55
2016-06-16,9.85
2016-06-17,9.6
2016-06-20,10.35
2016-06-21,9.95
2016-06-22,9.45
2016-06-23,9.95
2016-06-24,9.8
2016-06-27,9.4
2016-06-28,9.7
2016-06-29,10.2
2016-06-30,10.05
2016-07-01,9.55
2016-07-04,11.45
2016-07-05,12.25
2016-07-07,12.95
2016-07-08,12.6
2016-07-11,11.95
2016-07-12,11.85
2016-07-13,11.8
2016-07-14,11.4
2016-07-15,11.1
2016-07-18,11.45
2016-07-19,11.25
2016-07-20,11.6
2016-07-21,11.35
2016-07-22,11.05
2016-07-25,11.3
2016-07-26,11.4
2016-07-27,11.45
2016-07-28,11.45
2016-07-29,11.45
2016-08-01,11.65
2016-08-02,11.45
2016-08-03,11.0
2016-08-04,10.6
2016-08-05,11.25
2016-08-08,11.45
2016-08-09,11.2
2016-08-10,11.35
2016-08-11,10.95
2016-08-12,10.55
2016-08-16,10.85
2016-08-17,10.5
2016-08-18,10.15
2016-08-19,10.85
2016-08-22,10.0
2016-08-23,10.25
2016-08-24,10.4
2016-08-25,10.2
2016-08-26,9.7
2016-08-29,10.05
2016-08-30,9.95
2016-08-31,10.2
2016-09-01,9.9
2016-09-02,10.1
2016-09-06,10.4
2016-09-07,9.85
2016-09-08,10.1
2016-09-09,9.75
2016-09-12,9.5
2016-09-14,9.85
2016-09-15,9.7
2016-09-16,9.95
2016-09-19,9.95
2016-09-20,10.0
2016-09-21,9.85
2016-09-22,10.35
2016-09-23,10.3
2016-09-26,9.7
2016-09-27,10.1
2016-09-28,9.6
2016-09-29,9.6
2016-09-30,9.55
2016-10-03,10.0
2016-10-04,10.1
2016-10-05,12.1
2016-10-06,13.0
2016-10-07,12.15
2016-10-10,13.85
2016-10-13,13.65
2016-10-14,14.15
2016-10-17,15.65
2016-10-18,18.6
2016-10-19,19.4
2016-10-20,18.95
2016-10-21,18.2
2016-10-24,17.2
2016-10-25,16.5
2016-10-26,15.3
2016-10-27,14.7
2016-10-28,14.7
2016-10-30,15.1
2016-11-01,15.7
2016-11-02,14.95
2016-11-03,15.0
2016-11-04,14.45
2016-11-07,14.3
2016-11-08,14.2
2016-11-09,13.75
2016-11-10,14.4
2016-11-11,13.85
2016-11-15,13.2
2016-11-16,12.55
2016-11-17,11.95
2016-11-18,11.75
2016-11-21,11.2
2016-11-22,10.75
2016-11-23,11.25
2016-11-24,11.75
2016-11-25,12.15
2016-11-28,12.75
2016-11-29,12.75
2016-11-30,13.35
2016-12-01,12.85
2016-12-02,13.1
2016-12-05,13.0
2016-12-06,12.55
2016-12-07,12.9
2016-12-08,12.95
2016-12-09,12.65
2016-12-12,12.5
2016-12-13,12.0
2016-12-14,11.45
2016-12-15,11.5
2016-12-16,11.3
2016-12-19,11.85
2016-12-20,12.4
2016-12-21,12.75
2016-12-22,12.15
2016-12-23,11.55
2016-12-26,11.15
2016-12-28,11.3
2016-12-29,11.1
2016-12-30,11.2
