Date,KESARENT
2016-01-01,29.15
2016-01-04,29.4
2016-01-05,29.0
2016-01-06,29.85
2016-01-07,29.3
2016-01-08,31.55
2016-01-11,32.35
2016-01-12,29.75
2016-01-13,29.45
2016-01-14,30.35
2016-01-15,30.0
2016-01-18,27.1
2016-01-19,27.0
2016-01-20,28.0
2016-01-21,26.9
2016-01-22,28.5
2016-01-25,28.1
2016-01-27,27.75
2016-01-28,29.5
2016-01-29,29.0
2016-02-01,29.65
2016-02-02,29.75
2016-02-03,29.25
2016-02-04,30.45
2016-02-05,28.9
2016-02-08,28.5
2016-02-09,27.1
2016-02-10,26.75
2016-02-11,23.7
2016-02-12,23.0
2016-02-15,24.1
2016-02-16,23.0
2016-02-17,24.5
2016-02-18,24.6
2016-02-19,22.15
2016-02-22,21.8
2016-02-23,21.75
2016-02-24,21.15
2016-02-25,20.6
2016-02-29,20.25
2016-03-01,20.0
2016-03-02,21.7
2016-03-03,22.9
2016-03-04,24.15
2016-03-08,28.85
2016-03-09,29.4
2016-03-10,28.0
2016-03-11,27.0
2016-03-14,27.7
2016-03-15,30.15
2016-03-16,32.0
2016-03-17,30.85
2016-03-18,30.25
2016-03-21,33.0
2016-03-22,31.45
2016-03-23,31.4
2016-03-28,29.9
2016-03-29,28.55
2016-03-30,31.4
2016-03-31,33.25
2016-04-01,39.9
2016-04-04,41.3
2016-04-05,40.75
2016-04-06,46.7
2016-04-07,46.25
2016-04-08,45.45
2016-04-11,41.55
2016-04-12,38.75
2016-04-13,37.45
2016-04-18,41.15
2016-04-20,40.35
2016-04-21,38.8
2016-04-22,41.0
2016-04-25,39.3
2016-04-26,39.55
2016-04-27,39.0
2016-04-28,37.35
2016-04-29,39.4
2016-05-02,42.2
2016-05-03,42.45
2016-05-04,41.55
2016-05-05,41.35
2016-05-06,41.95
2016-05-09,43.65
2016-05-10,40.85
2016-05-11,43.85
2016-05-12,45.4
2016-05-13,44.0
2016-05-16,45.6
2016-05-17,44.2
2016-05-18,43.6
2016-05-19,41.75
2016-05-20,39.1
2016-05-23,40.75
2016-05-24,38.3
2016-05-25,37.75
2016-05-26,36.05
2016-05-27,35.9
2016-05-30,36.7
2016-05-31,34.1
2016-06-01,34.3
2016-06-02,34.85
2016-06-03,39.2
2016-06-06,41.8
2016-06-07,42.0
2016-06-08,41.55
2016-06-09,41.2
2016-06-10,44.7
2016-06-13,53.3
2016-06-14,59.8
2016-06-15,65.75
2016-06-16,64.75
2016-06-17,60.1
2016-06-20,62.7
2016-06-21,61.2
2016-06-22,59.0
2016-06-23,58.95
2016-06-24,57.95
2016-06-27,63.7
2016-06-28,66.0
2016-06-29,65.1
2016-06-30,66.05
2016-07-01,65.8
2016-07-04,66.8
2016-07-05,63.8
2016-07-07,70.15
2016-07-08,68.05
2016-07-11,68.05
2016-07-12,68.2
2016-07-13,65.75
2016-07-14,67.05
2016-07-15,63.95
2016-07-18,63.1
2016-07-19,60.05
2016-07-20,63.05
2016-07-21,62.2
2016-07-22,62.65
2016-07-25,69.1
2016-07-26,70.2
2016-07-27,69.0
2016-07-28,66.85
2016-07-29,69.0
2016-08-01,68.55
2016-08-02,67.9
2016-08-03,64.75
2016-08-04,64.3
2016-08-05,63.7
2016-08-08,64.0
2016-08-09,60.6
2016-08-10,58.8
2016-08-11,53.85
2016-08-12,50.05
2016-08-16,48.0
2016-08-17,45.55
2016-08-18,54.65
2016-08-19,51.5
2016-08-22,51.0
2016-08-23,49.6
2016-08-24,49.65
2016-08-25,48.2
2016-08-26,47.3
2016-08-29,48.1
2016-08-30,48.5
2016-08-31,51.6
2016-09-01,48.65
2016-09-02,47.85
2016-09-06,46.95
2016-09-07,47.4
2016-09-08,46.9
2016-09-09,48.1
2016-09-12,47.3
2016-09-14,46.45
2016-09-15,46.05
2016-09-16,47.8
2016-09-19,56.95
2016-09-20,59.25
2016-09-21,58.05
2016-09-22,58.45
2016-09-23,56.7
2016-09-26,54.15
2016-09-27,52.1
2016-09-28,53.0
2016-09-29,50.75
2016-09-30,51.6
2016-10-03,52.35
2016-10-04,52.0
2016-10-05,52.9
2016-10-06,52.85
2016-10-07,52.95
2016-10-10,54.6
2016-10-13,52.9
2016-10-14,52.4
2016-10-17,51.45
2016-10-18,52.35
2016-10-19,52.25
2016-10-20,52.85
2016-10-21,53.0
2016-10-24,52.05
2016-10-25,50.6
2016-10-26,50.8
2016-10-27,52.3
2016-10-28,52.15
2016-10-30,50.9
2016-11-01,50.4
2016-11-02,49.05
2016-11-03,51.1
2016-11-04,48.55
2016-11-07,50.6
2016-11-08,50.05
2016-11-09,47.0
2016-11-10,51.05
2016-11-11,44.85
2016-11-15,38.5
2016-11-16,35.05
2016-11-17,31.6
2016-11-18,34.75
2016-11-21,35.75
2016-11-22,37.65
2016-11-23,39.0
2016-11-24,38.0
2016-11-25,40.0
2016-11-28,38.0
2016-11-29,39.2
2016-11-30,39.75
2016-12-01,39.85
2016-12-02,38.6
2016-12-05,38.3
2016-12-06,38.5
2016-12-07,38.05
2016-12-08,38.1
2016-12-09,37.4
2016-12-12,37.5
2016-12-13,37.75
2016-12-14,37.1
2016-12-15,38.3
2016-12-16,37.8
2016-12-19,37.25
2016-12-20,36.85
2016-12-21,37.8
2016-12-22,36.25
2016-12-23,38.8
2016-12-26,39.8
2016-12-27,39.35
2016-12-28,39.6
2016-12-29,38.5
2016-12-30,46.2
