Date,DSSL
2016-01-01,13.65
2016-01-04,14.3
2016-01-05,15.0
2016-01-06,15.7
2016-01-07,16.45
2016-01-08,17.25
2016-01-11,18.1
2016-01-12,19.0
2016-01-13,18.05
2016-01-14,18.5
2016-01-15,17.6
2016-01-18,16.75
2016-01-19,15.95
2016-01-20,15.2
2016-01-21,14.45
2016-01-22,15.1
2016-01-25,15.7
2016-01-27,16.45
2016-01-28,17.25
2016-01-29,18.1
2016-02-01,18.1
2016-02-02,17.9
2016-02-03,17.05
2016-02-04,16.2
2016-02-05,17.45
2016-02-08,17.45
2016-02-11,15.75
2016-02-15,14.2
2016-02-16,14.5
2016-02-18,13.25
2016-02-19,14.4
2016-02-22,14.0
2016-02-23,13.5
2016-02-24,13.7
2016-02-25,13.0
2016-02-26,13.8
2016-02-29,12.65
2016-03-01,13.25
2016-03-02,13.05
2016-03-03,13.5
2016-03-04,13.25
2016-03-08,13.5
2016-03-09,14.0
2016-03-11,13.65
2016-03-14,13.7
2016-03-15,13.6
2016-03-16,14.0
2016-03-17,13.6
2016-03-18,13.3
2016-03-21,13.5
2016-03-22,13.1
2016-03-23,13.1
2016-03-28,14.25
2016-04-04,13.25
2016-04-06,13.25
2016-04-07,13.25
2016-04-08,13.55
2016-04-11,14.8
2016-04-12,13.3
2016-04-13,13.25
2016-04-18,13.5
2016-04-20,14.0
2016-04-21,14.0
2016-04-22,14.5
2016-04-26,14.2
2016-04-27,13.0
2016-04-28,13.15
2016-04-29,14.0
2016-05-02,13.2
2016-05-03,15.5
2016-05-04,14.05
2016-05-05,14.05
2016-05-10,13.35
2016-05-12,12.8
2016-05-13,12.5
2016-05-16,12.4
2016-05-17,12.5
2016-05-18,12.5
2016-05-20,12.5
2016-05-23,12.5
2016-05-24,12.5
2016-05-25,12.4
2016-05-27,12.4
2016-05-30,11.8
2016-05-31,11.55
2016-06-01,12.0
2016-06-02,11.95
2016-06-03,11.4
2016-06-06,11.95
2016-06-08,12.05
2016-06-09,12.0
2016-06-13,12.0
2016-06-14,11.55
2016-06-15,12.1
2016-06-21,11.6
2016-06-23,11.45
2016-06-24,11.55
2016-06-28,11.55
2016-06-29,12.0
2016-06-30,11.95
2016-07-01,12.0
2016-07-05,11.8
2016-07-07,11.1
2016-07-08,11.6
2016-07-11,11.6
2016-07-12,11.65
2016-07-13,11.5
2016-07-14,11.05
2016-07-15,11.2
2016-07-18,11.25
2016-07-19,11.25
2016-07-20,10.85
2016-07-21,11.15
2016-07-22,11.95
2016-07-25,11.5
2016-07-26,11.15
2016-07-27,10.3
2016-07-28,10.6
2016-07-29,10.55
2016-08-02,10.55
2016-08-03,10.3
2016-08-04,9.95
2016-08-05,11.4
2016-08-08,10.15
2016-08-09,10.5
2016-08-10,10.05
2016-08-11,10.0
2016-08-12,10.25
2016-08-16,10.25
2016-08-17,9.25
2016-08-18,10.5
2016-08-23,9.05
2016-08-24,10.2
2016-08-26,10.25
2016-08-30,10.5
2016-08-31,10.0
2016-09-01,10.3
2016-09-02,11.0
2016-09-06,12.1
2016-09-07,12.1
2016-09-08,12.7
2016-09-09,12.55
2016-09-12,11.95
2016-09-14,11.4
2016-09-15,11.4
2016-09-16,11.4
2016-09-19,11.1
2016-09-20,11.15
2016-09-21,11.7
2016-09-23,11.15
2016-09-26,11.2
2016-09-28,11.4
2016-09-29,11.9
2016-09-30,11.55
2016-10-03,11.7
2016-10-04,12.0
2016-10-05,12.05
2016-10-07,13.25
2016-10-10,14.55
2016-10-13,16.0
2016-10-14,16.8
2016-10-17,17.6
2016-10-18,18.4
2016-10-19,19.2
2016-10-20,20.15
2016-10-21,21.15
2016-10-24,22.2
2016-10-25,23.3
2016-10-26,24.45
2016-10-27,25.1
2016-10-28,23.85
2016-10-30,23.8
2016-11-01,23.85
2016-11-02,23.0
2016-11-03,23.0
2016-11-04,21.85
2016-11-07,20.8
2016-11-08,19.85
2016-11-09,18.9
2016-11-10,18.2
2016-11-11,17.3
2016-11-15,16.45
2016-11-16,15.7
2016-11-22,15.0
2016-11-23,15.7
2016-11-24,16.45
2016-11-28,17.0
2016-11-29,17.1
2016-11-30,17.9
2016-12-01,17.1
2016-12-02,17.0
2016-12-05,17.15
2016-12-06,18.0
2016-12-07,17.9
2016-12-08,18.25
2016-12-09,17.5
2016-12-12,17.25
2016-12-13,16.9
2016-12-14,17.7
2016-12-15,16.9
2016-12-16,16.35
2016-12-19,16.55
2016-12-21,15.85
2016-12-22,15.1
2016-12-23,14.7
2016-12-26,14.6
2016-12-27,14.6
2016-12-28,13.9
2016-12-29,13.3
