Date,ISMTLTD
2016-01-01,9.95
2016-01-04,9.65
2016-01-05,10.05
2016-01-06,9.9
2016-01-07,9.3
2016-01-08,9.45
2016-01-11,9.5
2016-01-12,9.4
2016-01-13,8.45
2016-01-14,8.4
2016-01-15,7.85
2016-01-18,7.35
2016-01-19,7.65
2016-01-20,7.35
2016-01-21,7.25
2016-01-22,7.8
2016-01-25,8.1
2016-01-27,7.9
2016-01-28,7.75
2016-01-29,8.2
2016-02-01,7.95
2016-02-02,7.55
2016-02-03,7.3
2016-02-04,7.55
2016-02-05,7.7
2016-02-08,7.5
2016-02-09,7.5
2016-02-10,7.3
2016-02-11,6.8
2016-02-12,7.2
2016-02-15,7.35
2016-02-16,6.85
2016-02-17,6.6
2016-02-18,6.65
2016-02-19,6.8
2016-02-22,6.85
2016-02-23,6.85
2016-02-24,6.6
2016-02-25,6.7
2016-02-26,6.65
2016-02-29,6.55
2016-03-01,6.8
2016-03-02,6.9
2016-03-03,7.4
2016-03-04,7.3
2016-03-08,7.45
2016-03-09,7.2
2016-03-10,7.05
2016-03-11,7.0
2016-03-14,6.9
2016-03-15,6.8
2016-03-16,6.85
2016-03-17,7.25
2016-03-18,7.2
2016-03-21,6.75
2016-03-22,6.85
2016-03-23,6.85
2016-03-28,6.9
2016-03-29,6.75
2016-03-30,6.8
2016-03-31,7.2
2016-04-01,7.45
2016-04-04,8.9
2016-04-05,9.7
2016-04-06,9.6
2016-04-07,8.75
2016-04-08,8.45
2016-04-11,8.0
2016-04-12,7.9
2016-04-13,8.65
2016-04-18,8.7
2016-04-20,8.95
2016-04-21,8.75
2016-04-22,8.8
2016-04-25,8.3
2016-04-26,8.35
2016-04-27,8.25
2016-04-28,8.2
2016-04-29,8.15
2016-05-02,8.05
2016-05-03,7.85
2016-05-04,7.7
2016-05-05,7.85
2016-05-06,7.9
2016-05-09,7.85
2016-05-10,7.7
2016-05-11,7.65
2016-05-12,7.8
2016-05-13,7.65
2016-05-16,7.75
2016-05-17,7.95
2016-05-18,9.5
2016-05-19,11.4
2016-05-20,10.55
2016-05-23,9.95
2016-05-24,10.55
2016-05-25,10.8
2016-05-26,11.85
2016-05-27,11.9
2016-05-30,11.15
2016-05-31,10.7
2016-06-01,10.55
2016-06-02,10.1
2016-06-03,11.25
2016-06-06,11.1
2016-06-07,11.0
2016-06-08,10.9
2016-06-09,11.35
2016-06-10,11.25
2016-06-13,10.9
2016-06-14,10.9
2016-06-15,11.1
2016-06-16,11.0
2016-06-17,10.8
2016-06-20,11.05
2016-06-21,11.0
2016-06-22,10.85
2016-06-23,10.95
2016-06-24,10.5
2016-06-27,10.55
2016-06-28,10.5
2016-06-29,11.0
2016-06-30,10.85
2016-07-01,10.9
2016-07-04,11.3
2016-07-05,11.05
2016-07-07,10.95
2016-07-08,10.9
2016-07-11,11.0
2016-07-12,11.25
2016-07-13,11.15
2016-07-14,11.1
2016-07-15,11.05
2016-07-18,10.9
2016-07-19,10.45
2016-07-20,10.65
2016-07-21,10.55
2016-07-22,10.8
2016-07-25,10.85
2016-07-26,11.35
2016-07-27,11.25
2016-07-28,11.35
2016-07-29,11.05
2016-08-01,10.9
2016-08-02,10.8
2016-08-03,10.4
2016-08-04,10.6
2016-08-05,11.0
2016-08-08,10.85
2016-08-09,10.6
2016-08-10,10.4
2016-08-11,10.3
2016-08-12,10.45
2016-08-16,10.45
2016-08-17,10.35
2016-08-18,10.35
2016-08-19,10.75
2016-08-22,10.45
2016-08-23,10.45
2016-08-24,10.1
2016-08-25,10.1
2016-08-26,10.0
2016-08-29,9.9
2016-08-30,10.0
2016-08-31,9.95
2016-09-01,9.75
2016-09-02,9.95
2016-09-06,9.8
2016-09-07,9.85
2016-09-08,10.35
2016-09-09,10.15
2016-09-12,9.55
2016-09-14,9.4
2016-09-15,9.75
2016-09-16,9.65
2016-09-19,9.55
2016-09-20,9.25
2016-09-21,9.55
2016-09-22,9.45
2016-09-23,11.3
2016-09-26,10.25
2016-09-27,10.2
2016-09-28,10.2
2016-09-29,9.1
2016-09-30,9.85
2016-10-03,10.55
2016-10-04,10.65
2016-10-05,10.45
2016-10-06,10.45
2016-10-07,10.25
2016-10-10,10.3
2016-10-13,10.0
2016-10-14,10.0
2016-10-17,10.3
2016-10-18,10.45
2016-10-19,10.45
2016-10-20,10.45
2016-10-21,10.5
2016-10-24,10.65
2016-10-25,10.9
2016-10-26,10.4
2016-10-27,10.5
2016-10-28,10.6
2016-10-30,10.65
2016-11-01,10.6
2016-11-02,10.35
2016-11-03,10.4
2016-11-04,9.85
2016-11-07,10.05
2016-11-08,9.9
2016-11-09,9.25
2016-11-10,9.55
2016-11-11,9.2
2016-11-15,8.65
2016-11-16,8.45
2016-11-17,8.85
2016-11-18,8.55
2016-11-21,8.0
2016-11-22,8.1
2016-11-23,8.4
2016-11-24,8.5
2016-11-25,8.85
2016-11-28,8.95
2016-11-29,8.9
2016-11-30,8.9
2016-12-01,8.85
2016-12-02,8.85
2016-12-05,8.9
2016-12-06,9.0
2016-12-07,9.05
2016-12-08,9.1
2016-12-09,8.9
2016-12-12,8.85
2016-12-13,8.85
2016-12-14,8.85
2016-12-15,8.75
2016-12-16,8.8
2016-12-19,8.75
2016-12-20,8.7
2016-12-21,8.6
2016-12-22,8.55
2016-12-23,8.5
2016-12-26,8.25
2016-12-27,8.4
2016-12-28,8.45
2016-12-29,8.4
2016-12-30,8.6
