Date,MOTILALOFS
2016-01-01,338.05
2016-01-04,330.5
2016-01-05,328.7
2016-01-06,333.85
2016-01-07,327.05
2016-01-08,328.55
2016-01-11,324.05
2016-01-12,323.6
2016-01-13,331.6
2016-01-14,320.2
2016-01-15,303.25
2016-01-18,280.6
2016-01-19,276.95
2016-01-20,274.9
2016-01-21,280.0
2016-01-22,282.5
2016-01-25,289.3
2016-01-27,285.25
2016-01-28,286.9
2016-01-29,289.0
2016-02-01,286.55
2016-02-02,286.25
2016-02-03,284.55
2016-02-04,292.95
2016-02-05,298.0
2016-02-08,293.35
2016-02-09,288.65
2016-02-10,294.25
2016-02-11,274.95
2016-02-12,267.4
2016-02-15,274.9
2016-02-16,270.95
2016-02-17,267.75
2016-02-18,270.4
2016-02-19,273.85
2016-02-22,267.0
2016-02-23,268.75
2016-02-24,266.2
2016-02-25,267.9
2016-02-26,260.05
2016-02-29,267.15
2016-03-01,276.3
2016-03-02,279.7
2016-03-03,282.05
2016-03-04,278.85
2016-03-08,284.9
2016-03-09,283.2
2016-03-10,281.7
2016-03-11,285.2
2016-03-14,282.05
2016-03-15,277.7
2016-03-16,279.65
2016-03-17,284.35
2016-03-18,283.1
2016-03-21,280.9
2016-03-22,279.4
2016-03-23,279.25
2016-03-28,273.6
2016-03-29,270.1
2016-03-30,272.5
2016-03-31,273.25
2016-04-01,276.25
2016-04-04,276.6
2016-04-05,277.15
2016-04-06,278.6
2016-04-07,280.0
2016-04-08,279.0
2016-04-11,279.95
2016-04-12,276.55
2016-04-13,284.4
2016-04-18,287.4
2016-04-20,292.25
2016-04-21,296.35
2016-04-22,285.85
2016-04-25,291.4
2016-04-26,298.25
2016-04-27,293.85
2016-04-28,292.6
2016-04-29,297.25
2016-05-02,296.35
2016-05-03,288.15
2016-05-04,278.15
2016-05-05,277.8
2016-05-06,276.3
2016-05-09,281.75
2016-05-10,285.9
2016-05-11,279.0
2016-05-12,281.2
2016-05-13,277.85
2016-05-16,286.95
2016-05-17,294.25
2016-05-18,299.85
2016-05-19,297.3
2016-05-20,305.5
2016-05-23,308.8
2016-05-24,306.5
2016-05-25,315.8
2016-05-26,315.85
2016-05-27,325.5
2016-05-30,330.5
2016-05-31,331.0
2016-06-01,345.55
2016-06-02,345.85
2016-06-03,336.85
2016-06-06,340.25
2016-06-07,339.8
2016-06-08,335.7
2016-06-09,335.3
2016-06-10,337.55
2016-06-13,333.95
2016-06-14,331.65
2016-06-15,337.9
2016-06-16,330.6
2016-06-17,328.4
2016-06-20,325.0
2016-06-21,330.15
2016-06-22,326.3
2016-06-23,322.2
2016-06-24,312.35
2016-06-27,324.6
2016-06-28,329.95
2016-06-29,336.15
2016-06-30,349.25
2016-07-01,372.6
2016-07-04,374.55
2016-07-05,385.95
2016-07-07,381.6
2016-07-08,380.7
2016-07-11,384.25
2016-07-12,379.9
2016-07-13,373.8
2016-07-14,377.55
2016-07-15,389.9
2016-07-18,407.7
2016-07-19,407.6
2016-07-20,420.45
2016-07-21,420.3
2016-07-22,484.9
2016-07-25,479.6
2016-07-26,459.85
2016-07-27,459.05
2016-07-28,466.85
2016-07-29,475.65
2016-08-01,483.65
2016-08-02,480.75
2016-08-03,470.85
2016-08-04,474.55
2016-08-05,494.2
2016-08-08,499.95
2016-08-09,483.7
2016-08-10,491.7
2016-08-11,474.85
2016-08-12,486.15
2016-08-16,485.15
2016-08-17,479.65
2016-08-18,480.9
2016-08-19,475.25
2016-08-22,480.95
2016-08-23,475.2
2016-08-24,512.8
2016-08-25,520.15
2016-08-26,505.15
2016-08-29,496.6
2016-08-30,490.3
2016-08-31,487.3
2016-09-01,496.75
2016-09-02,489.85
2016-09-06,513.9
2016-09-07,497.4
2016-09-08,499.25
2016-09-09,498.0
2016-09-12,478.05
2016-09-14,492.05
2016-09-15,488.05
2016-09-16,489.2
2016-09-19,498.95
2016-09-20,489.0
2016-09-21,492.1
2016-09-22,498.6
2016-09-23,494.95
2016-09-26,500.8
2016-09-27,485.9
2016-09-28,490.45
2016-09-29,471.25
2016-09-30,473.5
2016-10-03,501.4
2016-10-04,505.5
2016-10-05,510.9
2016-10-06,524.15
2016-10-07,532.95
2016-10-10,544.2
2016-10-13,529.0
2016-10-14,526.85
2016-10-17,541.7
2016-10-18,577.2
2016-10-19,585.75
2016-10-20,582.9
2016-10-21,607.3
2016-10-24,618.1
2016-10-25,622.8
2016-10-26,598.0
2016-10-27,580.0
2016-10-28,576.6
2016-10-30,591.6
2016-11-01,579.75
2016-11-02,553.9
2016-11-03,533.75
2016-11-04,511.85
2016-11-07,530.35
2016-11-08,533.65
2016-11-09,522.8
2016-11-10,548.8
2016-11-11,495.85
2016-11-15,472.05
2016-11-16,476.25
2016-11-17,474.4
2016-11-18,467.3
2016-11-21,446.55
2016-11-22,461.3
2016-11-23,484.4
2016-11-24,495.45
2016-11-25,494.3
2016-11-28,500.15
2016-11-29,503.8
2016-11-30,537.2
2016-12-01,535.15
2016-12-02,526.8
2016-12-05,523.15
2016-12-06,520.95
2016-12-07,511.35
2016-12-08,525.85
2016-12-09,530.0
2016-12-12,526.75
2016-12-13,509.1
2016-12-14,497.4
2016-12-15,505.55
2016-12-16,500.35
2016-12-19,505.2
2016-12-20,513.35
2016-12-21,558.1
2016-12-22,524.25
2016-12-23,519.1
2016-12-26,499.05
2016-12-27,509.15
2016-12-28,512.3
2016-12-29,520.1
2016-12-30,520.65
