Date,SUPREMEIND
2016-01-01,688.5
2016-01-04,689.0
2016-01-05,702.65
2016-01-06,695.1
2016-01-07,694.9
2016-01-08,702.55
2016-01-11,704.2
2016-01-12,710.6
2016-01-13,696.0
2016-01-14,682.25
2016-01-15,683.1
2016-01-18,653.85
2016-01-19,657.25
2016-01-20,650.1
2016-01-21,654.55
2016-01-22,666.3
2016-01-25,688.65
2016-01-27,716.7
2016-01-28,725.35
2016-01-29,740.75
2016-02-01,741.65
2016-02-02,748.15
2016-02-03,737.95
2016-02-04,718.55
2016-02-05,737.25
2016-02-08,733.65
2016-02-09,736.6
2016-02-10,718.1
2016-02-11,696.9
2016-02-12,698.6
2016-02-15,699.3
2016-02-16,697.4
2016-02-17,686.3
2016-02-18,700.15
2016-02-19,688.35
2016-02-22,673.75
2016-02-23,672.7
2016-02-24,665.95
2016-02-25,661.95
2016-02-26,666.8
2016-02-29,670.15
2016-03-01,710.45
2016-03-02,733.25
2016-03-03,747.1
2016-03-04,754.1
2016-03-08,757.9
2016-03-09,760.15
2016-03-10,757.1
2016-03-11,755.85
2016-03-14,770.0
2016-03-15,774.05
2016-03-16,777.15
2016-03-17,748.85
2016-03-18,791.55
2016-03-21,791.3
2016-03-22,786.55
2016-03-23,775.35
2016-03-28,754.9
2016-03-29,739.65
2016-03-30,730.3
2016-03-31,739.65
2016-04-01,744.35
2016-04-04,737.7
2016-04-05,753.85
2016-04-06,758.75
2016-04-07,777.5
2016-04-08,789.7
2016-04-11,772.45
2016-04-12,780.15
2016-04-13,777.85
2016-04-18,771.85
2016-04-20,800.1
2016-04-21,798.0
2016-04-22,802.55
2016-04-25,789.25
2016-04-26,779.85
2016-04-27,785.0
2016-04-28,783.0
2016-04-29,800.4
2016-05-02,808.7
2016-05-03,803.8
2016-05-04,819.9
2016-05-05,819.75
2016-05-06,813.55
2016-05-09,823.25
2016-05-10,836.75
2016-05-11,838.0
2016-05-12,842.0
2016-05-13,862.15
2016-05-16,865.2
2016-05-17,878.5
2016-05-18,888.45
2016-05-19,889.4
2016-05-20,884.2
2016-05-23,905.5
2016-05-24,900.2
2016-05-25,903.95
2016-05-26,930.6
2016-05-27,914.65
2016-05-30,936.15
2016-05-31,992.0
2016-06-01,928.6
2016-06-02,919.8
2016-06-03,887.8
2016-06-06,876.55
2016-06-07,911.45
2016-06-08,916.7
2016-06-09,905.25
2016-06-10,890.1
2016-06-13,873.1
2016-06-14,884.5
2016-06-15,890.25
2016-06-16,868.55
2016-06-17,866.35
2016-06-20,875.75
2016-06-21,868.45
2016-06-22,875.5
2016-06-23,882.8
2016-06-24,875.9
2016-06-27,897.5
2016-06-28,900.7
2016-06-29,908.1
2016-06-30,913.35
2016-07-01,897.95
2016-07-04,897.6
2016-07-05,898.55
2016-07-07,892.3
2016-07-08,898.3
2016-07-11,887.35
2016-07-12,884.6
2016-07-13,873.4
2016-07-14,873.5
2016-07-15,890.95
2016-07-18,883.2
2016-07-19,900.3
2016-07-20,910.8
2016-07-21,936.4
2016-07-22,922.7
2016-07-25,925.05
2016-07-26,935.8
2016-07-27,941.15
2016-07-28,924.15
2016-07-29,936.3
2016-08-01,934.5
2016-08-02,932.45
2016-08-03,916.35
2016-08-04,946.0
2016-08-05,960.2
2016-08-08,961.75
2016-08-09,944.65
2016-08-10,921.4
2016-08-11,947.55
2016-08-12,959.2
2016-08-16,958.55
2016-08-17,948.55
2016-08-18,960.15
2016-08-19,993.25
2016-08-22,1009.85
2016-08-23,984.95
2016-08-24,989.55
2016-08-25,975.0
2016-08-26,952.65
2016-08-29,948.6
2016-08-30,962.95
2016-08-31,956.95
2016-09-01,954.0
2016-09-02,952.35
2016-09-06,948.3
2016-09-07,937.6
2016-09-08,951.95
2016-09-09,943.4
2016-09-12,924.9
2016-09-14,912.65
2016-09-15,905.15
2016-09-16,903.3
2016-09-19,909.1
2016-09-20,911.1
2016-09-21,909.35
2016-09-22,897.05
2016-09-23,899.4
2016-09-26,863.0
2016-09-27,897.9
2016-09-28,932.85
2016-09-29,905.1
2016-09-30,907.3
2016-10-03,910.15
2016-10-04,922.85
2016-10-05,942.15
2016-10-06,942.85
2016-10-07,940.85
2016-10-10,939.7
2016-10-13,922.7
2016-10-14,924.15
2016-10-17,920.35
2016-10-18,919.7
2016-10-19,918.3
2016-10-20,911.1
2016-10-21,909.35
2016-10-24,916.1
2016-10-25,912.9
2016-10-26,912.85
2016-10-27,904.4
2016-10-28,902.95
2016-10-30,902.9
2016-11-01,890.4
2016-11-02,877.15
2016-11-03,886.7
2016-11-04,903.45
2016-11-07,901.1
2016-11-08,913.05
2016-11-09,902.35
2016-11-10,906.2
2016-11-11,900.1
2016-11-15,874.9
2016-11-16,871.7
2016-11-17,878.2
2016-11-18,838.9
2016-11-21,799.65
2016-11-22,788.5
2016-11-23,802.15
2016-11-24,807.35
2016-11-25,816.6
2016-11-28,845.85
2016-11-29,854.95
2016-11-30,899.0
2016-12-01,894.0
2016-12-02,887.3
2016-12-05,907.3
2016-12-06,872.35
2016-12-07,869.8
2016-12-08,874.05
2016-12-09,868.65
2016-12-12,894.3
2016-12-13,906.4
2016-12-14,910.05
2016-12-15,905.2
2016-12-16,911.55
2016-12-19,905.1
2016-12-20,905.35
2016-12-21,903.6
2016-12-22,900.45
2016-12-23,897.55
2016-12-26,869.4
2016-12-27,855.8
2016-12-28,884.5
2016-12-29,898.05
2016-12-30,906.95
