Date,USHAMART
2016-01-01,11.0
2016-01-04,11.2
2016-01-05,11.8
2016-01-06,11.45
2016-01-07,10.8
2016-01-08,11.0
2016-01-11,10.85
2016-01-12,10.6
2016-01-13,10.2
2016-01-14,9.85
2016-01-15,9.45
2016-01-18,8.6
2016-01-19,8.9
2016-01-20,8.35
2016-01-21,8.45
2016-01-22,8.2
2016-01-25,8.5
2016-01-27,8.55
2016-01-28,8.3
2016-01-29,8.6
2016-02-01,8.65
2016-02-02,8.25
2016-02-03,8.25
2016-02-04,8.2
2016-02-05,8.45
2016-02-08,8.7
2016-02-09,8.85
2016-02-10,8.85
2016-02-11,8.35
2016-02-12,7.9
2016-02-15,7.95
2016-02-16,8.0
2016-02-17,8.0
2016-02-18,8.2
2016-02-19,8.2
2016-02-22,7.95
2016-02-23,7.9
2016-02-24,7.6
2016-02-25,7.5
2016-02-26,6.95
2016-02-29,6.75
2016-03-01,7.1
2016-03-02,7.45
2016-03-03,8.45
2016-03-04,9.4
2016-03-08,9.9
2016-03-09,10.0
2016-03-10,9.95
2016-03-11,9.85
2016-03-14,10.8
2016-03-15,11.85
2016-03-16,13.0
2016-03-17,12.35
2016-03-18,12.2
2016-03-21,11.7
2016-03-22,12.25
2016-03-23,11.85
2016-03-28,11.3
2016-03-29,10.75
2016-03-30,11.2
2016-03-31,11.5
2016-04-01,11.25
2016-04-04,11.35
2016-04-05,10.95
2016-04-06,11.15
2016-04-07,11.1
2016-04-08,11.6
2016-04-11,12.15
2016-04-12,12.55
2016-04-13,12.95
2016-04-18,13.55
2016-04-20,14.2
2016-04-21,14.9
2016-04-22,14.5
2016-04-25,14.35
2016-04-26,15.0
2016-04-27,15.05
2016-04-28,14.85
2016-04-29,14.55
2016-05-02,14.55
2016-05-03,14.6
2016-05-04,13.95
2016-05-05,13.75
2016-05-06,13.4
2016-05-09,14.05
2016-05-10,13.9
2016-05-11,14.05
2016-05-12,13.95
2016-05-13,13.8
2016-05-16,13.75
2016-05-17,13.85
2016-05-18,13.7
2016-05-19,13.7
2016-05-20,13.4
2016-05-23,12.75
2016-05-24,12.15
2016-05-25,12.75
2016-05-26,12.25
2016-05-27,12.4
2016-05-30,12.55
2016-05-31,12.35
2016-06-01,12.25
2016-06-02,12.15
2016-06-03,12.35
2016-06-06,12.3
2016-06-07,12.75
2016-06-08,12.9
2016-06-09,13.0
2016-06-10,12.75
2016-06-13,12.45
2016-06-14,12.8
2016-06-15,12.7
2016-06-16,12.35
2016-06-17,12.35
2016-06-20,13.55
2016-06-21,13.4
2016-06-22,13.35
2016-06-23,14.0
2016-06-24,14.3
2016-06-27,14.7
2016-06-28,14.75
2016-06-29,14.7
2016-06-30,15.0
2016-07-01,16.05
2016-07-04,17.15
2016-07-05,17.05
2016-07-07,16.5
2016-07-08,16.05
2016-07-11,15.4
2016-07-12,15.05
2016-07-13,15.4
2016-07-14,15.45
2016-07-15,15.95
2016-07-18,15.85
2016-07-19,15.65
2016-07-20,15.45
2016-07-21,15.45
2016-07-22,15.35
2016-07-25,15.7
2016-07-26,15.4
2016-07-27,15.5
2016-07-28,16.85
2016-07-29,15.7
2016-08-01,16.65
2016-08-02,16.6
2016-08-03,16.1
2016-08-04,16.75
2016-08-05,16.9
2016-08-08,16.95
2016-08-09,15.8
2016-08-10,15.2
2016-08-11,15.0
2016-08-12,14.95
2016-08-16,14.85
2016-08-17,14.95
2016-08-18,14.75
2016-08-19,15.9
2016-08-22,15.0
2016-08-23,14.95
2016-08-24,14.2
2016-08-25,13.7
2016-08-26,13.15
2016-08-29,13.0
2016-08-30,13.45
2016-08-31,13.7
2016-09-01,13.5
2016-09-02,13.35
2016-09-06,13.5
2016-09-07,12.85
2016-09-08,12.6
2016-09-09,13.15
2016-09-12,12.75
2016-09-14,12.85
2016-09-15,12.8
2016-09-16,12.8
2016-09-19,12.7
2016-09-20,12.5
2016-09-21,13.05
2016-09-22,13.35
2016-09-23,12.9
2016-09-26,12.6
2016-09-27,12.6
2016-09-28,12.6
2016-09-29,11.85
2016-09-30,11.65
2016-10-03,12.95
2016-10-04,13.0
2016-10-05,15.6
2016-10-06,15.4
2016-10-07,15.5
2016-10-10,14.75
2016-10-13,14.55
2016-10-14,14.8
2016-10-17,14.45
2016-10-18,15.0
2016-10-19,15.1
2016-10-20,15.1
2016-10-21,14.9
2016-10-24,15.15
2016-10-25,15.0
2016-10-26,14.75
2016-10-27,14.55
2016-10-28,16.45
2016-10-30,16.9
2016-11-01,18.6
2016-11-02,18.4
2016-11-03,17.55
2016-11-04,16.05
2016-11-07,16.3
2016-11-08,15.95
2016-11-09,14.85
2016-11-10,16.1
2016-11-11,14.8
2016-11-15,13.95
2016-11-16,13.7
2016-11-17,13.45
2016-11-18,13.05
2016-11-21,12.25
2016-11-22,13.4
2016-11-23,14.05
2016-11-24,14.4
2016-11-25,14.5
2016-11-28,14.65
2016-11-29,14.4
2016-11-30,14.7
2016-12-01,14.35
2016-12-02,14.3
2016-12-05,15.4
2016-12-06,15.15
2016-12-07,14.7
2016-12-08,15.7
2016-12-09,15.5
2016-12-12,14.95
2016-12-13,14.75
2016-12-14,15.6
2016-12-15,15.7
2016-12-16,15.6
2016-12-19,15.95
2016-12-20,15.55
2016-12-21,15.15
2016-12-22,15.0
2016-12-23,14.9
2016-12-26,14.5
2016-12-27,14.7
2016-12-28,15.2
2016-12-29,15.15
2016-12-30,15.0
