Date,RAMKY
2016-01-01,33.4
2016-01-04,34.75
2016-01-05,37.7
2016-01-06,36.7
2016-01-07,34.4
2016-01-08,35.25
2016-01-11,35.2
2016-01-12,34.55
2016-01-13,33.05
2016-01-14,33.5
2016-01-15,31.4
2016-01-18,30.2
2016-01-19,30.9
2016-01-20,30.1
2016-01-21,30.1
2016-01-22,32.05
2016-01-25,32.2
2016-01-27,32.1
2016-01-28,31.9
2016-01-29,32.2
2016-02-01,31.85
2016-02-02,31.35
2016-02-03,30.0
2016-02-04,30.1
2016-02-05,30.8
2016-02-08,30.8
2016-02-09,30.65
2016-02-10,30.75
2016-02-11,30.25
2016-02-12,29.55
2016-02-15,31.45
2016-02-16,33.05
2016-02-17,34.9
2016-02-18,38.35
2016-02-19,43.4
2016-02-22,47.7
2016-02-23,52.0
2016-02-24,46.8
2016-02-25,43.35
2016-02-26,44.4
2016-02-29,44.3
2016-03-01,48.25
2016-03-02,53.05
2016-03-03,52.65
2016-03-04,55.2
2016-03-08,60.7
2016-03-09,63.7
2016-03-10,66.85
2016-03-11,63.55
2016-03-14,66.7
2016-03-15,70.0
2016-03-16,73.5
2016-03-17,77.15
2016-03-18,81.0
2016-03-21,77.0
2016-03-22,73.4
2016-03-23,70.0
2016-03-28,66.7
2016-03-29,63.4
2016-03-30,60.4
2016-03-31,58.85
2016-04-01,61.65
2016-04-04,64.35
2016-04-05,61.2
2016-04-06,58.75
2016-04-07,58.4
2016-04-08,56.55
2016-04-11,59.35
2016-04-12,59.85
2016-04-13,58.65
2016-04-18,61.5
2016-04-20,60.4
2016-04-21,59.15
2016-04-22,59.9
2016-04-25,59.65
2016-04-26,58.9
2016-04-27,57.85
2016-04-28,57.25
2016-04-29,55.85
2016-05-02,54.25
2016-05-03,54.35
2016-05-04,54.1
2016-05-05,54.35
2016-05-06,54.5
2016-05-09,59.9
2016-05-10,61.8
2016-05-11,60.7
2016-05-12,60.85
2016-05-13,58.65
2016-05-16,57.75
2016-05-17,59.3
2016-05-18,61.05
2016-05-19,59.15
2016-05-20,59.4
2016-05-23,59.6
2016-05-24,59.2
2016-05-25,62.65
2016-05-26,59.45
2016-05-27,61.0
2016-05-30,67.05
2016-05-31,73.75
2016-06-01,74.0
2016-06-02,69.85
2016-06-03,67.0
2016-06-06,65.95
2016-06-07,67.95
2016-06-08,68.95
2016-06-09,68.35
2016-06-10,72.7
2016-06-13,75.05
2016-06-14,75.45
2016-06-15,75.5
2016-06-16,74.45
2016-06-17,74.0
2016-06-20,74.1
2016-06-21,73.2
2016-06-22,72.45
2016-06-23,71.2
2016-06-24,69.1
2016-06-27,71.7
2016-06-28,78.2
2016-06-29,80.5
2016-06-30,81.35
2016-07-01,83.05
2016-07-04,86.75
2016-07-05,87.85
2016-07-07,88.0
2016-07-08,85.4
2016-07-11,86.7
2016-07-12,89.3
2016-07-13,87.0
2016-07-14,93.45
2016-07-15,90.25
2016-07-18,87.25
2016-07-19,85.5
2016-07-20,93.0
2016-07-21,92.6
2016-07-22,92.65
2016-07-25,92.55
2016-07-26,90.35
2016-07-27,89.0
2016-07-28,87.95
2016-07-29,88.15
2016-08-01,87.05
2016-08-02,82.9
2016-08-03,81.05
2016-08-04,82.6
2016-08-05,83.15
2016-08-08,81.45
2016-08-09,80.2
2016-08-10,77.3
2016-08-11,77.3
2016-08-12,77.05
2016-08-16,75.15
2016-08-17,73.25
2016-08-18,75.0
2016-08-19,76.95
2016-08-22,78.3
2016-08-23,76.95
2016-08-24,76.35
2016-08-25,75.85
2016-08-26,74.9
2016-08-29,75.15
2016-08-30,78.05
2016-08-31,80.65
2016-09-01,78.25
2016-09-02,79.75
2016-09-06,79.0
2016-09-07,77.95
2016-09-08,78.7
2016-09-09,79.0
2016-09-12,76.15
2016-09-14,78.75
2016-09-15,78.35
2016-09-16,77.85
2016-09-19,77.05
2016-09-20,74.1
2016-09-21,73.85
2016-09-22,74.65
2016-09-23,74.65
2016-09-26,74.0
2016-09-27,73.2
2016-09-28,74.0
2016-09-29,66.55
2016-09-30,69.85
2016-10-03,71.8
2016-10-04,74.95
2016-10-05,74.85
2016-10-06,73.75
2016-10-07,73.4
2016-10-10,74.55
2016-10-13,73.2
2016-10-14,71.15
2016-10-17,69.25
2016-10-18,71.2
2016-10-19,74.45
2016-10-20,75.0
2016-10-21,74.0
2016-10-24,82.75
2016-10-25,80.3
2016-10-26,78.6
2016-10-27,78.8
2016-10-28,80.9
2016-10-30,81.0
2016-11-01,79.55
2016-11-02,75.9
2016-11-03,74.0
2016-11-04,71.65
2016-11-07,74.4
2016-11-08,73.0
2016-11-09,68.9
2016-11-10,71.75
2016-11-11,67.15
2016-11-15,58.75
2016-11-16,57.4
2016-11-17,56.8
2016-11-18,58.9
2016-11-21,53.8
2016-11-22,60.6
2016-11-23,62.5
2016-11-24,62.25
2016-11-25,63.0
2016-11-28,69.8
2016-11-29,68.25
2016-11-30,67.95
2016-12-01,68.55
2016-12-02,66.3
2016-12-05,65.75
2016-12-06,66.35
2016-12-07,66.75
2016-12-08,67.6
2016-12-09,69.3
2016-12-12,67.35
2016-12-13,64.9
2016-12-14,64.8
2016-12-15,64.1
2016-12-16,64.8
2016-12-19,62.95
2016-12-20,63.45
2016-12-21,62.45
2016-12-22,60.95
2016-12-23,60.55
2016-12-26,58.15
2016-12-27,60.25
2016-12-28,60.45
2016-12-29,61.35
2016-12-30,62.25
