Date,CHOLAFIN
2016-01-01,638.75
2016-01-04,640.4
2016-01-05,641.9
2016-01-06,647.85
2016-01-07,642.9
2016-01-08,648.9
2016-01-11,640.65
2016-01-12,644.15
2016-01-13,624.5
2016-01-14,625.8
2016-01-15,612.25
2016-01-18,599.1
2016-01-19,608.55
2016-01-20,594.95
2016-01-21,616.9
2016-01-22,612.55
2016-01-25,604.5
2016-01-27,622.65
2016-01-28,625.75
2016-01-29,632.0
2016-02-01,646.35
2016-02-02,643.3
2016-02-03,653.85
2016-02-04,672.45
2016-02-05,689.2
2016-02-08,701.65
2016-02-09,684.45
2016-02-10,689.65
2016-02-11,677.25
2016-02-12,697.8
2016-02-15,696.35
2016-02-16,674.25
2016-02-17,663.8
2016-02-18,645.5
2016-02-19,660.05
2016-02-22,663.7
2016-02-23,636.15
2016-02-24,642.5
2016-02-25,631.25
2016-02-26,636.2
2016-02-29,644.2
2016-03-01,647.6
2016-03-02,654.75
2016-03-03,665.9
2016-03-04,664.6
2016-03-08,663.7
2016-03-09,668.3
2016-03-10,689.95
2016-03-11,670.3
2016-03-14,668.65
2016-03-15,667.0
2016-03-16,652.9
2016-03-17,679.05
2016-03-18,670.1
2016-03-21,683.35
2016-03-22,685.55
2016-03-23,687.25
2016-03-28,695.85
2016-03-29,698.2
2016-03-30,699.4
2016-03-31,721.25
2016-04-01,732.45
2016-04-04,740.25
2016-04-05,739.95
2016-04-06,726.55
2016-04-07,745.45
2016-04-08,738.2
2016-04-11,764.75
2016-04-12,788.5
2016-04-13,789.95
2016-04-18,792.65
2016-04-20,784.9
2016-04-21,764.2
2016-04-22,786.4
2016-04-25,786.05
2016-04-26,790.0
2016-04-27,796.2
2016-04-28,796.45
2016-04-29,799.2
2016-05-02,850.95
2016-05-03,846.1
2016-05-04,874.9
2016-05-05,878.05
2016-05-06,895.45
2016-05-09,904.7
2016-05-10,900.85
2016-05-11,900.2
2016-05-12,893.8
2016-05-13,898.85
2016-05-16,900.9
2016-05-17,888.95
2016-05-18,883.55
2016-05-19,876.35
2016-05-20,881.25
2016-05-23,876.6
2016-05-24,896.15
2016-05-25,892.3
2016-05-26,874.05
2016-05-27,885.3
2016-05-30,949.35
2016-05-31,975.55
2016-06-01,980.95
2016-06-02,1026.7
2016-06-03,1013.05
2016-06-06,1005.85
2016-06-07,996.9
2016-06-08,1011.3
2016-06-09,993.75
2016-06-10,979.3
2016-06-13,959.4
2016-06-14,949.55
2016-06-15,923.2
2016-06-16,920.55
2016-06-17,917.6
2016-06-20,940.65
2016-06-21,938.05
2016-06-22,932.85
2016-06-23,931.8
2016-06-24,926.05
2016-06-27,959.95
2016-06-28,957.3
2016-06-29,948.75
2016-06-30,948.55
2016-07-01,978.35
2016-07-04,964.0
2016-07-05,960.0
2016-07-07,964.95
2016-07-08,966.65
2016-07-11,954.2
2016-07-12,963.05
2016-07-13,961.75
2016-07-14,956.35
2016-07-15,958.9
2016-07-18,957.1
2016-07-19,968.3
2016-07-20,975.9
2016-07-21,1002.4
2016-07-22,1021.1
2016-07-25,1024.7
2016-07-26,1040.05
2016-07-27,1090.75
2016-07-28,1081.15
2016-07-29,1092.35
2016-08-01,1152.15
2016-08-02,1152.85
2016-08-03,1122.0
2016-08-04,1116.8
2016-08-05,1123.8
2016-08-08,1164.55
2016-08-09,1140.85
2016-08-10,1126.2
2016-08-11,1099.05
2016-08-12,1094.35
2016-08-16,1112.3
2016-08-17,1127.55
2016-08-18,1112.85
2016-08-19,1117.2
2016-08-22,1106.0
2016-08-23,1088.5
