Date,WELCORP
2016-01-01,113.3
2016-01-04,109.85
2016-01-05,113.2
2016-01-06,111.7
2016-01-07,107.15
2016-01-08,109.65
2016-01-11,108.25
2016-01-12,106.85
2016-01-13,103.4
2016-01-14,98.35
2016-01-15,92.75
2016-01-18,85.4
2016-01-19,88.4
2016-01-20,85.15
2016-01-21,85.85
2016-01-22,87.65
2016-01-25,90.25
2016-01-27,94.2
2016-01-28,96.3
2016-01-29,99.8
2016-02-01,101.95
2016-02-02,99.0
2016-02-03,93.35
2016-02-04,90.8
2016-02-05,93.9
2016-02-08,93.2
2016-02-09,91.45
2016-02-10,94.35
2016-02-11,88.45
2016-02-12,83.25
2016-02-15,90.05
2016-02-16,87.15
2016-02-17,84.7
2016-02-18,84.8
2016-02-19,84.35
2016-02-22,85.4
2016-02-23,83.5
2016-02-24,80.25
2016-02-25,80.35
2016-02-26,79.3
2016-02-29,79.6
2016-03-01,84.45
2016-03-02,86.9
2016-03-03,88.2
2016-03-04,88.05
2016-03-08,91.15
2016-03-09,88.7
2016-03-10,93.3
2016-03-11,97.55
2016-03-14,97.65
2016-03-15,98.45
2016-03-16,97.55
2016-03-17,98.25
2016-03-18,99.15
2016-03-21,97.4
2016-03-22,97.75
2016-03-23,103.6
2016-03-28,97.25
2016-03-29,94.8
2016-03-30,98.2
2016-03-31,98.7
2016-04-01,97.75
2016-04-04,99.6
2016-04-05,97.55
2016-04-06,100.75
2016-04-07,98.45
2016-04-08,104.9
2016-04-11,102.45
2016-04-12,101.6
2016-04-13,102.35
2016-04-18,104.4
2016-04-20,104.2
2016-04-21,108.15
2016-04-22,107.05
2016-04-25,108.3
2016-04-26,109.55
2016-04-27,112.45
2016-04-28,108.3
2016-04-29,110.65
2016-05-02,109.15
2016-05-03,106.2
2016-05-04,105.0
2016-05-05,101.95
2016-05-06,101.75
2016-05-09,102.95
2016-05-10,105.3
2016-05-11,105.55
2016-05-12,106.6
2016-05-13,104.55
2016-05-16,103.65
2016-05-17,103.25
2016-05-18,103.4
2016-05-19,100.0
2016-05-20,99.25
2016-05-23,87.85
2016-05-24,81.9
2016-05-25,81.95
2016-05-26,79.3
2016-05-27,80.95
2016-05-30,79.2
2016-05-31,78.2
2016-06-01,74.95
2016-06-02,74.0
2016-06-03,70.45
2016-06-06,70.65
2016-06-07,70.45
2016-06-08,69.9
2016-06-09,71.3
2016-06-10,74.8
2016-06-13,73.35
2016-06-14,75.05
2016-06-15,76.05
2016-06-16,74.45
2016-06-17,77.05
2016-06-20,77.5
2016-06-21,82.5
2016-06-22,84.0
2016-06-23,84.7
2016-06-24,81.6
2016-06-27,82.7
2016-06-28,81.3
2016-06-29,79.9
2016-06-30,79.5
2016-07-01,80.1
2016-07-04,80.55
2016-07-05,82.25
2016-07-07,81.8
2016-07-08,82.35
2016-07-11,83.5
2016-07-12,83.55
2016-07-13,84.5
2016-07-14,89.15
2016-07-15,87.55
2016-07-18,85.45
2016-07-19,84.15
2016-07-20,83.8
2016-07-21,87.9
2016-07-22,86.75
2016-07-25,89.3
2016-07-26,88.7
2016-07-27,89.2
2016-07-28,89.75
2016-07-29,87.05
2016-08-01,87.35
2016-08-02,85.25
2016-08-03,82.95
2016-08-04,81.6
2016-08-05,83.1
2016-08-08,83.5
2016-08-09,83.05
2016-08-10,81.7
2016-08-11,81.45
2016-08-12,81.2
2016-08-16,81.15
2016-08-17,83.55
2016-08-18,87.5
2016-08-19,89.1
2016-08-22,84.4
2016-08-23,84.45
2016-08-24,83.0
2016-08-25,83.1
2016-08-26,82.55
2016-08-29,80.65
2016-08-30,81.15
2016-08-31,81.4
2016-09-01,81.1
2016-09-02,81.9
2016-09-06,81.35
2016-09-07,81.2
2016-09-08,79.6
2016-09-09,78.2
2016-09-12,76.75
2016-09-14,78.15
2016-09-15,77.05
2016-09-16,73.6
2016-09-19,74.05
2016-09-20,74.05
2016-09-21,76.95
2016-09-22,76.4
2016-09-23,75.95
2016-09-26,75.1
2016-09-27,73.0
2016-09-28,74.9
2016-09-29,70.7
2016-09-30,69.9
2016-10-03,71.5
2016-10-04,72.15
2016-10-05,74.45
2016-10-06,72.75
2016-10-07,71.85
2016-10-10,72.65
2016-10-13,71.65
2016-10-14,71.4
2016-10-17,70.0
2016-10-18,71.0
2016-10-19,71.65
2016-10-20,73.2
2016-10-21,71.5
2016-10-24,73.3
2016-10-25,71.75
2016-10-26,71.7
2016-10-27,71.9
2016-10-28,70.9
2016-10-30,71.35
2016-11-01,69.65
2016-11-02,69.25
2016-11-03,68.5
2016-11-04,66.05
2016-11-07,66.45
2016-11-08,65.05
2016-11-09,61.4
2016-11-10,73.65
2016-11-11,73.65
2016-11-15,72.7
2016-11-16,72.95
2016-11-17,69.6
2016-11-18,70.25
2016-11-21,69.55
2016-11-22,71.05
2016-11-23,70.9
2016-11-24,69.8
2016-11-25,70.7
2016-11-28,71.15
2016-11-29,71.2
2016-11-30,80.9
2016-12-01,82.55
2016-12-02,79.85
2016-12-05,77.5
2016-12-06,78.1
2016-12-07,76.25
2016-12-08,77.2
2016-12-09,77.95
2016-12-12,76.9
2016-12-13,75.65
2016-12-14,78.0
2016-12-15,76.45
2016-12-16,78.3
2016-12-19,76.7
2016-12-20,75.4
2016-12-21,79.75
2016-12-22,81.35
2016-12-23,79.45
2016-12-26,73.35
2016-12-27,75.8
2016-12-28,73.95
2016-12-29,75.15
2016-12-30,75.25
