Date,LALPATHLAB
2016-01-01,803.6
2016-01-04,812.15
2016-01-05,817.05
2016-01-06,835.85
2016-01-07,803.8
2016-01-08,806.9
2016-01-11,797.05
2016-01-12,802.2
2016-01-13,799.65
2016-01-14,814.5
2016-01-15,789.1
2016-01-18,771.85
2016-01-19,722.2
2016-01-20,720.35
2016-01-21,728.95
2016-01-22,737.65
2016-01-25,748.65
2016-01-27,758.4
2016-01-28,757.85
2016-01-29,774.2
2016-02-01,799.15
2016-02-02,798.0
2016-02-03,786.65
2016-02-04,802.7
2016-02-05,800.25
2016-02-08,800.7
2016-02-09,794.85
2016-02-10,802.9
2016-02-11,799.2
2016-02-12,802.65
2016-02-15,825.35
2016-02-16,840.55
2016-02-17,851.2
2016-02-18,857.6
2016-02-19,866.3
2016-02-22,847.1
2016-02-23,851.9
2016-02-24,830.3
2016-02-25,836.35
2016-02-26,828.5
2016-02-29,826.7
2016-03-01,828.75
2016-03-02,853.0
2016-03-03,893.9
2016-03-04,859.0
2016-03-08,844.65
2016-03-09,873.85
2016-03-10,864.45
2016-03-11,862.7
2016-03-14,890.6
2016-03-15,906.65
2016-03-16,882.05
2016-03-17,906.15
2016-03-18,922.7
2016-03-21,918.25
2016-03-22,940.0
2016-03-23,921.45
2016-03-28,931.6
2016-03-29,926.95
2016-03-30,930.6
2016-03-31,923.3
2016-04-01,942.45
2016-04-04,988.0
2016-04-05,989.15
2016-04-06,987.95
2016-04-07,990.85
2016-04-08,1003.4
2016-04-11,1021.95
2016-04-12,1022.95
2016-04-13,1011.85
2016-04-18,987.0
2016-04-20,987.05
2016-04-21,977.85
2016-04-22,965.2
2016-04-25,968.95
2016-04-26,972.4
2016-04-27,995.95
2016-04-28,992.55
2016-04-29,985.1
2016-05-02,966.75
2016-05-03,981.15
2016-05-04,974.35
2016-05-05,978.8
2016-05-06,971.55
2016-05-09,981.8
2016-05-10,955.05
2016-05-11,957.85
2016-05-12,955.5
2016-05-13,952.85
2016-05-16,957.5
2016-05-17,974.5
2016-05-18,984.7
2016-05-19,980.1
2016-05-20,974.95
2016-05-23,963.0
2016-05-24,959.5
2016-05-25,970.85
2016-05-26,980.1
2016-05-27,941.5
2016-05-30,945.9
2016-05-31,939.65
2016-06-01,948.9
2016-06-02,963.55
2016-06-03,992.3
2016-06-06,989.4
2016-06-07,996.25
2016-06-08,989.75
2016-06-09,989.05
2016-06-10,988.05
2016-06-13,995.95
2016-06-14,978.9
2016-06-15,956.5
2016-06-16,936.85
2016-06-17,897.2
2016-06-20,869.6
2016-06-21,842.25
2016-06-22,847.25
2016-06-23,837.8
2016-06-24,820.55
2016-06-27,837.4
2016-06-28,840.75
2016-06-29,855.4
2016-06-30,847.3
2016-07-01,838.2
2016-07-04,881.75
