Date,BINANIIND
2016-01-01,77.8
2016-01-04,78.55
2016-01-05,78.9
2016-01-06,77.65
2016-01-07,74.6
2016-01-08,75.35
2016-01-11,73.8
2016-01-12,73.05
2016-01-13,69.15
2016-01-14,69.1
2016-01-15,66.7
2016-01-18,62.7
2016-01-19,64.15
2016-01-20,61.45
2016-01-21,61.2
2016-01-22,63.0
2016-01-25,62.5
2016-01-27,62.8
2016-01-28,62.75
2016-01-29,64.3
2016-02-01,63.35
2016-02-02,62.6
2016-02-03,59.75
2016-02-04,59.35
2016-02-05,60.4
2016-02-08,60.6
2016-02-09,59.7
2016-02-10,56.1
2016-02-11,50.95
2016-02-12,51.6
2016-02-15,54.65
2016-02-16,53.65
2016-02-17,53.25
2016-02-18,54.1
2016-02-19,54.0
2016-02-22,54.4
2016-02-23,53.35
2016-02-24,53.05
2016-02-25,52.65
2016-02-26,51.8
2016-02-29,51.95
2016-03-01,53.7
2016-03-02,55.15
2016-03-03,56.4
2016-03-04,57.8
2016-03-08,59.25
2016-03-09,59.2
2016-03-10,58.2
2016-03-11,57.65
2016-03-14,57.7
2016-03-15,56.75
2016-03-16,57.35
2016-03-17,57.3
2016-03-18,58.85
2016-03-21,62.15
2016-03-22,67.0
2016-03-23,66.0
2016-03-28,63.2
2016-03-29,62.0
2016-03-30,61.95
2016-03-31,62.3
2016-04-01,64.45
2016-04-04,64.05
2016-04-05,62.7
2016-04-06,64.9
2016-04-07,66.0
2016-04-08,67.7
2016-04-11,68.25
2016-04-12,67.55
2016-04-13,67.45
2016-04-18,67.75
2016-04-20,67.75
2016-04-21,66.95
2016-04-22,67.4
2016-04-25,67.1
2016-04-26,67.7
2016-04-27,67.8
2016-04-28,67.15
2016-04-29,67.65
2016-05-02,67.2
2016-05-03,67.65
2016-05-04,66.5
2016-05-05,67.05
2016-05-06,66.65
2016-05-09,66.8
2016-05-10,69.85
2016-05-11,69.95
2016-05-12,70.35
2016-05-13,68.75
2016-05-16,68.3
2016-05-17,67.75
2016-05-18,67.3
2016-05-19,66.25
2016-05-20,65.85
2016-05-23,64.65
2016-05-24,63.85
2016-05-25,64.4
2016-05-26,64.9
2016-05-27,64.55
2016-05-30,65.6
2016-05-31,65.95
2016-06-01,65.5
2016-06-02,65.35
2016-06-03,65.5
2016-06-06,64.5
2016-06-07,65.5
2016-06-08,68.05
2016-06-09,66.8
2016-06-10,66.8
2016-06-13,66.25
2016-06-14,66.3
2016-06-15,67.5
2016-06-16,68.2
2016-06-17,69.25
2016-06-20,72.35
2016-06-21,74.05
2016-06-22,73.5
2016-06-23,71.25
2016-06-24,68.05
2016-06-27,70.05
2016-06-28,84.05
2016-06-29,86.95
2016-06-30,83.25
2016-07-01,82.5
2016-07-04,82.55
2016-07-05,80.1
2016-07-07,79.95
2016-07-08,78.65
2016-07-11,79.2
2016-07-12,78.7
2016-07-13,77.4
2016-07-14,77.55
2016-07-15,77.8
2016-07-18,77.45
2016-07-19,76.6
2016-07-20,77.05
2016-07-21,77.85
2016-07-22,78.1
2016-07-25,83.65
2016-07-26,81.55
2016-07-27,81.55
2016-07-28,81.15
2016-07-29,84.45
2016-08-01,84.3
2016-08-02,84.8
2016-08-03,85.15
2016-08-04,85.6
2016-08-05,89.3
2016-08-08,90.05
2016-08-09,96.35
2016-08-10,92.1
2016-08-11,89.2
2016-08-12,88.65
2016-08-16,85.9
2016-08-17,85.4
2016-08-18,88.35
2016-08-19,96.2
2016-08-22,97.65
2016-08-23,100.55
2016-08-24,103.15
2016-08-25,103.9
2016-08-26,114.0
2016-08-29,114.3
2016-08-30,116.95
2016-08-31,109.35
2016-09-01,106.15
2016-09-02,105.15
2016-09-06,107.4
2016-09-07,105.15
2016-09-08,114.05
2016-09-09,111.6
2016-09-12,106.55
2016-09-14,107.1
2016-09-15,111.15
2016-09-16,113.1
2016-09-19,112.8
2016-09-20,111.6
2016-09-21,111.55
2016-09-22,113.8
2016-09-23,111.15
2016-09-26,110.3
2016-09-27,109.85
2016-09-28,111.85
2016-09-29,99.4
2016-09-30,100.35
2016-10-03,103.7
2016-10-04,105.45
2016-10-05,105.1
2016-10-06,107.25
2016-10-07,105.65
2016-10-10,104.1
2016-10-13,101.45
2016-10-14,106.0
2016-10-17,104.1
2016-10-18,105.6
2016-10-19,104.75
2016-10-20,103.95
2016-10-21,103.55
2016-10-24,104.15
2016-10-25,106.9
2016-10-26,104.5
2016-10-27,103.15
2016-10-28,102.0
2016-10-30,103.85
2016-11-01,102.15
2016-11-02,99.0
2016-11-03,96.4
2016-11-04,90.15
2016-11-07,95.1
2016-11-08,94.35
2016-11-09,87.0
2016-11-10,92.65
2016-11-11,85.65
2016-11-15,71.55
2016-11-16,68.85
2016-11-17,62.6
2016-11-18,67.0
2016-11-21,64.9
2016-11-22,65.95
2016-11-23,68.95
2016-11-24,69.4
2016-11-25,76.3
2016-11-28,73.0
2016-11-29,74.5
2016-11-30,75.6
2016-12-01,76.4
2016-12-02,72.2
2016-12-05,73.1
2016-12-06,73.8
2016-12-07,72.6
2016-12-08,72.6
2016-12-09,74.65
2016-12-12,73.45
2016-12-13,73.8
2016-12-14,74.2
2016-12-15,73.3
2016-12-16,72.6
2016-12-19,71.8
2016-12-20,69.9
2016-12-21,67.9
2016-12-22,63.2
2016-12-23,65.3
2016-12-26,64.95
2016-12-27,64.85
2016-12-28,66.1
2016-12-29,68.05
2016-12-30,68.55
