Date,FLEXITUFF
2016-01-01,202.0
2016-01-04,198.25
2016-01-05,199.6
2016-01-06,205.9
2016-01-07,199.4
2016-01-08,200.75
2016-01-11,194.85
2016-01-12,188.2
2016-01-13,187.0
2016-01-14,181.05
2016-01-15,180.9
2016-01-18,168.75
2016-01-19,182.25
2016-01-20,182.35
2016-01-21,189.95
2016-01-22,191.85
2016-01-25,195.85
2016-01-27,189.9
2016-01-28,194.75
2016-01-29,193.65
2016-02-01,192.25
2016-02-02,187.5
2016-02-03,181.7
2016-02-04,178.0
2016-02-05,180.0
2016-02-08,181.2
2016-02-09,179.5
2016-02-10,178.95
2016-02-11,175.05
2016-02-12,170.4
2016-02-15,175.75
2016-02-16,180.55
2016-02-17,198.2
2016-02-18,199.3
2016-02-19,196.25
2016-02-22,200.6
2016-02-23,198.15
2016-02-24,196.15
2016-02-25,191.0
2016-02-26,195.3
2016-02-29,200.65
2016-03-01,198.7
2016-03-02,199.1
2016-03-03,193.55
2016-03-04,196.15
2016-03-08,198.6
2016-03-09,198.15
2016-03-10,197.1
2016-03-11,195.75
2016-03-14,197.0
2016-03-15,199.6
2016-03-16,199.8
2016-03-17,198.35
2016-03-18,200.35
2016-03-21,200.2
2016-03-22,200.5
2016-03-23,198.6
2016-03-28,193.3
2016-03-29,197.15
2016-03-30,196.25
2016-03-31,201.05
2016-04-01,199.0
2016-04-04,199.7
2016-04-05,195.9
2016-04-06,197.0
2016-04-07,200.0
2016-04-08,202.55
2016-04-11,199.4
2016-04-12,212.75
2016-04-13,206.55
2016-04-18,202.1
2016-04-20,204.4
2016-04-21,200.0
2016-04-22,193.55
2016-04-25,193.5
2016-04-26,194.2
2016-04-27,194.9
2016-04-28,195.0
2016-04-29,194.4
2016-05-02,196.65
2016-05-03,196.3
2016-05-04,196.9
2016-05-05,193.05
2016-05-06,204.05
2016-05-09,202.15
2016-05-10,203.5
2016-05-11,200.05
2016-05-12,201.05
2016-05-13,198.55
2016-05-16,197.0
2016-05-17,198.0
2016-05-18,198.0
2016-05-19,200.45
2016-05-20,198.25
2016-05-23,195.3
2016-05-24,191.25
2016-05-25,196.5
2016-05-26,181.05
2016-05-27,189.05
2016-05-30,189.85
2016-05-31,194.15
2016-06-01,194.15
2016-06-02,196.85
2016-06-03,199.7
2016-06-06,201.95
2016-06-07,197.0
2016-06-08,196.0
2016-06-09,197.5
2016-06-10,194.0
2016-06-13,193.2
2016-06-14,193.0
2016-06-15,196.95
2016-06-16,194.75
2016-06-17,195.75
2016-06-20,197.0
2016-06-21,197.4
2016-06-22,193.35
2016-06-23,192.15
2016-06-24,196.3
2016-06-27,197.0
2016-06-28,199.9
2016-06-29,199.45
2016-06-30,199.75
2016-07-01,196.4
2016-07-04,198.35
2016-07-05,197.5
2016-07-07,197.15
2016-07-08,200.4
2016-07-11,199.9
2016-07-12,200.85
2016-07-13,199.65
2016-07-14,197.65
2016-07-15,196.35
2016-07-18,198.7
2016-07-19,197.85
2016-07-20,196.65
2016-07-21,196.0
2016-07-22,199.95
2016-07-25,201.65
2016-07-26,198.0
2016-07-27,206.35
2016-07-28,202.8
2016-07-29,200.55
2016-08-01,197.05
2016-08-02,199.7
2016-08-03,199.1
2016-08-04,199.55
2016-08-05,201.35
2016-08-08,198.4
2016-08-09,199.6
2016-08-10,198.55
2016-08-11,198.95
2016-08-12,197.85
2016-08-16,198.15
2016-08-17,201.05
2016-08-18,201.9
2016-08-19,203.9
2016-08-22,210.8
2016-08-23,204.1
2016-08-24,200.0
2016-08-25,196.8
2016-08-26,196.9
2016-08-29,197.15
2016-08-30,198.75
2016-08-31,197.85
2016-09-01,198.75
2016-09-02,196.05
2016-09-06,198.0
2016-09-07,198.95
2016-09-08,201.85
2016-09-09,199.4
2016-09-12,198.0
2016-09-14,198.75
2016-09-15,198.95
2016-09-16,198.3
2016-09-19,199.9
2016-09-20,198.4
2016-09-21,197.25
2016-09-22,198.85
2016-09-23,199.85
2016-09-26,199.4
2016-09-27,200.5
2016-09-28,197.8
2016-09-29,189.0
2016-09-30,193.8
2016-10-03,194.7
2016-10-04,192.0
2016-10-05,194.0
2016-10-06,195.0
2016-10-07,193.3
2016-10-10,195.75
2016-10-13,194.95
2016-10-14,197.75
2016-10-17,197.75
2016-10-18,197.0
2016-10-19,197.8
2016-10-20,199.45
2016-10-21,196.45
2016-10-24,196.15
2016-10-25,193.75
2016-10-26,193.15
2016-10-27,195.55
2016-10-28,196.1
2016-10-30,196.9
2016-11-01,193.8
2016-11-02,193.95
2016-11-03,196.4
2016-11-04,192.7
2016-11-07,194.25
2016-11-08,192.15
2016-11-09,192.75
2016-11-10,196.6
2016-11-11,187.65
2016-11-15,189.95
2016-11-16,186.25
2016-11-17,188.0
2016-11-18,190.55
2016-11-21,185.8
2016-11-22,191.35
2016-11-23,191.25
2016-11-24,186.15
2016-11-25,192.3
2016-11-28,189.75
2016-11-29,193.45
2016-11-30,192.1
2016-12-01,193.5
2016-12-02,193.5
2016-12-05,192.55
2016-12-06,194.15
2016-12-07,192.0
2016-12-08,190.6
2016-12-09,193.6
2016-12-12,196.9
2016-12-13,194.15
2016-12-14,190.85
2016-12-15,190.0
2016-12-16,190.0
2016-12-19,186.3
2016-12-20,187.1
2016-12-21,186.9
2016-12-22,185.3
2016-12-23,184.25
2016-12-26,182.8
2016-12-27,181.85
2016-12-28,179.6
2016-12-29,176.95
2016-12-30,176.1
