Date,ALICON
2016-01-01,359.6
2016-01-04,357.95
2016-01-05,360.95
2016-01-06,360.0
2016-01-07,343.5
2016-01-08,346.65
2016-01-11,341.9
2016-01-12,328.9
2016-01-13,320.2
2016-01-14,312.6
2016-01-15,304.2
2016-01-18,290.65
2016-01-19,293.95
2016-01-20,273.6
2016-01-21,272.3
2016-01-22,278.8
2016-01-25,275.2
2016-01-27,274.2
2016-01-28,284.0
2016-01-29,283.45
2016-02-01,288.0
2016-02-02,289.75
2016-02-03,277.3
2016-02-04,270.05
2016-02-05,286.0
2016-02-08,298.65
2016-02-09,284.25
2016-02-10,281.8
2016-02-11,265.95
2016-02-12,251.55
2016-02-15,260.55
2016-02-16,270.85
2016-02-17,261.9
2016-02-18,265.4
2016-02-19,267.8
2016-02-22,263.0
2016-02-23,254.95
2016-02-24,264.65
2016-02-25,261.2
2016-02-26,254.8
2016-02-29,255.1
2016-03-01,266.05
2016-03-02,267.25
2016-03-03,269.05
2016-03-04,264.8
2016-03-08,264.0
2016-03-09,262.95
2016-03-10,269.15
2016-03-11,264.25
2016-03-14,271.35
2016-03-15,269.65
2016-03-16,265.75
2016-03-17,270.0
2016-03-18,271.7
2016-03-21,281.6
2016-03-22,292.15
2016-03-23,291.55
2016-03-28,289.15
2016-03-29,297.1
2016-03-30,292.7
2016-03-31,279.6
2016-04-01,292.0
2016-04-04,296.05
2016-04-05,286.25
2016-04-06,287.4
2016-04-07,282.95
2016-04-08,285.65
2016-04-11,290.8
2016-04-12,291.75
2016-04-13,290.75
2016-04-18,294.1
2016-04-20,318.1
2016-04-21,325.0
2016-04-22,332.3
2016-04-25,326.15
2016-04-26,339.6
2016-04-27,343.9
2016-04-28,336.3
2016-04-29,333.1
2016-05-02,329.4
2016-05-03,344.4
2016-05-04,332.55
2016-05-05,341.5
2016-05-06,346.95
2016-05-09,336.55
2016-05-10,343.3
2016-05-11,340.0
2016-05-12,350.15
2016-05-13,351.3
2016-05-16,351.85
2016-05-17,356.9
2016-05-18,357.1
2016-05-19,349.9
2016-05-20,350.0
2016-05-23,348.1
2016-05-24,331.65
2016-05-25,340.45
2016-05-26,343.45
2016-05-27,342.0
2016-05-30,347.05
2016-05-31,342.0
2016-06-01,336.0
2016-06-02,336.0
2016-06-03,332.8
2016-06-06,323.2
2016-06-07,321.75
2016-06-08,316.0
2016-06-09,323.9
2016-06-10,320.0
2016-06-13,315.85
2016-06-14,313.8
2016-06-15,311.3
2016-06-16,318.95
2016-06-17,308.2
2016-06-20,313.25
2016-06-21,304.6
2016-06-22,302.85
2016-06-23,306.15
2016-06-24,307.8
2016-06-27,314.65
2016-06-28,312.25
2016-06-29,318.15
2016-06-30,317.75
2016-07-01,314.45
2016-07-04,312.95
2016-07-05,298.35
2016-07-07,300.7
2016-07-08,298.25
2016-07-11,301.5
2016-07-12,294.5
2016-07-13,301.2
2016-07-14,302.6
2016-07-15,303.0
2016-07-18,297.4
2016-07-19,290.85
2016-07-20,293.75
2016-07-21,293.35
2016-07-22,290.2
2016-07-25,300.05
2016-07-26,299.85
2016-07-27,295.15
2016-07-28,293.85
2016-07-29,295.2
2016-08-01,318.2
2016-08-02,328.3
2016-08-03,306.6
2016-08-04,294.85
2016-08-05,303.9
2016-08-08,301.4
2016-08-09,296.2
2016-08-10,295.4
2016-08-11,290.7
2016-08-12,292.4
2016-08-16,290.25
2016-08-17,293.85
2016-08-18,290.55
2016-08-19,300.35
2016-08-22,296.45
2016-08-23,309.9
2016-08-24,309.05
2016-08-25,301.4
2016-08-26,297.15
2016-08-29,292.85
2016-08-30,303.15
2016-08-31,296.7
2016-09-01,294.2
2016-09-02,289.65
2016-09-06,306.1
2016-09-07,304.9
2016-09-08,307.25
2016-09-09,318.8
2016-09-12,319.35
2016-09-14,320.95
2016-09-15,337.85
2016-09-16,343.55
2016-09-19,341.25
2016-09-20,334.3
2016-09-21,333.3
2016-09-22,338.6
2016-09-23,351.45
2016-09-26,355.2
2016-09-27,342.35
2016-09-28,350.8
2016-09-29,331.15
2016-09-30,349.85
2016-10-03,367.45
2016-10-04,363.7
2016-10-05,362.25
2016-10-06,351.8
2016-10-07,350.6
2016-10-10,350.5
2016-10-13,362.85
2016-10-14,371.9
2016-10-17,362.5
2016-10-18,426.8
2016-10-19,412.4
2016-10-20,415.95
2016-10-21,426.25
2016-10-24,457.45
2016-10-25,455.9
2016-10-26,448.3
2016-10-27,439.0
2016-10-28,467.05
2016-10-30,484.1
2016-11-01,462.45
2016-11-02,451.4
2016-11-03,438.3
2016-11-04,436.5
2016-11-07,447.9
2016-11-08,428.3
2016-11-09,438.35
2016-11-10,473.75
2016-11-11,442.15
2016-11-15,402.95
2016-11-16,392.75
2016-11-17,381.55
2016-11-18,377.2
2016-11-21,344.45
2016-11-22,349.65
2016-11-23,366.95
2016-11-24,367.35
2016-11-25,371.45
2016-11-28,372.2
2016-11-29,387.55
2016-11-30,393.05
2016-12-01,390.95
2016-12-02,374.2
2016-12-05,384.6
2016-12-06,384.65
2016-12-07,383.95
2016-12-08,384.3
2016-12-09,378.2
2016-12-12,354.2
2016-12-13,362.25
2016-12-14,354.3
2016-12-15,364.6
2016-12-16,356.4
2016-12-19,357.45
2016-12-20,355.85
2016-12-21,348.2
2016-12-22,340.9
2016-12-23,350.55
2016-12-26,346.2
2016-12-27,352.35
2016-12-28,356.0
2016-12-29,355.9
2016-12-30,361.0
