Date,RALLIS
2016-01-01,180.3
2016-01-04,175.0
2016-01-05,175.8
2016-01-06,172.45
2016-01-07,168.85
2016-01-08,169.05
2016-01-11,166.0
2016-01-12,169.6
2016-01-13,169.35
2016-01-14,169.95
2016-01-15,162.7
2016-01-18,158.0
2016-01-19,148.85
2016-01-20,143.0
2016-01-21,143.65
2016-01-22,161.9
2016-01-25,164.6
2016-01-27,165.8
2016-01-28,163.9
2016-01-29,165.2
2016-02-01,163.85
2016-02-02,158.45
2016-02-03,157.35
2016-02-04,157.75
2016-02-05,161.0
2016-02-08,164.15
2016-02-09,162.0
2016-02-10,155.95
2016-02-11,152.4
2016-02-12,148.5
2016-02-15,150.9
2016-02-16,149.55
2016-02-17,145.6
2016-02-18,150.15
2016-02-19,150.6
2016-02-22,152.1
2016-02-23,150.0
2016-02-24,147.5
2016-02-25,144.0
2016-02-26,146.3
2016-02-29,147.2
2016-03-01,148.2
2016-03-02,150.5
2016-03-03,151.85
2016-03-04,152.05
2016-03-08,154.0
2016-03-09,153.95
2016-03-10,153.65
2016-03-11,156.85
2016-03-14,162.5
2016-03-15,164.2
2016-03-16,165.3
2016-03-17,168.6
2016-03-18,174.5
2016-03-21,173.1
2016-03-22,171.35
2016-03-23,170.3
2016-03-28,168.95
2016-03-29,169.9
2016-03-30,172.55
2016-03-31,170.15
2016-04-01,169.1
2016-04-04,167.1
2016-04-05,170.9
2016-04-06,171.8
2016-04-07,169.9
2016-04-08,170.15
2016-04-11,178.5
2016-04-12,182.95
2016-04-13,189.85
2016-04-18,191.2
2016-04-20,203.2
2016-04-21,197.05
2016-04-22,194.05
2016-04-25,191.8
2016-04-26,193.2
2016-04-27,197.2
2016-04-28,195.25
2016-04-29,194.55
2016-05-02,195.95
2016-05-03,194.1
2016-05-04,193.95
2016-05-05,195.75
2016-05-06,195.5
2016-05-09,197.8
2016-05-10,196.95
2016-05-11,202.95
2016-05-12,209.65
2016-05-13,208.5
2016-05-16,203.95
2016-05-17,209.7
2016-05-18,211.2
2016-05-19,213.5
2016-05-20,205.95
2016-05-23,205.45
2016-05-24,204.35
2016-05-25,208.75
2016-05-26,211.55
2016-05-27,207.8
2016-05-30,208.9
2016-05-31,205.7
2016-06-01,211.2
2016-06-02,211.8
2016-06-03,215.8
2016-06-06,216.7
2016-06-07,217.2
2016-06-08,219.55
2016-06-09,215.1
2016-06-10,215.95
2016-06-13,208.15
2016-06-14,206.15
2016-06-15,209.2
2016-06-16,207.05
2016-06-17,209.8
2016-06-20,213.45
2016-06-21,215.8
2016-06-22,218.25
2016-06-23,216.05
2016-06-24,214.35
2016-06-27,220.0
2016-06-28,219.75
2016-06-29,219.45
2016-06-30,221.3
2016-07-01,220.2
2016-07-04,217.15
2016-07-05,212.6
2016-07-07,213.6
2016-07-08,210.8
2016-07-11,208.9
2016-07-12,209.45
2016-07-13,209.35
2016-07-14,210.4
2016-07-15,209.45
2016-07-18,209.65
2016-07-19,208.3
2016-07-20,209.3
2016-07-21,211.1
2016-07-22,208.9
2016-07-25,217.6
2016-07-26,214.55
2016-07-27,217.0
2016-07-28,220.7
2016-07-29,224.7
2016-08-01,220.65
2016-08-02,220.45
2016-08-03,219.9
2016-08-04,218.75
2016-08-05,217.4
2016-08-08,216.55
2016-08-09,217.65
2016-08-10,220.4
2016-08-11,219.65
2016-08-12,217.55
2016-08-16,219.25
2016-08-17,221.85
2016-08-18,222.5
2016-08-19,216.6
2016-08-22,216.05
2016-08-23,218.25
2016-08-24,229.35
2016-08-25,228.05
2016-08-26,227.05
2016-08-29,226.55
2016-08-30,225.75
2016-08-31,226.9
2016-09-01,225.6
2016-09-02,226.0
2016-09-06,225.55
2016-09-07,224.2
2016-09-08,229.6
2016-09-09,227.15
2016-09-12,218.85
2016-09-14,223.25
2016-09-15,221.05
2016-09-16,213.6
2016-09-19,217.45
2016-09-20,222.65
2016-09-21,222.8
2016-09-22,226.6
2016-09-23,222.25
2016-09-26,221.6
2016-09-27,223.5
2016-09-28,223.25
2016-09-29,220.05
2016-09-30,223.15
2016-10-03,236.65
2016-10-04,240.25
2016-10-05,237.3
2016-10-06,233.45
2016-10-07,232.15
2016-10-10,230.15
2016-10-13,226.0
2016-10-14,230.9
2016-10-17,228.7
2016-10-18,236.6
2016-10-19,234.45
2016-10-20,234.6
2016-10-21,234.3
2016-10-24,235.95
2016-10-25,232.0
2016-10-26,225.9
2016-10-27,221.2
2016-10-28,219.7
2016-10-30,224.6
2016-11-01,220.65
2016-11-02,216.5
2016-11-03,213.5
2016-11-04,208.9
2016-11-07,202.3
2016-11-08,209.5
2016-11-09,199.0
2016-11-10,199.75
2016-11-11,196.8
2016-11-15,191.2
2016-11-16,189.45
2016-11-17,190.35
2016-11-18,187.15
2016-11-21,183.2
2016-11-22,185.7
2016-11-23,188.25
2016-11-24,195.05
2016-11-25,201.8
2016-11-28,203.45
2016-11-29,207.0
2016-11-30,204.05
2016-12-01,201.95
2016-12-02,198.55
2016-12-05,199.65
2016-12-06,201.9
2016-12-07,202.2
2016-12-08,204.45
2016-12-09,204.75
2016-12-12,199.25
2016-12-13,201.1
2016-12-14,198.3
2016-12-15,196.85
2016-12-16,199.9
2016-12-19,199.25
2016-12-20,196.7
2016-12-21,192.95
2016-12-22,194.35
2016-12-23,192.95
2016-12-26,191.1
2016-12-27,191.3
2016-12-28,189.2
2016-12-29,190.2
2016-12-30,191.6
