Date,KOTAKGOLD
2016-01-01,225.95
2016-01-04,227.15
2016-01-05,229.05
2016-01-06,230.2
2016-01-07,233.05
2016-01-08,233.4
2016-01-11,233.35
2016-01-12,232.9
2016-01-13,230.15
2016-01-14,233.25
2016-01-15,232.4
2016-01-18,234.0
2016-01-19,232.6
2016-01-20,234.0
2016-01-21,234.5
2016-01-22,234.45
2016-01-25,235.75
2016-01-27,238.05
2016-01-28,239.6
2016-01-29,238.9
2016-02-01,240.9
2016-02-02,242.05
2016-02-03,243.05
2016-02-04,244.45
2016-02-05,245.6
2016-02-08,248.8
2016-02-09,252.9
2016-02-10,249.9
2016-02-11,255.05
2016-02-12,257.65
2016-02-15,254.65
2016-02-16,254.55
2016-02-17,253.65
2016-02-18,253.45
2016-02-19,255.4
2016-02-22,253.35
2016-02-23,255.25
2016-02-24,256.0
2016-02-25,258.3
2016-02-26,258.95
2016-02-29,259.4
2016-03-01,261.0
2016-03-02,257.0
2016-03-03,258.55
2016-03-04,262.3
2016-03-08,263.7
2016-03-09,262.95
2016-03-10,260.55
2016-03-11,262.65
2016-03-14,262.5
2016-03-15,259.3
2016-03-16,259.95
2016-03-17,263.2
2016-03-18,262.95
2016-03-21,259.05
2016-03-22,259.9
2016-03-23,257.5
2016-03-28,254.0
2016-03-29,255.0
2016-03-30,258.5
2016-03-31,258.95
2016-04-01,257.0
2016-04-04,255.7
2016-04-05,258.3
2016-04-06,257.05
2016-04-07,258.95
2016-04-08,259.75
2016-04-11,261.4
2016-04-12,263.25
2016-04-13,260.65
2016-04-18,261.6
2016-04-20,262.95
2016-04-21,263.35
2016-04-22,261.8
2016-04-25,262.25
2016-04-26,263.0
2016-04-27,264.05
2016-04-28,265.5
2016-04-29,268.65
2016-05-02,271.3
2016-05-03,271.5
2016-05-04,270.25
2016-05-05,270.05
2016-05-06,271.7
2016-05-09,279.55
2016-05-10,270.05
2016-05-11,270.55
2016-05-12,270.05
2016-05-13,270.4
2016-05-16,270.4
2016-05-17,272.45
2016-05-18,270.3
2016-05-19,267.5
2016-05-20,268.65
2016-05-23,267.3
2016-05-24,266.35
2016-05-25,261.0
2016-05-26,260.95
2016-05-27,259.4
2016-05-30,259.45
2016-05-31,258.3
2016-06-01,259.75
2016-06-02,265.9
2016-06-03,262.35
2016-06-06,264.1
2016-06-07,262.1
2016-06-08,262.2
2016-06-09,263.0
2016-06-10,263.8
2016-06-13,267.5
2016-06-14,267.65
2016-06-15,266.65
2016-06-16,269.95
2016-06-17,266.85
2016-06-20,267.3
2016-06-21,267.35
2016-06-22,265.2
2016-06-23,264.85
2016-06-24,271.6
2016-06-27,273.5
2016-06-28,271.2
2016-06-29,271.85
2016-06-30,272.0
2016-07-01,272.65
2016-07-04,275.9
2016-07-05,274.1
2016-07-07,279.8
2016-07-08,280.25
2016-07-11,278.35
2016-07-12,276.65
2016-07-13,275.65
2016-07-14,274.9
2016-07-15,275.15
2016-07-18,274.0
2016-07-19,275.25
2016-07-20,274.35
2016-07-21,273.9
2016-07-22,274.6
2016-07-25,274.6
2016-07-26,274.2
2016-07-27,273.15
2016-07-28,275.8
2016-07-29,276.65
2016-08-01,280.0
2016-08-02,279.35
2016-08-03,279.95
2016-08-04,276.95
2016-08-05,277.45
2016-08-08,272.7
2016-08-09,272.55
2016-08-10,275.1
2016-08-11,274.6
2016-08-12,273.7
2016-08-16,275.35
2016-08-17,275.65
2016-08-18,276.75
2016-08-19,277.15
2016-08-22,275.75
2016-08-23,277.0
2016-08-24,278.95
2016-08-25,278.0
2016-08-26,279.0
2016-08-29,278.85
2016-08-30,279.05
2016-08-31,277.65
2016-09-01,275.85
2016-09-02,275.7
2016-09-06,275.55
2016-09-07,277.3
2016-09-08,277.3
2016-09-09,276.1
2016-09-12,277.15
2016-09-14,277.0
2016-09-15,276.05
2016-09-16,275.6
2016-09-19,277.35
2016-09-20,277.0
2016-09-21,278.8
2016-09-22,279.65
2016-09-23,280.0
2016-09-26,279.1
2016-09-27,277.55
2016-09-28,278.3
2016-09-29,279.45
2016-09-30,280.65
2016-10-03,284.75
2016-10-04,282.2
2016-10-05,278.0
2016-10-06,277.15
2016-10-07,275.1
2016-10-10,276.95
2016-10-13,277.4
2016-10-14,279.35
2016-10-17,277.95
2016-10-18,277.0
2016-10-19,279.35
2016-10-20,278.75
2016-10-21,277.05
2016-10-24,275.0
2016-10-25,276.75
2016-10-26,279.65
2016-10-27,279.05
2016-10-28,279.55
2016-10-30,280.8
2016-11-01,277.15
2016-11-02,279.3
2016-11-03,278.9
2016-11-04,282.2
2016-11-07,279.3
2016-11-08,280.95
2016-11-09,282.35
2016-11-10,278.8
2016-11-11,273.8
2016-11-15,270.5
2016-11-16,271.45
2016-11-17,269.55
2016-11-18,265.75
2016-11-21,265.2
2016-11-22,264.75
2016-11-23,263.7
2016-11-24,260.55
2016-11-25,258.7
2016-11-28,259.6
2016-11-29,259.2
2016-11-30,258.3
2016-12-01,256.05
2016-12-02,253.55
2016-12-05,253.45
2016-12-06,253.15
2016-12-07,252.0
2016-12-08,250.75
2016-12-09,251.0
2016-12-12,250.8
2016-12-13,250.1
2016-12-14,250.4
2016-12-15,248.25
2016-12-16,247.2
2016-12-19,247.75
2016-12-20,247.0
2016-12-21,247.5
2016-12-22,246.55
2016-12-23,256.25
2016-12-26,251.5
2016-12-27,250.7
2016-12-28,248.2
2016-12-29,248.2
2016-12-30,250.0
