Date,LAKPRE
2016-01-01,57.55
2016-01-04,58.9
2016-01-05,58.05
2016-01-06,55.9
2016-01-07,52.65
2016-01-08,53.75
2016-01-11,52.6
2016-01-12,51.0
2016-01-13,48.2
2016-01-14,45.85
2016-01-15,44.75
2016-01-18,42.25
2016-01-19,42.1
2016-01-20,40.2
2016-01-21,41.35
2016-01-22,41.55
2016-01-25,41.55
2016-01-27,45.7
2016-01-28,50.25
2016-01-29,51.95
2016-02-01,49.8
2016-02-02,47.35
2016-02-03,45.05
2016-02-04,43.4
2016-02-05,45.0
2016-02-08,45.15
2016-02-09,45.75
2016-02-10,45.0
2016-02-11,42.75
2016-02-12,40.65
2016-02-15,38.65
2016-02-16,36.75
2016-02-17,35.5
2016-02-18,35.75
2016-02-19,34.0
2016-02-22,32.3
2016-02-23,30.7
2016-02-24,29.45
2016-02-25,29.0
2016-02-26,30.15
2016-02-29,28.75
2016-03-01,30.1
2016-03-02,31.6
2016-03-03,33.0
2016-03-04,32.85
2016-03-08,33.15
2016-03-09,34.7
2016-03-10,33.4
2016-03-11,33.9
2016-03-14,34.75
2016-03-15,34.5
2016-03-16,33.0
2016-03-17,33.0
2016-03-18,31.45
2016-03-21,31.8
2016-03-22,32.0
2016-03-23,33.0
2016-03-28,32.05
2016-03-29,31.75
2016-03-30,30.5
2016-03-31,31.0
2016-04-01,33.65
2016-04-04,32.25
2016-04-05,33.5
2016-04-06,33.6
2016-04-07,35.3
2016-04-08,35.25
2016-04-11,34.45
2016-04-12,37.85
2016-04-13,37.5
2016-04-18,36.6
2016-04-20,35.9
2016-04-21,35.5
2016-04-22,36.5
2016-04-25,37.95
2016-04-26,37.5
2016-04-27,36.1
2016-04-28,36.2
2016-04-29,35.05
2016-05-02,36.3
2016-05-03,35.6
2016-05-04,36.95
2016-05-05,36.75
2016-05-06,37.5
2016-05-09,37.1
2016-05-10,38.55
2016-05-11,37.25
2016-05-12,39.7
2016-05-13,38.6
2016-05-16,37.8
2016-05-17,38.0
2016-05-18,38.0
2016-05-19,37.5
2016-05-20,42.4
2016-05-23,40.3
2016-05-24,37.4
2016-05-25,37.1
2016-05-26,36.05
2016-05-27,37.75
2016-05-30,36.4
2016-05-31,35.8
2016-06-01,37.2
2016-06-02,36.8
2016-06-03,36.85
2016-06-06,37.05
2016-06-07,37.95
2016-06-08,38.7
2016-06-09,37.4
2016-06-10,38.4
2016-06-13,37.45
2016-06-14,37.7
2016-06-15,35.95
2016-06-16,35.95
2016-06-17,37.0
2016-06-20,36.15
2016-06-21,36.35
2016-06-22,36.9
2016-06-23,36.05
2016-06-24,36.3
2016-06-27,36.0
2016-06-28,36.8
2016-06-29,37.1
2016-06-30,36.0
2016-07-01,35.35
2016-07-04,36.05
2016-07-05,37.05
2016-07-07,36.55
2016-07-08,36.75
2016-07-11,37.25
2016-07-12,36.25
2016-07-13,36.2
2016-07-14,35.7
2016-07-18,35.9
2016-07-19,35.95
2016-07-20,36.0
2016-07-21,36.6
2016-07-22,37.4
2016-07-25,37.25
2016-07-26,37.45
2016-07-27,37.95
2016-07-28,36.8
2016-07-29,36.4
2016-08-01,35.85
2016-08-02,35.95
2016-08-03,36.05
2016-08-04,35.9
2016-08-05,37.45
2016-08-08,39.5
2016-08-09,40.55
2016-08-10,40.7
2016-08-11,40.35
2016-08-12,40.95
2016-08-16,39.55
2016-08-17,41.7
2016-08-18,40.55
2016-08-19,42.4
2016-08-22,40.2
2016-08-23,41.4
2016-08-24,41.75
2016-08-25,40.35
2016-08-26,40.25
2016-08-29,39.2
2016-08-30,37.95
2016-08-31,39.0
2016-09-01,36.75
2016-09-02,37.4
2016-09-06,37.9
2016-09-07,37.8
2016-09-08,37.7
2016-09-09,37.8
2016-09-12,35.85
2016-09-14,37.3
2016-09-16,37.05
2016-09-19,37.3
2016-09-20,37.1
2016-09-21,38.3
2016-09-22,39.7
2016-09-23,38.85
2016-09-26,38.2
2016-09-27,40.5
2016-09-28,39.9
2016-09-29,38.0
2016-09-30,36.4
2016-10-03,37.5
2016-10-04,38.0
2016-10-05,38.7
2016-10-06,40.0
2016-10-07,40.0
2016-10-10,41.0
2016-10-13,41.0
2016-10-14,41.5
2016-10-17,41.3
2016-10-18,41.0
2016-10-19,42.25
2016-10-20,41.85
2016-10-21,43.75
2016-10-24,43.4
2016-10-25,42.95
2016-10-26,46.1
2016-10-27,44.5
2016-10-28,47.75
2016-10-30,46.55
2016-11-01,48.0
2016-11-02,45.4
2016-11-03,46.45
2016-11-04,45.05
2016-11-07,45.0
2016-11-08,44.35
2016-11-09,43.0
2016-11-10,44.0
2016-11-11,42.6
2016-11-15,38.95
2016-11-16,40.8
2016-11-17,39.05
2016-11-18,39.05
2016-11-21,36.05
2016-11-22,35.75
2016-11-25,39.05
2016-11-28,37.6
2016-11-29,38.0
2016-11-30,37.95
2016-12-01,38.5
2016-12-02,38.35
2016-12-05,38.1
2016-12-06,39.75
2016-12-07,39.0
2016-12-08,39.1
2016-12-09,38.7
2016-12-12,38.15
2016-12-13,37.55
2016-12-14,38.65
2016-12-15,38.0
2016-12-16,38.0
2016-12-19,44.35
2016-12-20,42.05
2016-12-21,41.75
2016-12-22,40.9
2016-12-23,40.5
2016-12-26,39.3
2016-12-27,38.7
2016-12-28,39.0
2016-12-29,39.85
2016-12-30,40.55
