Date,CPSEETF
2016-01-01,21.7
2016-01-04,21.33
2016-01-05,21.59
2016-01-06,21.53
2016-01-07,20.96
2016-01-08,21.04
2016-01-11,20.76
2016-01-12,20.55
2016-01-13,20.52
2016-01-14,20.44
2016-01-15,20.0
2016-01-18,19.59
2016-01-19,19.54
2016-01-20,19.06
2016-01-21,18.81
2016-01-22,19.43
2016-01-25,19.5
2016-01-27,19.6
2016-01-28,19.79
2016-01-29,20.16
2016-02-01,20.23
2016-02-02,19.71
2016-02-03,19.48
2016-02-04,19.66
2016-02-05,19.75
2016-02-08,19.65
2016-02-09,19.39
2016-02-10,19.1
2016-02-11,18.43
2016-02-12,17.99
2016-02-15,18.95
2016-02-16,18.59
2016-02-17,18.7
2016-02-18,18.88
2016-02-19,18.8
2016-02-22,18.89
2016-02-23,18.52
2016-02-24,18.3
2016-02-25,18.47
2016-02-26,18.63
2016-02-29,18.2
2016-03-01,18.52
2016-03-02,18.66
2016-03-03,18.86
2016-03-04,19.2
2016-03-08,19.32
2016-03-09,19.25
2016-03-10,19.12
2016-03-11,19.04
2016-03-14,19.19
2016-03-15,19.13
2016-03-16,19.13
2016-03-17,19.46
2016-03-18,19.59
2016-03-21,19.84
2016-03-22,19.74
2016-03-23,19.7
2016-03-28,19.55
2016-03-29,19.48
2016-03-30,19.88
2016-03-31,19.67
2016-04-01,19.43
2016-04-04,19.41
2016-04-05,19.03
2016-04-06,19.27
2016-04-07,19.27
2016-04-08,19.28
2016-04-11,19.37
2016-04-12,19.48
2016-04-13,19.63
2016-04-18,19.52
2016-04-20,19.67
2016-04-21,19.99
2016-04-22,20.16
2016-04-25,19.97
2016-04-26,20.22
2016-04-27,20.49
2016-04-28,20.09
2016-04-29,20.2
2016-05-02,20.2
2016-05-03,19.98
2016-05-04,19.71
2016-05-05,19.65
2016-05-06,19.7
2016-05-09,19.94
2016-05-10,19.78
2016-05-11,19.58
2016-05-12,19.84
2016-05-13,19.59
2016-05-16,19.58
2016-05-17,19.79
2016-05-18,19.93
2016-05-19,19.63
2016-05-20,19.61
2016-05-23,19.54
2016-05-24,19.47
2016-05-25,19.64
2016-05-26,19.79
2016-05-27,19.9
2016-05-30,20.12
2016-05-31,19.98
2016-06-01,20.1
2016-06-02,20.4
2016-06-03,20.3
2016-06-06,20.19
2016-06-07,20.32
2016-06-08,20.42
2016-06-09,20.68
2016-06-10,20.4
2016-06-13,20.31
2016-06-14,20.35
2016-06-15,20.44
2016-06-16,20.42
2016-06-17,20.4
2016-06-20,20.5
2016-06-21,20.64
2016-06-22,20.69
2016-06-23,20.75
2016-06-24,20.4
2016-06-27,20.33
2016-06-28,20.59
2016-06-29,20.86
2016-06-30,20.92
2016-07-01,21.48
2016-07-04,21.88
2016-07-05,21.92
2016-07-07,21.64
2016-07-08,21.44
2016-07-11,21.79
2016-07-12,21.74
2016-07-13,22.1
2016-07-14,22.2
2016-07-15,22.08
2016-07-18,21.66
2016-07-19,21.9
2016-07-20,22.31
2016-07-21,22.34
2016-07-22,22.49
2016-07-25,22.8
2016-07-26,22.49
2016-07-27,22.5
2016-07-28,22.51
2016-07-29,22.54
2016-08-01,22.53
2016-08-02,22.53
2016-08-03,22.4
2016-08-04,22.3
2016-08-05,22.85
2016-08-08,22.99
2016-08-09,23.1
2016-08-10,22.82
2016-08-11,22.8
2016-08-12,22.94
2016-08-16,23.03
2016-08-17,23.26
2016-08-18,23.31
2016-08-19,23.24
2016-08-22,23.24
2016-08-23,23.15
2016-08-24,23.32
2016-08-25,23.28
2016-08-26,23.33
2016-08-29,23.26
2016-08-30,23.44
2016-08-31,23.57
2016-09-01,23.67
2016-09-02,23.7
2016-09-06,23.67
2016-09-07,23.85
2016-09-08,23.85
2016-09-09,24.05
2016-09-12,23.6
2016-09-14,23.5
2016-09-15,23.53
2016-09-16,23.68
2016-09-19,23.88
2016-09-20,23.95
2016-09-21,23.98
2016-09-22,24.17
2016-09-23,24.2
2016-09-26,24.1
2016-09-27,23.87
2016-09-28,23.96
2016-09-29,23.53
2016-09-30,23.89
2016-10-03,24.41
2016-10-04,24.85
2016-10-05,24.79
2016-10-06,25.1
2016-10-07,24.93
2016-10-10,24.89
2016-10-13,24.84
2016-10-14,25.09
2016-10-17,25.11
2016-10-18,25.19
2016-10-19,25.37
2016-10-20,25.39
2016-10-21,25.43
2016-10-24,25.96
2016-10-25,25.74
2016-10-26,25.6
2016-10-27,25.55
2016-10-28,25.75
2016-10-30,25.52
2016-11-01,25.85
2016-11-02,25.26
2016-11-03,24.94
2016-11-04,24.69
2016-11-07,24.9
2016-11-08,25.13
2016-11-09,25.15
2016-11-10,25.82
2016-11-11,25.26
2016-11-15,24.55
2016-11-16,24.49
2016-11-17,24.74
2016-11-18,24.79
2016-11-21,24.32
2016-11-22,24.52
2016-11-23,24.64
2016-11-24,24.51
2016-11-25,24.75
2016-11-28,25.06
2016-11-29,25.13
2016-11-30,25.44
2016-12-01,25.4
2016-12-02,25.22
2016-12-05,25.19
2016-12-06,25.35
2016-12-07,25.35
2016-12-08,25.8
2016-12-09,25.79
2016-12-12,25.72
2016-12-13,25.75
2016-12-14,25.34
2016-12-15,25.22
2016-12-16,24.97
2016-12-19,25.14
2016-12-20,25.05
2016-12-21,25.29
2016-12-22,24.84
2016-12-23,24.85
2016-12-26,24.38
2016-12-27,24.68
2016-12-28,24.96
2016-12-29,25.05
2016-12-30,25.25
