Date,DONEAR
2016-01-01,34.65
2016-01-04,36.35
2016-01-05,38.15
2016-01-06,37.9
2016-01-07,36.05
2016-01-08,35.9
2016-01-11,35.2
2016-01-12,33.45
2016-01-13,31.85
2016-01-14,30.3
2016-01-15,28.8
2016-01-18,27.4
2016-01-19,26.2
2016-01-20,25.0
2016-01-21,26.25
2016-01-22,27.55
2016-01-25,28.9
2016-01-27,30.3
2016-01-28,31.8
2016-01-29,30.7
2016-02-01,30.15
2016-02-02,31.6
2016-02-03,30.25
2016-02-04,28.9
2016-02-05,28.6
2016-02-08,28.6
2016-02-09,28.6
2016-02-10,27.35
2016-02-11,24.65
2016-02-12,23.0
2016-02-15,25.3
2016-02-16,26.45
2016-02-17,26.55
2016-02-18,26.0
2016-02-19,25.8
2016-02-22,26.15
2016-02-23,25.4
2016-02-24,23.95
2016-02-25,23.9
2016-02-26,23.4
2016-02-29,24.8
2016-03-01,25.6
2016-03-02,25.25
2016-03-03,24.85
2016-03-04,24.8
2016-03-08,24.45
2016-03-09,25.5
2016-03-10,25.3
2016-03-11,30.35
2016-03-14,27.55
2016-03-15,28.05
2016-03-16,27.95
2016-03-17,27.9
2016-03-18,27.1
2016-03-21,27.5
2016-03-22,26.75
2016-03-23,25.9
2016-03-28,25.35
2016-03-29,25.0
2016-03-30,27.85
2016-03-31,26.8
2016-04-01,27.7
2016-04-04,27.7
2016-04-05,27.35
2016-04-06,27.65
2016-04-07,27.35
2016-04-08,29.0
2016-04-11,28.65
2016-04-12,29.25
2016-04-13,29.0
2016-04-18,28.6
2016-04-20,28.4
2016-04-21,28.05
2016-04-22,27.85
2016-04-25,27.4
2016-04-26,27.25
2016-04-27,27.15
2016-04-28,26.5
2016-04-29,26.8
2016-05-02,26.5
2016-05-03,26.05
2016-05-04,25.6
2016-05-05,25.8
2016-05-06,25.35
2016-05-09,25.45
2016-05-10,30.5
2016-05-11,28.8
2016-05-12,29.05
2016-05-13,28.7
2016-05-16,29.2
2016-05-17,28.75
2016-05-18,28.9
2016-05-19,28.25
2016-05-20,27.7
2016-05-23,27.8
2016-05-24,27.15
2016-05-25,27.35
2016-05-26,29.45
2016-05-27,28.85
2016-05-30,30.05
2016-05-31,25.55
2016-06-01,26.65
2016-06-02,26.45
2016-06-03,26.2
2016-06-06,25.65
2016-06-07,25.95
2016-06-08,25.85
2016-06-09,27.25
2016-06-10,26.15
2016-06-13,25.45
2016-06-14,26.5
2016-06-15,26.6
2016-06-16,26.2
2016-06-17,26.05
2016-06-20,26.5
2016-06-21,30.85
2016-06-22,28.45
2016-06-23,28.2
2016-06-24,27.05
2016-06-27,28.05
2016-06-28,28.35
2016-06-29,29.1
2016-06-30,29.25
2016-07-01,29.35
2016-07-04,29.35
2016-07-05,29.45
2016-07-07,29.8
2016-07-08,29.1
2016-07-11,29.55
2016-07-12,31.6
2016-07-13,30.0
2016-07-14,29.7
2016-07-15,29.15
2016-07-18,28.9
2016-07-19,29.2
2016-07-20,29.7
2016-07-21,28.9
2016-07-22,29.05
2016-07-25,29.2
2016-07-26,28.85
2016-07-27,28.7
2016-07-28,28.95
2016-07-29,28.75
2016-08-01,28.25
2016-08-02,27.45
2016-08-03,27.35
2016-08-04,27.2
2016-08-05,27.4
2016-08-08,27.75
2016-08-09,28.3
2016-08-10,27.45
2016-08-11,26.95
2016-08-12,27.2
2016-08-16,26.8
2016-08-17,26.8
2016-08-18,28.6
2016-08-19,28.5
2016-08-22,29.2
2016-08-23,30.15
2016-08-24,34.2
2016-08-25,32.9
2016-08-26,39.35
2016-08-29,43.7
2016-08-30,42.95
2016-08-31,47.2
2016-09-01,51.55
2016-09-02,53.3
2016-09-06,57.1
2016-09-07,56.45
2016-09-08,54.0
2016-09-09,52.15
2016-09-12,49.95
2016-09-14,52.4
2016-09-15,55.0
2016-09-16,57.7
2016-09-19,55.4
2016-09-20,54.7
2016-09-21,52.95
2016-09-22,55.55
2016-09-23,57.15
2016-09-26,58.4
2016-09-27,61.3
2016-09-28,64.35
2016-09-29,61.15
2016-09-30,62.65
2016-10-03,65.75
2016-10-04,68.75
2016-10-05,68.35
2016-10-06,66.9
2016-10-07,65.85
2016-10-10,66.4
2016-10-13,63.35
2016-10-14,63.0
2016-10-17,62.4
2016-10-18,62.3
2016-10-19,61.85
2016-10-20,60.4
2016-10-21,62.15
2016-10-24,65.25
2016-10-25,68.5
2016-10-26,68.8
2016-10-27,71.9
2016-10-28,73.5
2016-10-30,76.4
2016-11-01,80.15
2016-11-02,76.65
2016-11-03,78.3
2016-11-04,74.5
2016-11-07,75.15
2016-12-06,60.65
2016-12-07,62.05
2016-12-08,65.15
2016-12-09,63.85
2016-12-12,61.6
2016-12-13,60.7
2016-12-14,59.1
2016-12-15,59.7
2016-12-16,57.05
2016-12-19,57.35
2016-12-20,57.35
2016-12-21,56.05
2016-12-22,55.0
2016-12-23,54.7
2016-12-26,52.6
2016-12-27,52.1
2016-12-28,54.7
2016-12-29,57.4
2016-12-30,60.25
