Date,ICICINF100
2016-01-01,87.48
2016-01-04,86.01
2016-01-05,92.89
2016-01-06,94.79
2016-01-07,97.65
2016-01-08,94.0
2016-01-11,108.45
2016-01-13,85.0
2016-01-14,83.03
2016-01-15,86.29
2016-01-18,88.98
2016-01-19,88.98
2016-01-20,88.48
2016-01-21,87.97
2016-01-22,89.0
2016-01-25,83.17
2016-01-27,84.0
2016-01-28,87.12
2016-01-29,84.97
2016-02-01,87.0
2016-02-02,87.62
2016-02-03,87.99
2016-02-04,87.99
2016-02-05,87.95
2016-02-08,87.77
2016-02-09,90.69
2016-02-10,89.38
2016-02-11,91.65
2016-02-12,90.0
2016-02-15,87.99
2016-02-16,88.05
2016-02-17,90.0
2016-02-22,84.11
2016-02-24,90.0
2016-02-25,89.6
2016-03-04,89.6
2016-03-08,94.0
2016-03-09,94.0
2016-03-10,93.98
2016-03-11,85.0
2016-03-14,86.5
2016-03-15,94.0
2016-03-16,94.0
2016-03-17,94.0
2016-03-18,90.0
2016-03-21,88.2
2016-03-22,90.0
2016-03-23,87.0
2016-03-28,93.64
2016-03-29,96.5
2016-03-30,94.0
2016-03-31,95.73
2016-04-04,94.0
2016-04-06,90.0
2016-04-08,90.0
2016-04-18,89.03
2016-04-20,97.95
2016-04-21,97.5
2016-04-22,96.5
2016-04-25,96.5
2016-04-26,96.5
2016-04-27,84.11
2016-04-28,83.01
2016-04-29,82.25
2016-05-02,82.64
2016-05-03,82.0
2016-05-04,81.15
2016-05-05,81.61
2016-05-06,81.28
2016-05-09,82.93
2016-05-10,82.74
2016-05-11,82.79
2016-05-12,83.2
2016-05-13,82.54
2016-05-16,82.0
2016-05-17,83.16
2016-05-18,82.47
2016-05-19,81.93
2016-05-20,81.55
2016-05-23,81.39
2016-05-24,81.76
2016-05-25,83.07
2016-05-26,84.39
2016-05-27,85.27
2016-05-30,85.51
2016-05-31,85.49
2016-06-01,85.63
2016-06-02,86.41
2016-06-03,86.42
2016-06-06,85.9
2016-06-07,86.14
2016-06-08,86.53
2016-06-09,86.22
2016-06-10,86.87
2016-06-13,85.3
2016-06-14,85.35
2016-06-15,86.0
2016-06-16,85.68
2016-06-17,86.11
2016-06-20,86.27
2016-06-21,86.69
2016-06-22,86.3
2016-06-23,86.73
2016-06-24,85.15
2016-06-27,85.6
2016-06-28,85.75
2016-06-29,86.62
2016-06-30,87.42
2016-07-01,88.41
2016-07-04,88.76
2016-07-05,88.46
2016-07-07,88.44
2016-07-08,87.95
2016-07-11,89.29
2016-07-12,90.0
2016-07-13,89.87
2016-07-14,90.29
2016-07-15,90.71
2016-07-18,90.59
2016-07-19,90.33
2016-07-20,91.01
2016-07-21,90.02
2016-07-22,90.84
2016-07-25,91.12
2016-07-26,91.75
2016-07-27,91.11
2016-07-28,91.7
2016-07-29,91.98
2016-08-01,92.47
2016-08-02,92.02
2016-08-03,90.85
2016-08-04,90.77
2016-08-05,92.05
2016-08-08,92.98
2016-08-09,92.94
2016-08-10,91.67
2016-08-11,91.2
2016-08-12,92.51
2016-08-16,91.6
2016-08-17,92.11
2016-08-18,92.26
2016-08-19,92.2
2016-08-22,92.34
2016-08-23,92.12
2016-08-24,91.99
2016-08-25,91.98
2016-08-26,91.37
2016-08-29,91.29
2016-08-30,93.0
2016-08-31,93.7
2016-09-01,93.41
2016-09-02,93.4
2016-09-06,94.55
2016-09-07,95.4
2016-09-08,95.52
2016-09-09,95.18
2016-09-12,92.84
2016-09-14,93.26
2016-09-15,93.42
2016-09-16,94.4
2016-09-19,93.6
2016-09-20,93.79
2016-09-21,93.9
2016-09-22,94.74
2016-09-23,94.9
2016-09-26,93.88
2016-09-27,93.21
2016-09-28,93.34
2016-09-29,91.36
2016-09-30,91.86
2016-10-03,93.5
2016-10-04,94.14
2016-10-05,94.09
2016-10-06,94.49
2016-10-07,93.04
2016-10-10,93.34
2016-10-13,92.32
2016-10-14,92.51
2016-10-17,91.79
2016-10-18,93.27
2016-10-19,93.27
2016-10-20,93.1
2016-10-21,93.39
2016-10-24,93.21
2016-10-25,93.67
2016-10-26,92.3
2016-10-27,92.46
2016-10-28,92.24
2016-10-30,92.25
2016-11-01,92.88
2016-11-02,92.15
2016-11-03,91.35
2016-11-04,90.7
2016-11-07,91.18
2016-11-08,91.93
2016-11-09,89.7
2016-11-10,91.59
2016-11-11,89.18
2016-11-15,87.39
2016-11-16,87.81
2016-11-17,86.9
2016-11-18,87.12
2016-11-21,85.4
2016-11-22,86.12
2016-11-23,85.99
2016-11-24,85.83
2016-11-25,86.45
2016-11-28,87.3
2016-11-29,87.78
2016-11-30,88.58
2016-12-01,88.23
2016-12-02,87.0
2016-12-05,87.0
2016-12-06,87.56
2016-12-07,87.32
2016-12-08,88.68
2016-12-09,88.88
2016-12-12,87.83
2016-12-13,88.23
2016-12-14,87.65
2016-12-15,87.65
2016-12-16,87.43
2016-12-19,87.27
2016-12-20,86.5
2016-12-21,86.4
2016-12-22,85.5
2016-12-23,85.45
2016-12-26,84.81
2016-12-27,85.18
2016-12-28,86.11
2016-12-29,86.53
2016-12-30,87.6
