Date,TRIVENI
2016-01-01,46.35
2016-01-04,49.2
2016-01-05,47.65
2016-01-06,47.95
2016-01-07,44.55
2016-01-08,52.75
2016-01-11,54.2
2016-01-12,51.8
2016-01-13,53.05
2016-01-14,51.5
2016-01-15,47.55
2016-01-18,45.05
2016-01-19,49.1
2016-01-20,48.1
2016-01-21,46.3
2016-01-22,48.8
2016-01-25,48.05
2016-01-27,48.15
2016-01-28,46.95
2016-01-29,49.1
2016-02-01,48.3
2016-02-02,46.45
2016-02-03,44.2
2016-02-04,41.55
2016-02-05,42.35
2016-02-08,42.6
2016-02-09,41.65
2016-02-10,41.15
2016-02-11,38.05
2016-02-12,36.8
2016-02-15,40.85
2016-02-16,39.05
2016-02-17,39.15
2016-02-18,39.45
2016-02-19,39.0
2016-02-22,38.5
2016-02-23,37.95
2016-02-24,39.05
2016-02-25,39.85
2016-02-26,40.0
2016-02-29,39.1
2016-03-01,41.65
2016-03-02,41.6
2016-03-03,41.6
2016-03-04,46.3
2016-03-08,48.15
2016-03-09,48.1
2016-03-10,46.55
2016-03-11,45.7
2016-03-14,47.95
2016-03-15,49.65
2016-03-16,52.35
2016-03-17,50.7
2016-03-18,52.35
2016-03-21,52.25
2016-03-22,51.7
2016-03-23,50.55
2016-03-28,48.25
2016-03-29,46.8
2016-03-30,51.4
2016-03-31,50.45
2016-04-01,52.8
2016-04-04,51.55
2016-04-05,50.15
2016-04-06,52.5
2016-04-07,50.95
2016-04-08,52.95
2016-04-11,51.65
2016-04-12,52.35
2016-04-13,51.75
2016-04-18,55.5
2016-04-20,52.95
2016-04-21,51.65
2016-04-22,53.8
2016-04-25,53.3
2016-04-26,53.5
2016-04-27,53.35
2016-04-28,51.9
2016-04-29,52.9
2016-05-02,52.85
2016-05-03,51.55
2016-05-04,51.2
2016-05-05,52.5
2016-05-06,52.55
2016-05-09,52.6
2016-05-10,52.55
2016-05-11,54.0
2016-05-12,56.2
2016-05-13,55.95
2016-05-16,57.85
2016-05-17,53.75
2016-05-18,53.8
2016-05-19,52.25
2016-05-20,50.15
2016-05-23,50.3
2016-05-24,48.75
2016-05-25,48.55
2016-05-26,49.05
2016-05-27,49.95
2016-05-30,48.05
2016-05-31,47.4
2016-06-01,47.5
2016-06-02,47.85
2016-06-03,49.25
2016-06-06,50.55
2016-06-07,51.75
2016-06-08,56.3
2016-06-09,55.8
2016-06-10,57.6
2016-06-13,61.2
2016-06-14,61.2
2016-06-15,61.5
2016-06-16,61.45
2016-06-17,59.3
2016-06-20,62.35
2016-06-21,61.4
2016-06-22,61.3
2016-06-23,60.35
2016-06-24,58.45
2016-06-27,64.1
2016-06-28,64.45
2016-06-29,64.65
2016-06-30,64.75
2016-07-01,65.4
2016-07-04,66.2
2016-07-05,63.7
2016-07-07,64.2
2016-07-08,62.1
2016-07-11,62.2
2016-07-12,61.4
2016-07-13,60.65
2016-07-14,61.5
2016-07-15,59.65
2016-07-18,58.1
2016-07-19,58.0
2016-07-20,59.15
2016-07-21,59.95
2016-07-22,59.3
2016-07-25,60.4
2016-07-26,58.85
2016-07-27,62.4
2016-07-28,60.85
2016-07-29,62.55
2016-08-01,61.9
2016-08-02,62.75
2016-08-03,61.55
2016-08-04,61.1
2016-08-05,60.8
2016-08-08,59.9
2016-08-09,55.9
2016-08-10,54.1
2016-08-11,50.95
2016-08-12,50.95
2016-08-16,50.8
2016-08-17,50.55
2016-08-18,54.5
2016-08-19,55.45
2016-08-22,53.85
2016-08-23,53.45
2016-08-24,54.95
2016-08-25,55.15
2016-08-26,57.85
2016-08-29,54.25
2016-08-30,53.65
2016-08-31,53.5
2016-09-01,52.25
2016-09-02,52.1
2016-09-06,52.85
2016-09-07,53.3
2016-09-08,53.1
2016-09-09,54.25
2016-09-12,52.8
2016-09-14,52.85
2016-09-15,51.8
2016-09-16,55.75
2016-09-19,62.9
2016-09-20,61.0
2016-09-21,60.0
2016-09-22,62.25
2016-09-23,59.8
2016-09-26,58.55
2016-09-27,57.15
2016-09-28,60.85
2016-09-29,58.1
2016-09-30,57.65
2016-10-03,59.35
2016-10-04,58.45
2016-10-05,60.9
2016-10-06,59.75
2016-10-07,60.9
2016-10-10,61.2
2016-10-13,58.95
2016-10-14,58.5
2016-10-17,57.85
2016-10-18,59.65
2016-10-19,59.3
2016-10-20,61.15
2016-10-21,61.65
2016-10-24,60.35
2016-10-25,59.25
2016-10-26,58.55
2016-10-27,58.4
2016-10-28,60.8
2016-10-30,61.15
2016-11-01,60.15
2016-11-02,58.55
2016-11-03,58.15
2016-11-04,57.15
2016-11-07,58.1
2016-11-08,58.8
2016-11-09,56.95
2016-11-10,57.7
2016-11-11,54.3
2016-11-15,52.8
2016-11-16,51.35
2016-11-17,51.3
2016-11-18,57.45
2016-11-21,52.85
2016-11-22,54.15
2016-11-23,56.2
2016-11-24,56.35
2016-11-25,57.2
2016-11-28,59.0
2016-11-29,60.35
2016-11-30,59.2
2016-12-01,58.3
2016-12-02,57.5
2016-12-05,56.55
2016-12-06,57.25
2016-12-07,57.35
2016-12-08,57.05
2016-12-09,57.3
2016-12-12,56.7
2016-12-13,56.7
2016-12-14,55.5
2016-12-15,55.3
2016-12-16,54.9
2016-12-19,56.8
2016-12-20,55.1
2016-12-21,54.5
2016-12-22,53.75
2016-12-23,56.8
2016-12-26,56.15
2016-12-27,59.9
2016-12-28,59.55
2016-12-29,60.15
2016-12-30,60.55
