Date,CREST
2016-01-01,52.95
2016-01-04,53.7
2016-01-05,56.75
2016-01-06,56.85
2016-01-07,55.0
2016-01-11,54.0
2016-01-12,54.0
2016-01-13,50.25
2016-01-14,55.2
2016-01-15,52.25
2016-01-18,50.0
2016-01-21,50.0
2016-01-22,52.5
2016-01-25,55.75
2016-01-27,50.8
2016-01-28,50.85
2016-02-01,49.35
2016-02-02,46.55
2016-02-03,46.25
2016-02-04,46.8
2016-02-05,45.5
2016-02-08,49.7
2016-02-09,46.2
2016-02-10,45.0
2016-02-11,49.9
2016-02-12,47.65
2016-02-17,45.8
2016-02-18,42.95
2016-02-22,39.3
2016-02-23,36.05
2016-02-24,34.6
2016-02-25,34.3
2016-02-26,38.9
2016-02-29,33.7
2016-03-02,39.85
2016-03-03,41.15
2016-03-04,39.9
2016-03-08,42.4
2016-03-10,38.3
2016-03-11,38.05
2016-03-15,37.5
2016-03-16,41.35
2016-03-17,37.85
2016-03-18,39.5
2016-03-21,38.7
2016-03-22,37.95
2016-03-23,37.05
2016-03-28,44.45
2016-03-29,44.85
2016-03-30,42.35
2016-03-31,40.4
2016-04-01,40.15
2016-04-04,42.25
2016-04-05,41.0
2016-04-06,42.85
2016-04-07,41.0
2016-04-08,40.5
2016-04-11,40.45
2016-04-12,41.0
2016-04-13,41.1
2016-04-18,42.0
2016-04-20,41.25
2016-04-21,41.1
2016-04-22,39.5
2016-04-25,42.95
2016-04-26,44.6
2016-04-27,44.75
2016-04-28,44.1
2016-04-29,44.8
2016-05-02,45.65
2016-05-03,47.3
2016-05-04,44.05
2016-05-05,46.8
2016-05-06,49.65
2016-05-09,46.65
2016-05-10,44.9
2016-05-11,44.1
2016-05-12,45.05
2016-05-13,53.65
2016-05-16,64.35
2016-05-17,64.85
2016-05-18,62.1
2016-05-19,57.35
2016-05-20,53.05
2016-05-23,53.2
2016-05-24,52.9
2016-05-25,51.4
2016-05-26,50.9
2016-05-27,52.2
2016-05-30,50.85
2016-05-31,53.4
2016-06-01,52.2
2016-06-02,51.5
2016-06-03,51.0
2016-06-06,55.95
2016-06-07,62.55
2016-06-08,59.65
2016-06-09,59.2
2016-06-10,60.0
2016-06-13,59.4
2016-06-14,60.0
2016-06-15,60.5
2016-06-16,59.7
2016-06-17,62.15
2016-06-20,64.35
2016-06-21,63.1
2016-06-22,65.4
2016-06-23,62.25
2016-06-24,63.3
2016-06-27,62.0
2016-06-28,65.6
2016-06-29,64.05
2016-06-30,66.75
2016-07-01,68.1
2016-07-04,71.95
2016-07-05,86.3
2016-07-07,87.35
2016-07-08,87.2
2016-07-11,84.75
2016-07-12,81.65
2016-07-13,74.3
2016-07-14,82.05
2016-07-15,81.65
2016-07-18,77.3
2016-07-19,77.2
2016-07-20,78.85
2016-07-21,76.95
2016-07-22,76.25
2016-07-25,77.45
2016-07-26,74.2
2016-07-27,74.4
2016-07-28,72.2
2016-07-29,68.1
2016-08-01,72.25
2016-08-02,69.5
2016-08-03,66.3
2016-08-04,70.1
2016-08-05,70.0
2016-08-08,71.9
2016-08-09,70.0
2016-08-10,70.0
2016-08-11,68.45
2016-08-12,67.75
2016-08-16,68.3
2016-08-17,67.75
2016-08-18,68.85
2016-08-19,68.4
2016-08-22,67.35
2016-08-23,67.5
2016-08-24,69.35
2016-08-25,69.35
2016-08-26,66.9
2016-08-29,69.5
2016-08-30,69.7
2016-08-31,68.9
2016-09-01,69.0
2016-09-02,71.25
2016-09-06,69.4
2016-09-07,69.35
2016-09-08,83.2
2016-09-09,82.4
2016-09-12,82.25
2016-09-14,87.3
2016-09-15,72.5
2016-09-16,69.35
2016-09-19,65.9
2016-09-20,64.2
2016-09-21,65.75
2016-09-22,65.1
2016-09-23,68.6
2016-09-26,66.65
2016-09-27,64.6
2016-09-28,64.55
2016-09-29,62.0
2016-09-30,63.1
2016-10-03,60.8
2016-10-04,62.4
2016-10-05,62.15
2016-10-06,62.95
2016-10-07,63.9
2016-10-10,64.1
2016-10-13,63.0
2016-10-14,61.3
2016-10-17,63.5
2016-10-18,64.1
2016-10-19,64.0
2016-10-20,65.65
2016-10-21,64.1
2016-10-24,65.15
2016-10-25,65.35
2016-10-26,67.3
2016-10-27,69.25
2016-10-28,72.0
2016-10-30,86.1
2016-11-01,96.55
2016-11-02,89.5
2016-11-03,92.25
2016-11-04,85.6
2016-11-07,90.6
2016-11-08,86.75
2016-11-09,78.1
2016-11-10,81.95
2016-11-11,73.95
2016-11-15,67.35
2016-11-16,70.3
2016-11-17,71.75
2016-11-18,70.95
2016-11-21,68.05
2016-11-22,70.4
2016-11-23,73.9
2016-11-24,72.2
2016-11-25,73.6
2016-11-28,74.75
2016-11-29,75.65
2016-11-30,74.45
2016-12-01,74.6
2016-12-02,74.3
2016-12-05,75.95
2016-12-06,77.5
2016-12-07,79.55
2016-12-08,78.75
2016-12-09,75.2
2016-12-12,82.3
2016-12-13,87.4
2016-12-14,88.0
2016-12-15,96.8
2016-12-16,99.9
2016-12-19,100.25
2016-12-20,98.1
2016-12-21,97.1
2016-12-22,94.3
2016-12-23,89.95
2016-12-26,85.5
2016-12-27,81.35
2016-12-28,85.4
2016-12-29,89.1
2016-12-30,86.45
