Date,BAJAJFINSV
2016-12-12,2975.25
2016-12-13,2874.8
2016-12-14,2775.75
2016-12-15,2710.75
2016-12-16,2829.8
2016-12-19,2732.8
2016-12-20,2694.65
2016-12-21,2659.9
2016-12-22,2550.1
2016-12-23,2620.4
2016-12-26,2617.85
2016-12-27,2743.55
2016-12-28,2800.75
2016-12-29,2872.2
2016-12-30,2894.85
