Date,VAKRANGEE
2016-01-01,174.95
2016-01-04,177.7
2016-01-05,177.75
2016-01-06,176.7
2016-01-07,176.75
2016-01-08,178.15
2016-01-11,180.8
2016-01-12,178.6
2016-01-13,179.45
2016-01-14,171.95
2016-01-15,165.55
2016-01-18,163.4
2016-01-19,171.15
2016-01-20,165.75
2016-01-21,162.35
2016-01-22,168.5
2016-01-25,170.4
2016-01-27,179.65
2016-01-28,182.6
2016-01-29,182.6
2016-02-01,190.85
2016-02-02,197.6
2016-02-03,203.0
2016-02-04,207.7
2016-02-05,208.3
2016-02-08,204.35
2016-02-09,205.3
2016-02-10,202.9
2016-02-11,177.2
2016-02-12,189.5
2016-02-15,202.9
2016-02-16,199.0
2016-02-17,198.55
2016-02-18,203.55
2016-02-19,204.05
2016-02-22,204.9
2016-02-23,200.95
2016-02-24,209.2
2016-02-25,213.8
2016-02-26,213.1
2016-02-29,213.6
2016-03-01,213.65
2016-03-02,221.1
2016-03-03,223.7
2016-03-04,224.5
2016-03-08,225.4
2016-03-09,227.55
2016-03-10,226.15
2016-03-11,225.0
2016-03-14,223.3
2016-03-15,220.45
2016-03-16,221.0
2016-03-17,221.2
2016-03-18,214.85
2016-03-21,205.5
2016-03-22,192.25
2016-03-23,193.75
2016-03-28,190.05
2016-03-29,192.0
2016-03-30,195.0
2016-03-31,198.15
2016-04-01,199.05
2016-04-04,199.25
2016-04-05,195.8
2016-04-06,196.3
2016-04-07,199.25
2016-04-08,205.25
2016-04-11,205.85
2016-04-12,206.25
2016-04-13,206.35
2016-04-18,204.5
2016-04-20,204.45
2016-04-21,200.55
2016-04-22,198.45
2016-04-25,198.2
2016-04-26,196.0
2016-04-27,196.85
2016-04-28,195.9
2016-04-29,197.5
2016-05-02,198.0
2016-05-03,196.3
2016-05-04,194.8
2016-05-05,192.8
2016-05-06,192.7
2016-05-09,191.25
2016-05-10,190.6
2016-05-11,184.0
2016-05-12,186.3
2016-05-13,181.4
2016-05-16,181.75
2016-05-17,175.9
2016-05-18,174.5
2016-05-19,172.7
2016-05-20,173.8
2016-05-23,178.7
2016-05-24,178.0
2016-05-25,174.55
2016-05-26,177.45
2016-05-27,177.85
2016-05-30,180.9
2016-05-31,179.2
2016-06-01,182.9
2016-06-02,184.0
2016-06-03,172.35
2016-06-06,171.2
2016-06-07,171.95
2016-06-08,168.85
2016-06-09,162.9
2016-06-10,166.55
2016-06-13,168.55
2016-06-14,169.2
2016-06-15,169.15
2016-06-16,170.25
2016-06-17,171.95
2016-06-20,174.85
2016-06-21,179.1
2016-06-22,188.15
2016-06-23,190.25
2016-06-24,186.35
2016-06-27,186.8
2016-06-28,190.5
2016-06-29,188.55
2016-06-30,188.25
2016-07-01,188.95
2016-07-04,193.85
2016-07-05,197.4
2016-07-07,204.45
2016-07-08,205.85
2016-07-11,204.9
2016-07-12,206.6
2016-07-13,204.7
2016-07-14,204.8
2016-07-15,197.6
2016-07-18,196.0
2016-07-19,197.5
2016-07-20,196.35
2016-07-21,193.45
2016-07-22,191.8
2016-07-25,191.35
2016-07-26,191.15
2016-07-27,189.3
2016-07-28,185.55
2016-07-29,186.35
2016-08-01,187.05
2016-08-02,185.8
2016-08-03,185.55
2016-08-04,184.5
2016-08-05,185.15
2016-08-08,185.5
2016-08-09,185.65
2016-08-10,185.4
2016-08-11,184.55
2016-08-12,182.95
2016-08-16,177.05
2016-08-17,177.85
2016-08-18,187.15
2016-08-19,189.9
2016-08-22,194.25
2016-08-23,195.25
2016-08-24,195.35
2016-08-25,197.2
2016-08-26,194.75
2016-08-29,198.65
2016-08-30,195.5
2016-08-31,195.7
2016-09-01,194.6
2016-09-02,190.55
2016-09-06,202.6
2016-09-07,201.65
2016-09-08,203.7
2016-09-09,206.7
2016-09-12,207.55
2016-09-14,219.0
2016-09-15,223.3
2016-09-16,224.05
2016-09-19,227.1
2016-09-20,228.4
2016-09-21,228.8
2016-09-22,229.1
2016-09-23,229.75
2016-09-26,230.6
2016-09-27,235.1
2016-09-28,236.5
2016-09-29,237.85
2016-09-30,239.65
2016-10-03,237.5
2016-10-04,234.05
2016-10-05,239.0
2016-10-06,238.55
2016-10-07,235.8
2016-10-10,237.35
2016-10-13,237.6
2016-10-14,234.95
2016-10-17,235.5
2016-10-18,238.1
2016-10-19,235.6
2016-10-20,236.55
2016-10-21,236.85
2016-10-24,236.0
2016-10-25,237.1
2016-10-26,239.85
2016-10-27,244.9
2016-10-28,252.15
2016-10-30,252.85
2016-11-01,254.45
2016-11-02,247.5
2016-11-03,251.2
2016-11-04,249.05
2016-11-07,255.25
2016-11-08,260.75
2016-11-09,260.6
2016-11-10,263.55
2016-11-11,261.15
2016-11-15,254.95
2016-11-16,252.3
2016-11-17,248.6
2016-11-18,263.9
2016-11-21,261.65
2016-11-22,269.9
2016-11-23,274.05
2016-11-24,269.5
2016-11-25,269.55
2016-11-28,269.2
2016-11-29,271.6
2016-11-30,276.35
2016-12-01,275.75
2016-12-02,277.8
2016-12-05,281.9
2016-12-06,282.65
2016-12-07,283.95
2016-12-08,284.15
2016-12-09,284.0
2016-12-12,284.25
2016-12-13,267.3
2016-12-14,270.95
2016-12-15,274.3
2016-12-16,271.6
2016-12-19,274.3
2016-12-20,269.2
2016-12-21,274.8
2016-12-22,273.35
2016-12-23,273.95
2016-12-26,268.75
2016-12-27,266.5
2016-12-28,271.25
2016-12-29,272.9
2016-12-30,273.7
