Date,MAWANASUG
2016-01-01,18.8
2016-01-04,19.85
2016-01-05,20.4
2016-01-06,22.4
2016-01-07,23.5
2016-01-08,24.65
2016-01-11,25.85
2016-01-12,27.1
2016-01-13,27.45
2016-01-14,26.1
2016-01-15,24.8
2016-01-18,23.6
2016-01-19,22.5
2016-01-20,22.35
2016-01-21,22.3
2016-01-22,22.85
2016-01-25,21.8
2016-01-27,21.25
2016-01-28,21.6
2016-01-29,20.9
2016-02-01,21.9
2016-02-02,22.0
2016-02-03,22.0
2016-02-04,21.3
2016-02-05,21.95
2016-02-08,23.3
2016-02-09,23.0
2016-02-10,21.0
2016-02-11,19.05
2016-02-12,17.5
2016-02-15,19.25
2016-02-16,17.35
2016-02-17,17.0
2016-02-18,17.8
2016-02-19,17.45
2016-02-22,16.7
2016-02-23,16.4
2016-02-24,17.2
2016-02-25,18.05
2016-02-26,17.8
2016-02-29,18.0
2016-03-01,18.9
2016-03-02,19.1
2016-03-03,18.6
2016-03-04,20.45
2016-03-08,22.45
2016-03-09,24.05
2016-03-10,22.85
2016-03-11,22.2
2016-03-14,22.0
2016-03-15,23.1
2016-03-16,24.25
2016-03-17,23.4
2016-03-18,23.15
2016-03-21,23.5
2016-03-22,24.15
2016-03-23,23.9
2016-03-28,23.55
2016-03-29,23.15
2016-03-30,24.3
2016-03-31,25.5
2016-04-01,28.05
2016-04-04,30.85
2016-04-05,31.5
2016-04-06,34.6
2016-04-07,33.65
2016-04-08,32.15
2016-04-11,30.8
2016-04-12,29.4
2016-04-13,28.55
2016-04-18,29.95
2016-04-20,29.35
2016-04-21,28.45
2016-04-22,29.05
2016-04-25,27.85
2016-04-26,28.4
2016-04-27,28.7
2016-04-28,27.35
2016-04-29,28.05
2016-05-02,29.45
2016-05-03,29.6
2016-05-04,29.35
2016-05-05,30.8
2016-05-06,33.85
2016-05-09,37.2
2016-05-10,38.8
2016-05-11,39.05
2016-05-12,41.0
2016-05-13,42.95
2016-05-16,45.05
2016-05-17,46.75
2016-05-18,48.2
2016-05-19,45.8
2016-05-20,43.55
2016-05-23,41.4
2016-05-24,39.35
2016-05-25,41.3
2016-05-26,43.0
2016-05-27,40.85
2016-05-30,39.95
2016-05-31,40.2
2016-06-01,42.2
2016-06-02,44.3
2016-06-03,48.7
2016-06-06,53.55
2016-06-07,58.65
2016-06-08,57.45
2016-06-09,55.95
2016-06-10,58.7
2016-06-13,61.55
2016-06-14,64.6
2016-06-15,67.8
2016-06-16,65.4
2016-06-17,62.15
2016-06-20,59.05
2016-06-21,56.15
2016-06-22,54.45
2016-06-23,52.6
2016-06-24,51.35
2016-06-27,53.9
2016-06-28,56.55
2016-06-29,59.35
2016-06-30,61.95
2016-07-01,65.1
2016-07-04,68.1
2016-07-05,64.0
2016-07-07,70.4
2016-07-08,66.25
2016-07-11,66.65
2016-07-12,65.15
2016-07-13,61.85
2016-07-14,64.55
2016-07-15,62.6
2016-07-18,62.05
2016-07-19,60.45
2016-07-20,61.45
2016-07-21,60.35
2016-07-22,63.85
2016-07-25,65.2
2016-07-26,62.7
2016-07-27,62.5
2016-07-28,61.85
2016-07-29,64.7
2016-08-01,63.75
2016-08-02,62.7
2016-08-03,61.15
2016-08-04,61.4
2016-08-05,61.25
2016-08-08,59.4
2016-08-09,53.85
2016-08-10,53.65
2016-08-11,50.5
2016-08-12,43.65
2016-08-16,43.3
2016-08-17,39.35
2016-08-18,43.25
2016-08-19,47.55
2016-08-22,47.3
2016-08-23,46.05
2016-08-24,44.55
2016-08-25,43.15
2016-08-26,43.5
2016-08-29,43.1
2016-08-30,42.65
2016-08-31,44.45
2016-09-01,42.8
2016-09-02,42.1
2016-09-06,44.5
2016-09-07,44.65
2016-09-08,45.25
2016-09-09,51.05
2016-09-12,54.4
2016-09-14,52.25
2016-09-15,51.85
2016-09-16,55.95
2016-09-19,62.5
2016-09-20,59.95
2016-09-21,57.9
2016-09-22,60.65
2016-09-23,59.35
2016-09-26,57.15
2016-09-27,56.45
2016-09-28,58.1
2016-09-29,53.95
2016-09-30,56.05
2016-10-03,57.6
2016-10-04,58.0
2016-10-05,58.9
2016-10-06,58.45
2016-10-07,59.75
2016-10-10,57.7
2016-10-13,56.6
2016-10-14,56.45
2016-10-17,56.7
2016-10-18,56.7
2016-10-19,56.2
2016-10-20,55.45
2016-10-21,56.25
2016-10-24,54.55
2016-10-25,54.05
2016-10-26,53.15
2016-10-27,55.55
2016-10-28,55.65
2016-10-30,54.75
2016-11-01,50.7
2016-11-02,48.0
2016-11-03,47.95
2016-11-04,46.95
2016-11-07,46.7
2016-11-08,45.95
2016-11-09,42.35
2016-11-10,46.75
2016-11-11,45.1
2016-11-15,38.15
2016-11-16,37.8
2016-11-17,35.8
2016-11-18,42.6
2016-11-21,47.6
2016-11-22,46.7
2016-11-23,48.15
2016-11-24,48.65
2016-11-25,48.0
2016-11-28,47.65
2016-11-29,47.05
2016-11-30,47.0
2016-12-01,46.1
2016-12-02,44.65
2016-12-05,45.2
2016-12-06,45.75
2016-12-07,45.0
2016-12-08,45.15
2016-12-09,44.8
2016-12-12,44.4
2016-12-13,44.15
2016-12-14,44.05
2016-12-15,43.45
2016-12-16,44.2
2016-12-19,44.95
2016-12-20,44.0
2016-12-21,42.25
2016-12-22,41.85
2016-12-23,44.05
2016-12-26,44.3
2016-12-27,43.4
2016-12-28,44.05
2016-12-29,44.85
2016-12-30,47.1
