Date,BANSWRAS
2016-01-01,126.35
2016-01-04,124.3
2016-01-05,127.1
2016-01-06,125.2
2016-01-07,119.3
2016-01-08,119.7
2016-01-11,120.75
2016-01-12,120.65
2016-01-13,111.45
2016-01-14,107.2
2016-01-15,105.65
2016-01-18,97.4
2016-01-19,98.0
2016-01-20,96.45
2016-01-21,94.6
2016-01-22,96.45
2016-01-25,97.5
2016-01-27,101.4
2016-01-28,98.1
2016-01-29,95.75
2016-02-01,97.35
2016-02-02,99.15
2016-02-03,96.0
2016-02-04,97.15
2016-02-05,95.05
2016-02-08,97.0
2016-02-09,96.5
2016-02-10,95.0
2016-02-11,91.95
2016-02-12,88.9
2016-02-15,93.85
2016-02-16,87.1
2016-02-17,84.2
2016-02-18,86.95
2016-02-19,91.65
2016-02-22,92.05
2016-02-23,89.95
2016-02-24,85.5
2016-02-25,86.1
2016-02-26,89.05
2016-02-29,85.0
2016-03-01,85.5
2016-03-02,90.2
2016-03-03,87.65
2016-03-04,87.85
2016-03-08,86.85
2016-03-09,90.0
2016-03-10,88.85
2016-03-11,87.7
2016-03-14,90.1
2016-03-15,85.35
2016-03-16,86.95
2016-03-17,87.85
2016-03-18,86.1
2016-03-21,86.0
2016-03-22,86.5
2016-03-23,86.9
2016-03-28,87.7
2016-03-29,85.55
2016-03-30,86.55
2016-03-31,89.65
2016-04-01,89.5
2016-04-04,91.05
2016-04-05,92.25
2016-04-06,92.85
2016-04-07,97.25
2016-04-08,106.4
2016-04-11,110.05
2016-04-12,107.9
2016-04-13,108.0
2016-04-18,108.35
2016-04-20,105.9
2016-04-21,107.65
2016-04-22,108.1
2016-04-25,108.15
2016-04-26,107.3
2016-04-27,106.5
2016-04-28,103.75
2016-04-29,105.75
2016-05-02,103.8
2016-05-03,107.0
2016-05-04,103.7
2016-05-05,104.4
2016-05-06,106.95
2016-05-09,107.35
2016-05-10,111.85
2016-05-11,115.75
2016-05-12,131.8
2016-05-13,127.2
2016-05-16,130.75
2016-05-17,128.5
2016-05-18,138.35
2016-05-19,134.5
2016-05-20,132.45
2016-05-23,138.3
2016-05-24,146.35
2016-05-25,142.35
2016-05-26,140.55
2016-05-27,141.2
2016-05-30,141.9
2016-05-31,140.45
2016-06-01,141.7
2016-06-02,142.2
2016-06-03,137.1
2016-06-06,139.2
2016-06-07,138.05
2016-06-08,138.35
2016-06-09,139.7
2016-06-10,138.0
2016-06-13,136.85
2016-06-14,137.4
2016-06-15,138.9
2016-06-16,138.1
2016-06-17,136.8
2016-06-20,137.1
2016-06-21,149.9
2016-06-22,148.2
2016-06-23,143.25
2016-06-24,138.0
2016-06-27,145.4
2016-06-28,144.6
2016-06-29,146.95
2016-06-30,150.4
2016-07-01,147.65
2016-07-04,148.7
2016-07-05,145.65
2016-07-07,145.05
2016-07-08,143.75
2016-07-11,145.95
2016-07-12,146.0
2016-07-13,145.2
2016-07-14,144.45
2016-07-15,144.3
2016-07-18,143.0
2016-07-19,143.4
2016-07-20,145.8
2016-07-21,145.85
2016-07-22,155.4
2016-07-25,171.65
2016-07-26,170.15
2016-07-27,169.15
2016-07-28,172.3
2016-07-29,177.5
2016-08-01,173.8
2016-08-02,170.05
2016-08-03,174.95
2016-08-04,176.55
2016-08-05,173.55
2016-08-08,163.05
2016-08-09,167.85
2016-08-10,168.3
2016-08-11,165.35
2016-08-12,162.8
2016-08-16,158.8
2016-08-17,159.5
2016-08-18,160.85
2016-08-19,162.9
2016-08-22,165.15
2016-08-23,165.15
2016-08-24,168.3
2016-08-25,165.55
2016-08-26,167.75
2016-08-29,170.8
2016-08-30,167.85
2016-08-31,166.8
2016-09-01,164.4
2016-09-02,163.15
2016-09-06,160.25
2016-09-07,163.7
2016-09-08,163.45
2016-09-09,162.05
2016-09-12,161.3
2016-09-14,164.05
2016-09-15,165.3
2016-09-16,163.05
2016-09-19,165.55
2016-09-20,166.05
2016-09-21,168.4
2016-09-22,169.0
2016-09-23,170.5
2016-09-26,166.85
2016-09-27,166.6
2016-09-28,165.65
2016-09-29,160.15
2016-09-30,161.5
2016-10-03,167.2
2016-10-04,167.7
2016-10-05,167.25
2016-10-06,171.35
2016-10-07,176.65
2016-10-10,184.2
2016-10-13,171.65
2016-10-14,173.1
2016-10-17,169.75
2016-10-18,174.2
2016-10-19,172.35
2016-10-20,173.15
2016-10-21,172.85
2016-10-24,185.1
2016-10-25,185.65
2016-10-26,191.1
2016-10-27,172.6
2016-10-28,153.55
2016-10-30,156.95
2016-11-01,155.05
2016-11-02,152.55
2016-11-03,152.0
2016-11-04,152.25
2016-11-07,153.4
2016-11-08,151.8
2016-11-09,151.6
2016-11-10,153.45
2016-11-11,150.8
2016-11-15,146.05
2016-11-16,147.25
2016-11-17,141.35
2016-11-18,144.9
2016-11-21,145.25
2016-11-22,142.3
2016-11-23,146.5
2016-11-24,146.85
2016-11-25,146.0
2016-11-28,148.5
2016-11-29,150.7
2016-11-30,147.05
2016-12-01,144.65
2016-12-02,142.95
2016-12-05,143.35
2016-12-06,145.4
2016-12-07,144.5
2016-12-08,149.05
2016-12-09,148.3
2016-12-12,144.9
2016-12-13,145.15
2016-12-14,145.35
2016-12-15,142.5
2016-12-16,141.05
2016-12-19,139.95
2016-12-20,139.25
2016-12-21,139.3
2016-12-22,137.95
2016-12-23,144.7
2016-12-26,137.1
2016-12-27,141.8
2016-12-28,142.95
2016-12-29,143.15
2016-12-30,144.4
