Date,GANECOS
2016-01-01,154.25
2016-01-04,149.9
2016-01-05,159.85
2016-01-06,166.8
2016-01-07,160.2
2016-01-08,162.25
2016-01-11,160.35
2016-01-12,158.9
2016-01-13,153.75
2016-01-14,153.5
2016-01-15,149.2
2016-01-18,141.4
2016-01-19,141.4
2016-01-20,138.9
2016-01-21,137.45
2016-01-22,142.95
2016-01-25,146.6
2016-01-27,144.6
2016-01-28,140.65
2016-01-29,143.4
2016-02-01,149.6
2016-02-02,153.4
2016-02-03,146.05
2016-02-04,148.1
2016-02-05,147.65
2016-02-08,149.35
2016-02-09,143.95
2016-02-10,139.8
2016-02-11,130.65
2016-02-12,119.5
2016-02-15,129.0
2016-02-16,126.0
2016-02-17,123.75
2016-02-18,125.3
2016-02-19,125.8
2016-02-22,124.4
2016-02-23,118.75
2016-02-24,118.85
2016-02-25,116.95
2016-02-26,117.0
2016-02-29,115.0
2016-03-01,121.2
2016-03-02,126.75
2016-03-03,131.05
2016-03-04,133.0
2016-03-08,136.25
2016-03-09,135.05
2016-03-10,134.3
2016-03-11,131.85
2016-03-14,130.1
2016-03-15,127.3
2016-03-16,124.9
2016-03-17,126.9
2016-03-18,128.25
2016-03-21,138.6
2016-03-22,143.15
2016-03-23,144.05
2016-03-28,153.8
2016-03-29,156.9
2016-03-30,157.3
2016-03-31,151.8
2016-04-01,154.0
2016-04-04,152.8
2016-04-05,149.65
2016-04-06,150.5
2016-04-07,149.3
2016-04-08,148.25
2016-04-11,153.7
2016-04-12,152.1
2016-04-13,155.25
2016-04-18,157.3
2016-04-20,160.1
2016-04-21,157.65
2016-04-22,155.0
2016-04-25,161.0
2016-04-26,165.25
2016-04-27,167.85
2016-04-28,166.55
2016-04-29,165.0
2016-05-02,170.85
2016-05-03,175.25
2016-05-04,170.45
2016-05-05,179.1
2016-05-06,174.0
2016-05-09,177.95
2016-05-10,177.45
2016-05-11,176.0
2016-05-12,174.7
2016-05-13,170.95
2016-05-16,171.75
2016-05-17,177.0
2016-05-18,174.55
2016-05-19,172.5
2016-05-20,181.05
2016-05-23,178.85
2016-05-24,180.5
2016-05-25,184.0
2016-05-26,181.55
2016-05-27,177.8
2016-05-30,184.65
2016-05-31,182.35
2016-06-01,181.4
2016-06-02,181.95
2016-06-03,179.25
2016-06-06,177.75
2016-06-07,176.5
2016-06-08,174.0
2016-06-09,172.9
2016-06-10,176.05
2016-06-13,174.75
2016-06-14,176.05
2016-06-15,174.1
2016-06-16,175.4
2016-06-17,174.0
2016-06-20,171.55
2016-06-21,170.35
2016-06-22,170.25
2016-06-23,170.65
2016-06-24,169.2
2016-06-27,164.9
2016-06-28,168.2
2016-06-29,165.25
2016-06-30,173.65
2016-07-01,170.5
2016-07-04,170.05
2016-07-05,169.45
2016-07-07,166.25
2016-07-08,164.2
2016-07-11,168.4
2016-07-12,167.25
2016-07-13,164.95
2016-07-14,160.45
2016-07-15,159.35
2016-07-18,160.0
2016-07-19,160.25
2016-07-20,158.8
2016-07-21,155.25
2016-07-22,158.3
2016-07-25,160.5
2016-07-26,157.6
2016-07-27,156.0
2016-07-28,165.4
2016-07-29,175.45
2016-08-01,180.85
2016-08-02,179.7
2016-08-03,178.55
2016-08-04,176.4
2016-08-05,177.1
2016-08-08,169.5
2016-08-09,166.6
2016-08-10,165.1
2016-08-11,181.3
2016-08-12,189.75
2016-08-16,194.2
2016-08-17,198.15
2016-08-18,196.2
2016-08-19,209.5
2016-08-22,211.35
2016-08-23,212.7
2016-08-24,206.35
2016-08-25,200.0
2016-08-26,199.3
2016-08-29,200.75
2016-08-30,205.55
2016-08-31,214.55
2016-09-01,211.25
2016-09-02,215.4
2016-09-06,221.6
2016-09-07,221.55
2016-09-08,220.0
2016-09-09,219.95
2016-09-12,227.15
2016-09-14,226.05
2016-09-15,223.25
2016-09-16,227.15
2016-09-19,223.35
2016-09-20,222.35
2016-09-21,229.6
2016-09-22,232.2
2016-09-23,232.55
2016-09-26,228.75
2016-09-27,227.35
2016-09-28,226.1
2016-09-29,209.35
2016-09-30,211.0
2016-10-03,209.15
2016-10-04,208.45
2016-10-05,209.65
2016-10-06,208.8
2016-10-07,207.75
2016-10-10,206.6
2016-10-13,206.1
2016-10-14,207.95
2016-10-17,212.85
2016-10-18,218.7
2016-10-19,219.7
2016-10-20,222.05
2016-10-21,222.15
2016-10-24,227.9
2016-10-25,224.25
2016-10-26,223.6
2016-10-27,220.15
2016-10-28,221.15
2016-10-30,225.6
2016-11-01,221.75
2016-11-02,217.05
2016-11-03,216.75
2016-11-04,214.45
2016-11-07,217.35
2016-11-08,212.45
2016-11-09,204.75
2016-11-10,210.35
2016-11-11,203.7
2016-11-15,183.55
2016-11-16,185.0
2016-11-17,179.0
2016-11-18,176.85
2016-11-21,167.8
2016-11-22,170.0
2016-11-23,177.3
2016-11-24,179.5
2016-11-25,185.15
2016-11-28,183.8
2016-11-29,186.2
2016-11-30,188.55
2016-12-01,180.75
2016-12-02,176.65
2016-12-05,177.7
2016-12-06,174.95
2016-12-07,177.65
2016-12-08,179.2
2016-12-09,180.25
2016-12-12,179.9
2016-12-13,175.35
2016-12-14,176.3
2016-12-15,175.4
2016-12-16,176.05
2016-12-19,176.7
2016-12-20,174.7
2016-12-21,174.05
2016-12-22,173.45
2016-12-23,170.55
2016-12-26,169.25
2016-12-27,169.65
2016-12-28,168.4
2016-12-29,169.0
2016-12-30,169.75
