Date,ALEMBICLTD
2016-01-01,47.7
2016-01-04,46.75
2016-01-05,50.2
2016-01-06,49.8
2016-01-07,46.85
2016-01-08,47.8
2016-01-11,48.05
2016-01-12,47.2
2016-01-13,44.35
2016-01-14,42.6
2016-01-15,41.45
2016-01-18,38.65
2016-01-19,40.15
2016-01-20,38.35
2016-01-21,40.0
2016-01-22,41.45
2016-01-25,41.95
2016-01-27,40.25
2016-01-28,40.5
2016-01-29,39.45
2016-02-01,39.25
2016-02-02,38.85
2016-02-03,37.8
2016-02-04,37.15
2016-02-05,37.6
2016-02-08,37.45
2016-02-09,37.15
2016-02-10,36.4
2016-02-11,33.8
2016-02-12,33.75
2016-02-15,35.75
2016-02-16,35.35
2016-02-17,34.2
2016-02-18,34.6
2016-02-19,34.05
2016-02-22,34.55
2016-02-23,34.7
2016-02-24,34.4
2016-02-25,34.25
2016-02-26,34.15
2016-02-29,34.3
2016-03-01,35.1
2016-03-02,36.35
2016-03-03,36.75
2016-03-04,37.35
2016-03-08,37.7
2016-03-09,38.0
2016-03-10,37.25
2016-03-11,37.2
2016-03-14,38.5
2016-03-15,37.3
2016-03-16,37.1
2016-03-17,37.0
2016-03-18,36.45
2016-03-21,35.9
2016-03-22,36.45
2016-03-23,36.7
2016-03-28,35.75
2016-03-29,34.8
2016-03-30,35.65
2016-03-31,35.3
2016-04-01,35.9
2016-04-04,36.7
2016-04-05,36.05
2016-04-06,35.85
2016-04-07,35.65
2016-04-08,36.5
2016-04-11,36.65
2016-04-12,37.75
2016-04-13,37.8
2016-04-18,36.85
2016-04-20,37.3
2016-04-21,38.6
2016-04-22,39.85
2016-04-25,38.7
2016-04-26,39.25
2016-04-27,38.05
2016-04-28,37.65
2016-04-29,37.25
2016-05-02,36.9
2016-05-03,37.2
2016-05-04,36.8
2016-05-05,36.65
2016-05-06,36.55
2016-05-09,36.75
2016-05-10,37.1
2016-05-11,36.45
2016-05-12,36.35
2016-05-13,35.9
2016-05-16,36.05
2016-05-17,35.6
2016-05-18,36.35
2016-05-19,35.8
2016-05-20,35.75
2016-05-23,35.15
2016-05-24,35.0
2016-05-25,35.4
2016-05-26,34.95
2016-05-27,35.5
2016-05-30,35.65
2016-05-31,35.4
2016-06-01,35.3
2016-06-02,34.8
2016-06-03,34.6
2016-06-06,35.15
2016-06-07,35.35
2016-06-08,36.75
2016-06-09,37.3
2016-06-10,37.45
2016-06-13,39.75
2016-06-14,39.65
2016-06-15,38.3
2016-06-16,37.65
2016-06-17,37.4
2016-06-20,37.3
2016-06-21,37.35
2016-06-22,36.85
2016-06-23,36.55
2016-06-24,35.35
2016-06-27,36.0
2016-06-28,36.2
2016-06-29,36.55
2016-06-30,38.8
2016-07-01,38.0
2016-07-04,38.3
2016-07-05,38.9
2016-07-07,38.75
2016-07-08,39.1
2016-07-11,39.2
2016-07-12,38.55
2016-07-13,37.9
2016-07-14,38.35
2016-07-15,37.65
2016-07-18,37.6
2016-07-19,37.5
2016-07-20,38.35
2016-07-21,38.45
2016-07-22,38.65
2016-07-25,38.15
2016-07-26,38.3
2016-07-27,37.65
2016-07-28,37.9
2016-07-29,38.2
2016-08-01,38.0
2016-08-02,38.05
2016-08-03,37.55
2016-08-04,37.6
2016-08-05,37.95
2016-08-08,40.1
2016-08-09,39.6
2016-08-10,37.85
2016-08-11,37.85
2016-08-12,37.6
2016-08-16,36.5
2016-08-17,37.55
2016-08-18,37.4
2016-08-19,37.5
2016-08-22,37.3
2016-08-23,37.1
2016-08-24,37.7
2016-08-25,38.5
2016-08-26,37.9
2016-08-29,37.5
2016-08-30,38.25
2016-08-31,38.3
2016-09-01,38.15
2016-09-02,38.55
2016-09-06,38.15
2016-09-07,37.8
2016-09-08,38.1
2016-09-09,39.9
2016-09-12,38.35
2016-09-14,38.3
2016-09-15,38.7
2016-09-16,37.85
2016-09-19,38.85
2016-09-20,38.4
2016-09-21,38.2
2016-09-22,38.45
2016-09-23,37.6
2016-09-26,37.4
2016-09-27,37.8
2016-09-28,39.4
2016-09-29,36.85
2016-09-30,38.2
2016-10-03,38.4
2016-10-04,38.6
2016-10-05,38.7
2016-10-06,39.15
2016-10-07,41.5
2016-10-10,44.1
2016-10-13,45.05
2016-10-14,45.65
2016-10-17,43.2
2016-10-18,43.25
2016-10-19,43.25
2016-10-20,43.4
2016-10-21,42.95
2016-10-24,43.25
2016-10-25,42.65
2016-10-26,41.75
2016-10-27,41.4
2016-10-28,41.15
2016-10-30,41.95
2016-11-01,42.0
2016-11-02,40.45
2016-11-03,39.25
2016-11-04,38.15
2016-11-07,39.0
2016-11-08,39.3
2016-11-09,37.65
2016-11-10,38.7
2016-11-11,36.9
2016-11-15,35.1
2016-11-16,34.85
2016-11-17,34.6
2016-11-18,33.8
2016-11-21,32.95
2016-11-22,33.0
2016-11-23,33.05
2016-11-24,33.0
2016-11-25,34.7
2016-11-28,35.6
2016-11-29,36.05
2016-11-30,36.05
2016-12-01,36.1
2016-12-02,35.7
2016-12-05,35.75
2016-12-06,36.0
2016-12-07,35.8
2016-12-08,36.4
2016-12-09,36.2
2016-12-12,36.2
2016-12-13,36.25
2016-12-14,36.2
2016-12-15,36.55
2016-12-16,36.05
2016-12-19,35.95
2016-12-20,35.7
2016-12-21,36.25
2016-12-22,35.95
2016-12-23,35.45
2016-12-26,35.55
2016-12-27,35.6
2016-12-28,35.95
2016-12-29,36.6
2016-12-30,36.7
