Date,NSIL
2016-01-01,730.0
2016-01-04,733.0
2016-01-05,747.9
2016-01-06,727.75
2016-01-07,715.0
2016-01-08,718.4
2016-01-11,710.4
2016-01-12,707.25
2016-01-13,700.0
2016-01-14,698.5
2016-01-15,661.6
2016-01-18,710.9
2016-01-19,688.75
2016-01-20,646.15
2016-01-21,646.65
2016-01-22,660.15
2016-01-25,643.35
2016-01-27,645.25
2016-01-28,647.5
2016-01-29,644.9
2016-02-01,630.0
2016-02-02,617.25
2016-02-03,606.25
2016-02-04,605.0
2016-02-05,600.55
2016-02-08,615.0
2016-02-09,620.0
2016-02-10,609.6
2016-02-11,601.0
2016-02-12,586.45
2016-02-15,578.45
2016-02-16,573.75
2016-02-17,565.15
2016-02-18,566.0
2016-02-19,566.05
2016-02-22,566.05
2016-02-23,568.0
2016-02-24,565.7
2016-02-26,566.0
2016-02-29,566.6
2016-03-01,585.0
2016-03-02,604.7
2016-03-03,587.0
2016-03-04,599.95
2016-03-08,571.25
2016-03-10,571.3
2016-03-11,570.05
2016-03-14,570.25
2016-03-16,570.0
2016-03-17,630.65
2016-03-18,625.75
2016-03-21,605.0
2016-03-22,593.05
2016-03-23,598.0
2016-03-28,577.25
2016-03-29,575.7
2016-03-30,600.05
2016-03-31,600.0
2016-04-01,615.0
2016-04-04,616.05
2016-04-05,608.1
2016-04-06,602.0
2016-04-07,595.0
2016-04-08,620.0
2016-04-11,625.0
2016-04-12,622.5
2016-04-13,639.5
2016-04-18,613.05
2016-04-20,613.0
2016-04-21,610.3
2016-04-22,605.3
2016-04-25,602.95
2016-04-26,602.2
2016-04-27,607.0
2016-04-28,618.4
2016-04-29,615.1
2016-05-02,606.0
2016-05-03,606.0
2016-05-04,600.0
2016-05-05,600.1
2016-05-06,605.3
2016-05-09,609.0
2016-05-10,630.1
2016-05-11,629.0
2016-05-12,648.9
2016-05-13,636.0
2016-05-16,628.35
2016-05-17,637.0
2016-05-18,650.3
2016-05-19,643.8
2016-05-20,631.2
2016-05-23,624.35
2016-05-24,620.05
2016-05-25,630.95
2016-05-26,639.8
2016-05-27,621.1
2016-05-30,630.0
2016-05-31,620.15
2016-06-01,630.0
2016-06-02,620.05
2016-06-03,630.0
2016-06-06,620.0
2016-06-07,622.6
2016-06-08,630.1
2016-06-09,620.25
2016-06-10,621.0
2016-06-13,615.0
2016-06-14,616.0
2016-06-15,623.75
2016-06-16,615.0
2016-06-17,615.65
2016-06-20,624.85
2016-06-21,617.85
2016-06-22,610.55
2016-06-23,714.9
2016-06-24,668.2
2016-06-27,721.2
2016-06-28,703.2
2016-06-29,690.7
2016-06-30,719.55
2016-07-01,742.7
2016-07-04,733.4
2016-07-05,740.65
2016-07-07,783.0
2016-07-08,755.05
2016-07-11,833.5
2016-07-12,801.4
2016-07-13,770.9
2016-07-14,808.0
2016-07-15,798.55
2016-07-18,789.5
2016-07-19,799.9
2016-07-20,791.25
2016-07-21,773.2
2016-07-22,781.55
2016-07-25,770.4
2016-07-26,768.15
2016-07-27,766.8
2016-07-28,758.85
2016-07-29,755.0
2016-08-01,756.6
2016-08-02,756.4
2016-08-03,745.5
2016-08-04,761.5
2016-08-05,754.15
2016-08-08,750.95
2016-08-09,752.4
2016-08-10,740.0
2016-08-11,762.8
2016-08-12,765.0
2016-08-16,766.5
2016-08-17,750.05
2016-08-18,766.0
2016-08-19,755.0
2016-08-22,750.65
2016-08-23,755.6
2016-08-24,806.75
2016-08-25,784.0
2016-08-26,766.9
2016-08-29,767.0
2016-08-30,766.15
2016-08-31,765.3
2016-09-01,794.95
2016-09-02,764.6
2016-09-06,793.75
2016-09-07,775.0
2016-09-08,771.2
2016-09-09,765.0
2016-09-12,740.7
2016-09-14,737.05
2016-09-15,745.0
2016-09-16,735.0
2016-09-19,764.25
2016-09-20,752.05
2016-09-21,755.0
2016-09-22,752.05
2016-09-23,752.1
2016-09-26,745.05
2016-09-27,746.0
2016-09-28,752.0
2016-09-29,725.0
2016-09-30,740.0
2016-10-03,740.0
2016-10-04,747.25
2016-10-05,774.1
2016-10-06,764.9
2016-10-07,757.85
2016-10-10,762.0
2016-10-13,744.0
2016-10-14,745.6
2016-10-17,735.0
2016-10-18,738.85
2016-10-19,737.35
2016-10-20,741.15
2016-10-21,750.0
2016-10-24,793.0
2016-10-25,770.1
2016-10-26,784.15
2016-10-27,786.0
2016-10-28,828.4
2016-10-30,834.75
2016-11-01,833.1
2016-11-02,790.3
2016-11-03,775.05
2016-11-04,753.7
2016-11-07,768.1
2016-11-08,780.15
2016-11-09,770.4
2016-11-10,772.05
2016-11-11,743.95
2016-11-15,721.25
2016-11-16,725.35
2016-11-17,724.5
2016-11-18,725.3
2016-11-21,715.0
2016-11-22,715.0
2016-11-23,711.45
2016-11-24,712.5
2016-11-25,740.0
2016-11-28,727.9
2016-11-29,739.95
2016-11-30,723.15
2016-12-01,721.0
2016-12-02,717.4
2016-12-05,716.0
2016-12-06,740.95
2016-12-07,725.05
2016-12-08,758.7
2016-12-09,745.6
2016-12-12,750.0
2016-12-13,778.3
2016-12-14,790.7
2016-12-15,772.05
2016-12-19,749.55
2016-12-20,760.0
2016-12-21,748.65
2016-12-22,745.5
2016-12-23,733.05
2016-12-26,719.65
2016-12-27,725.0
2016-12-28,719.8
2016-12-29,721.2
2016-12-30,750.75
