Date,RUPA
2016-01-01,310.65
2016-01-04,307.8
2016-01-05,307.3
2016-01-06,307.45
2016-01-07,295.7
2016-01-08,299.3
2016-01-11,291.85
2016-01-12,289.75
2016-01-13,278.8
2016-01-14,274.3
2016-01-15,266.85
2016-01-18,251.85
2016-01-19,250.25
2016-01-20,249.45
2016-01-21,257.05
2016-01-22,259.7
2016-01-25,268.05
2016-01-27,271.85
2016-01-28,271.6
2016-01-29,273.1
2016-02-01,272.4
2016-02-02,263.9
2016-02-03,269.9
2016-02-04,261.15
2016-02-05,264.45
2016-02-08,263.35
2016-02-09,260.1
2016-02-10,251.05
2016-02-11,241.65
2016-02-12,239.4
2016-02-15,249.6
2016-02-16,249.7
2016-02-17,244.2
2016-02-18,246.6
2016-02-19,253.85
2016-02-22,253.45
2016-02-23,251.7
2016-02-24,249.65
2016-02-25,250.45
2016-02-26,246.0
2016-02-29,248.95
2016-03-01,248.85
2016-03-02,258.2
2016-03-03,259.6
2016-03-04,265.55
2016-03-08,262.3
2016-03-09,300.3
2016-03-10,283.5
2016-03-11,276.4
2016-03-14,279.35
2016-03-15,272.15
2016-03-16,279.6
2016-03-17,275.2
2016-03-18,277.5
2016-03-21,276.6
2016-03-22,275.2
2016-03-23,273.4
2016-03-28,271.3
2016-03-29,270.65
2016-03-30,270.65
2016-03-31,273.45
2016-04-01,272.0
2016-04-04,273.6
2016-04-05,272.95
2016-04-06,279.7
2016-04-07,276.75
2016-04-08,274.1
2016-04-11,328.05
2016-04-12,311.5
2016-04-13,312.35
2016-04-18,303.55
2016-04-20,300.35
2016-04-21,297.55
2016-04-22,301.55
2016-04-25,294.25
2016-04-26,298.25
2016-04-27,294.7
2016-04-28,293.2
2016-04-29,292.15
2016-05-02,288.55
2016-05-03,293.2
2016-05-04,289.15
2016-05-05,300.5
2016-05-06,298.3
2016-05-09,298.55
2016-05-10,300.0
2016-05-11,300.65
2016-05-12,301.45
2016-05-13,297.1
2016-05-16,303.35
2016-05-17,307.05
2016-05-18,304.6
2016-05-19,297.75
2016-05-20,295.85
2016-05-23,290.65
2016-05-24,295.35
2016-05-25,292.7
2016-05-26,295.35
2016-05-27,298.2
2016-05-30,300.75
2016-05-31,290.75
2016-06-01,290.85
2016-06-02,302.0
2016-06-03,299.3
2016-06-06,296.85
2016-06-07,298.4
2016-06-08,298.6
2016-06-09,297.7
2016-06-10,296.9
2016-06-13,296.85
2016-06-14,300.25
2016-06-15,299.65
2016-06-16,301.15
2016-06-17,295.95
2016-06-20,300.55
2016-06-21,298.8
2016-06-22,298.1
2016-06-23,298.45
2016-06-24,291.05
2016-06-27,298.55
2016-06-28,295.25
2016-06-29,299.95
2016-06-30,296.95
2016-07-01,294.1
2016-07-04,293.6
2016-07-05,296.85
2016-07-07,298.45
2016-07-08,297.75
2016-07-11,296.7
2016-07-12,295.9
2016-07-13,294.4
2016-07-14,293.15
2016-07-15,291.35
2016-07-18,290.15
2016-07-19,290.2
2016-07-20,293.65
2016-07-21,290.6
2016-07-22,292.45
2016-07-25,291.1
2016-07-26,290.4
2016-07-27,285.5
2016-07-28,294.4
2016-07-29,290.25
2016-08-01,288.55
2016-08-02,288.05
2016-08-03,287.75
2016-08-04,293.8
2016-08-05,293.55
2016-08-08,290.15
2016-08-09,286.55
2016-08-10,286.0
2016-08-11,284.95
2016-08-12,285.0
2016-08-16,284.45
2016-08-17,289.8
2016-08-18,286.2
2016-08-19,283.85
2016-08-22,284.8
2016-08-23,282.8
2016-08-24,283.45
2016-08-25,281.55
2016-08-26,277.0
2016-08-29,280.45
2016-08-30,281.3
2016-08-31,288.55
2016-09-01,284.0
2016-09-02,281.25
2016-09-06,280.5
2016-09-07,277.85
2016-09-08,278.55
2016-09-09,280.65
2016-09-12,279.85
2016-09-14,283.15
2016-09-15,279.05
2016-09-16,276.6
2016-09-19,282.95
2016-09-20,299.25
2016-09-21,291.0
2016-09-22,290.75
2016-09-23,288.15
2016-09-26,287.2
2016-09-27,289.35
2016-09-28,288.15
2016-09-29,277.2
2016-09-30,274.35
2016-10-03,280.25
2016-10-04,285.7
2016-10-05,284.35
2016-10-06,284.4
2016-10-07,281.55
2016-10-10,284.9
2016-10-13,280.8
2016-10-14,283.2
2016-10-17,281.55
2016-10-18,280.1
2016-10-19,280.45
2016-10-20,282.65
2016-10-21,280.9
2016-10-24,282.2
2016-10-25,284.45
2016-10-26,291.2
2016-10-27,283.55
2016-10-28,286.1
2016-10-30,290.05
2016-11-01,287.2
2016-11-02,283.75
2016-11-03,283.1
2016-11-04,276.0
2016-11-07,281.1
2016-11-08,279.15
2016-11-09,272.15
2016-11-10,277.75
2016-11-11,268.6
2016-11-15,251.85
2016-11-16,251.9
2016-11-17,258.15
2016-11-18,266.1
2016-11-21,255.25
2016-11-22,255.8
2016-11-23,254.5
2016-11-24,254.9
2016-11-25,256.65
2016-11-28,259.35
2016-11-29,260.35
2016-11-30,262.95
2016-12-01,260.25
2016-12-02,260.35
2016-12-05,259.3
2016-12-06,260.95
2016-12-07,262.8
2016-12-08,261.5
2016-12-09,262.4
2016-12-12,260.2
2016-12-13,257.55
2016-12-14,258.15
2016-12-15,259.3
2016-12-16,257.15
2016-12-19,259.85
2016-12-20,252.7
2016-12-21,250.55
2016-12-22,248.1
2016-12-23,255.9
2016-12-26,254.85
2016-12-27,254.6
2016-12-28,251.1
2016-12-29,256.0
2016-12-30,249.5
