Date,TPLPLASTEH
2016-01-01,230.4
2016-01-04,267.15
2016-01-05,243.4
2016-01-06,246.35
2016-01-07,228.4
2016-01-08,235.0
2016-01-11,227.1
2016-01-12,217.95
2016-01-13,214.0
2016-01-14,211.05
2016-01-15,205.0
2016-01-18,188.65
2016-01-19,187.0
2016-01-20,185.95
2016-01-21,176.15
2016-01-22,184.4
2016-01-25,185.25
2016-01-27,192.5
2016-01-28,194.25
2016-01-29,195.6
2016-02-01,194.9
2016-02-02,197.9
2016-02-03,193.85
2016-02-04,195.0
2016-02-05,186.1
2016-02-08,195.0
2016-02-10,187.05
2016-02-11,180.0
2016-02-12,181.95
2016-02-15,183.05
2016-02-16,179.55
2016-02-17,182.8
2016-02-18,174.0
2016-02-22,170.0
2016-02-23,167.0
2016-02-24,171.55
2016-02-25,171.85
2016-02-26,164.0
2016-02-29,166.3
2016-03-01,167.1
2016-03-02,174.0
2016-03-03,171.95
2016-03-08,170.0
2016-03-09,165.55
2016-03-14,174.8
2016-03-15,174.0
2016-03-16,178.8
2016-03-17,172.0
2016-03-18,161.8
2016-03-21,172.5
2016-03-22,173.1
2016-03-23,173.05
2016-03-28,168.8
2016-03-29,163.0
2016-03-30,170.8
2016-03-31,164.9
2016-04-04,165.0
2016-04-05,170.0
2016-04-06,182.25
2016-04-07,218.7
2016-04-08,227.9
2016-04-11,229.7
2016-04-12,275.6
2016-04-13,303.15
2016-04-18,333.45
2016-04-20,318.4
2016-04-21,313.9
2016-04-22,303.1
2016-04-25,333.4
2016-04-26,330.9
2016-04-27,334.1
2016-04-28,328.25
2016-04-29,338.4
2016-05-02,319.4
2016-05-03,317.25
2016-05-04,348.95
2016-05-05,383.8
2016-05-06,375.95
2016-05-09,386.4
2016-05-10,378.15
2016-05-11,369.5
2016-05-12,426.9
2016-05-13,474.0
2016-05-16,504.8
2016-05-17,526.35
2016-05-18,480.2
2016-05-19,511.0
2016-05-20,509.55
2016-05-23,491.55
2016-05-24,481.25
2016-05-25,491.0
2016-05-26,484.9
2016-05-27,466.55
2016-05-30,426.95
2016-05-31,420.2
2016-06-01,401.15
2016-06-02,420.85
2016-06-03,403.95
2016-06-06,400.45
2016-06-07,399.7
2016-06-08,402.6
2016-06-09,393.65
2016-06-10,389.45
2016-06-13,397.65
2016-06-14,401.5
2016-06-15,403.2
2016-06-16,401.65
2016-06-17,463.5
2016-06-20,448.1
2016-06-21,440.5
2016-06-22,433.35
2016-06-23,429.55
2016-06-24,420.2
2016-06-27,445.55
2016-06-28,467.45
2016-06-29,492.55
2016-06-30,500.35
2016-07-01,477.1
2016-07-04,471.85
2016-07-05,525.1
2016-07-07,515.65
2016-07-08,504.55
2016-07-11,505.75
2016-07-12,497.55
2016-07-13,505.95
2016-07-14,503.05
2016-07-15,501.8
2016-07-18,494.25
2016-07-19,491.0
2016-07-20,483.25
2016-07-21,472.95
2016-07-22,461.5
2016-07-25,462.25
2016-07-26,457.95
2016-07-27,463.45
2016-07-28,461.45
2016-07-29,459.5
2016-08-01,469.5
2016-08-02,458.55
2016-08-03,443.5
2016-08-04,441.8
2016-08-05,443.35
2016-08-08,463.85
2016-08-09,476.85
2016-08-10,486.65
2016-08-11,477.7
2016-08-12,517.2
2016-08-16,501.55
2016-08-17,495.1
2016-08-18,493.9
2016-08-19,483.7
2016-08-22,471.6
2016-08-23,465.25
2016-08-24,496.1
2016-08-25,488.4
2016-08-26,489.85
2016-08-29,517.95
2016-08-30,527.75
2016-08-31,538.1
2016-09-01,518.7
2016-09-02,511.15
2016-09-06,519.1
2016-09-07,526.95
2016-09-08,520.55
2016-09-09,507.8
2016-09-12,504.3
2016-09-14,489.85
2016-09-15,490.0
2016-09-16,488.15
2016-09-19,480.45
2016-09-20,471.4
2016-09-21,473.9
2016-09-22,469.9
2016-09-23,463.5
2016-09-26,458.35
2016-09-27,451.8
2016-09-28,450.2
2016-09-29,420.75
2016-09-30,414.4
2016-10-03,427.6
2016-10-04,444.5
2016-10-05,491.1
2016-10-06,470.5
2016-10-07,457.6
2016-10-10,453.95
2016-10-13,443.35
2016-10-14,458.25
2016-10-17,453.95
2016-10-18,463.7
2016-10-19,444.75
2016-10-20,441.4
2016-10-21,433.2
2016-10-24,430.5
2016-10-25,427.75
2016-10-26,433.65
2016-10-27,429.65
2016-10-28,422.05
2016-10-30,437.25
2016-11-01,429.0
2016-11-02,421.0
2016-11-03,418.1
2016-11-04,398.75
2016-11-07,411.0
2016-11-08,404.7
2016-11-09,394.8
2016-11-10,400.0
2016-11-11,378.95
2016-11-15,342.85
2016-11-16,331.35
2016-11-17,320.4
2016-11-18,320.1
2016-11-21,301.3
2016-11-22,360.6
2016-11-23,330.75
2016-11-24,356.6
2016-11-25,349.7
2016-11-28,364.45
2016-11-29,437.15
2016-11-30,443.15
2016-12-01,411.95
2016-12-02,400.65
2016-12-05,402.2
2016-12-06,423.65
2016-12-07,435.5
2016-12-08,431.3
2016-12-09,420.3
2016-12-12,422.25
2016-12-13,409.45
2016-12-14,392.15
2016-12-15,390.35
2016-12-16,410.65
2016-12-19,408.7
2016-12-20,400.15
2016-12-21,405.75
2016-12-22,414.7
2016-12-23,452.75
2016-12-26,423.65
2016-12-27,431.05
2016-12-28,431.95
2016-12-29,436.65
2016-12-30,440.85
