Date,SHREYAS
2016-01-01,396.4
2016-01-04,387.9
2016-01-05,389.25
2016-01-06,390.2
2016-01-07,366.9
2016-01-08,387.35
2016-01-11,378.5
2016-01-12,366.0
2016-01-13,326.6
2016-01-14,328.1
2016-01-15,301.75
2016-01-18,269.3
2016-01-19,277.7
2016-01-20,263.35
2016-01-21,267.7
2016-01-22,278.2
2016-01-25,282.0
2016-01-27,273.95
2016-01-28,260.85
2016-01-29,268.1
2016-02-01,266.15
2016-02-02,265.0
2016-02-03,231.6
2016-02-04,229.75
2016-02-05,231.65
2016-02-08,242.3
2016-02-09,230.65
2016-02-10,219.65
2016-02-11,199.25
2016-02-12,189.7
2016-02-15,174.15
2016-02-16,148.7
2016-02-17,163.55
2016-02-18,179.9
2016-02-19,197.85
2016-02-22,207.7
2016-02-23,218.05
2016-02-24,215.95
2016-02-25,216.45
2016-02-26,214.1
2016-02-29,203.6
2016-03-01,213.75
2016-03-02,224.4
2016-03-03,234.85
2016-03-04,225.65
2016-03-08,216.6
2016-03-09,213.7
2016-03-10,224.35
2016-03-11,234.4
2016-03-14,230.9
2016-03-15,227.35
2016-03-16,228.35
2016-03-17,225.65
2016-03-18,224.75
2016-03-21,235.95
2016-03-22,239.6
2016-03-23,237.9
2016-03-28,230.75
2016-03-29,236.5
2016-03-30,248.3
2016-03-31,260.7
2016-04-01,300.55
2016-04-04,311.4
2016-04-05,318.4
2016-04-06,323.95
2016-04-07,318.9
2016-04-08,299.9
2016-04-11,289.45
2016-04-12,296.8
2016-04-13,304.65
2016-04-18,312.45
2016-04-20,305.25
2016-04-21,334.8
2016-04-22,331.1
2016-04-25,326.5
2016-04-26,333.15
2016-04-27,337.45
2016-04-28,328.4
2016-04-29,323.15
2016-05-02,323.1
2016-05-03,323.2
2016-05-04,315.95
2016-05-05,311.8
2016-05-06,308.5
2016-05-09,305.8
2016-05-10,302.45
2016-05-11,308.2
2016-05-12,306.45
2016-05-13,299.5
2016-05-16,296.75
2016-05-17,301.1
2016-05-18,296.65
2016-05-19,282.6
2016-05-20,272.35
2016-05-23,256.15
2016-05-24,244.0
2016-05-25,267.9
2016-05-26,321.45
2016-05-27,312.8
2016-05-30,333.15
2016-05-31,330.75
2016-06-01,332.55
2016-06-02,329.25
2016-06-03,323.35
2016-06-06,320.5
2016-06-07,384.6
2016-06-08,402.4
2016-06-09,392.2
2016-06-10,406.5
2016-06-13,391.75
2016-06-14,413.25
2016-06-15,419.6
2016-06-16,416.1
2016-06-17,411.6
2016-06-20,413.2
2016-06-21,419.65
2016-06-22,401.4
2016-06-23,404.15
2016-06-24,393.1
2016-06-27,414.05
2016-06-28,411.85
2016-06-29,418.15
2016-06-30,418.4
2016-07-01,444.95
2016-07-04,436.65
2016-07-05,428.45
2016-07-07,431.3
2016-07-08,424.6
2016-07-11,438.35
2016-07-12,434.7
2016-07-13,419.55
2016-07-14,436.4
2016-07-15,426.45
2016-07-18,421.0
2016-07-19,419.35
2016-07-20,422.05
2016-07-21,420.9
2016-07-22,391.75
2016-07-25,388.05
2016-07-26,385.1
2016-07-27,371.0
2016-07-28,385.55
2016-07-29,386.0
2016-08-01,369.05
2016-08-02,375.5
2016-08-03,367.0
2016-08-04,364.55
2016-08-05,363.05
2016-08-08,371.35
2016-08-09,381.2
2016-08-10,307.1
2016-08-11,280.75
2016-08-12,275.2
2016-08-16,256.15
2016-08-17,257.25
2016-08-18,253.9
2016-08-19,247.4
2016-08-22,272.1
2016-08-23,286.25
2016-08-24,281.9
2016-08-25,276.1
2016-08-26,276.55
2016-08-29,270.15
2016-08-30,274.7
2016-08-31,269.15
2016-09-01,268.35
2016-09-02,271.5
2016-09-06,269.45
2016-09-07,264.1
2016-09-08,265.7
2016-09-09,259.7
2016-09-12,257.45
2016-09-14,264.5
2016-09-15,270.2
2016-09-16,264.8
2016-09-19,264.65
2016-09-20,262.0
2016-09-21,261.55
2016-09-22,313.85
2016-09-23,343.8
2016-09-26,327.7
2016-09-27,333.85
2016-09-28,325.8
2016-09-29,286.7
2016-09-30,299.6
2016-10-03,316.2
2016-10-04,310.05
2016-10-05,309.05
2016-10-06,302.35
2016-10-07,298.35
2016-10-10,299.15
2016-10-13,282.1
2016-10-14,291.55
2016-10-17,281.95
2016-10-18,283.75
2016-10-19,290.1
2016-10-20,293.1
2016-10-21,289.35
2016-10-24,285.65
2016-10-25,282.55
2016-10-26,281.55
2016-10-27,277.35
2016-10-28,272.8
2016-10-30,274.3
2016-11-01,267.7
2016-11-02,266.2
2016-11-03,262.8
2016-11-04,250.4
2016-11-07,260.4
2016-11-08,255.15
2016-11-09,257.05
2016-11-10,261.05
2016-11-11,247.1
2016-11-15,216.45
2016-11-16,224.25
2016-11-17,215.1
2016-11-18,209.0
2016-11-21,205.8
2016-11-22,208.45
2016-11-23,210.95
2016-11-24,218.15
2016-11-25,220.1
2016-11-28,224.05
2016-11-29,224.0
2016-11-30,225.4
2016-12-01,228.3
2016-12-02,221.0
2016-12-05,218.45
2016-12-06,219.75
2016-12-07,225.5
2016-12-08,224.75
2016-12-09,224.45
2016-12-12,216.7
2016-12-13,218.75
2016-12-14,213.15
2016-12-15,214.5
2016-12-16,211.85
2016-12-19,212.5
2016-12-20,207.85
2016-12-21,205.15
2016-12-22,204.4
2016-12-23,204.65
2016-12-26,196.25
2016-12-27,201.85
2016-12-28,204.5
2016-12-29,200.45
2016-12-30,206.4
