Date,HESTERBIO
2016-01-01,572.55
2016-01-04,577.3
2016-01-05,605.35
2016-01-06,578.95
2016-01-07,561.5
2016-01-08,582.45
2016-01-11,585.05
2016-01-12,568.9
2016-01-13,551.75
2016-01-14,534.15
2016-01-15,520.65
2016-01-18,487.75
2016-01-19,489.25
2016-01-20,478.8
2016-01-21,485.25
2016-01-22,499.4
2016-01-25,498.55
2016-01-27,489.3
2016-01-28,479.9
2016-01-29,477.8
2016-02-01,477.8
2016-02-02,470.6
2016-02-03,453.75
2016-02-04,441.25
2016-02-05,459.35
2016-02-08,454.65
2016-02-09,435.2
2016-02-10,427.15
2016-02-11,397.55
2016-02-12,370.6
2016-02-15,409.9
2016-02-16,408.75
2016-02-17,409.4
2016-02-18,413.55
2016-02-19,416.0
2016-02-22,406.5
2016-02-23,397.9
2016-02-24,374.85
2016-02-25,375.05
2016-02-26,384.25
2016-02-29,385.1
2016-03-01,398.1
2016-03-02,428.45
2016-03-03,420.8
2016-03-04,425.45
2016-03-08,416.4
2016-03-09,415.5
2016-03-10,417.55
2016-03-11,439.5
2016-03-14,458.15
2016-03-15,441.7
2016-03-16,447.8
2016-03-17,444.45
2016-03-18,449.4
2016-03-21,453.45
2016-03-22,446.75
2016-03-23,482.95
2016-03-28,466.5
2016-03-29,478.25
2016-03-30,494.45
2016-03-31,502.5
2016-04-01,512.9
2016-04-04,526.7
2016-04-05,530.4
2016-04-06,534.15
2016-04-07,532.35
2016-04-08,532.4
2016-04-11,535.45
2016-04-12,542.45
2016-04-13,543.55
2016-04-18,545.55
2016-04-20,544.2
2016-04-21,528.15
2016-04-22,535.4
2016-04-25,528.05
2016-04-26,531.6
2016-04-27,535.7
2016-04-28,533.75
2016-04-29,527.85
2016-05-02,536.4
2016-05-03,528.8
2016-05-04,530.05
2016-05-05,530.3
2016-05-06,531.2
2016-05-09,637.4
2016-05-10,648.05
2016-05-11,679.3
2016-05-12,683.35
2016-05-13,657.8
2016-05-16,613.45
2016-05-17,610.6
2016-05-18,629.05
2016-05-19,639.15
2016-05-20,640.7
2016-05-23,640.3
2016-05-24,640.35
2016-05-25,645.6
2016-05-26,640.15
2016-05-27,642.25
2016-05-30,640.85
2016-05-31,638.6
2016-06-01,650.05
2016-06-02,645.65
2016-06-03,633.4
2016-06-06,624.35
2016-06-07,626.0
2016-06-08,629.25
2016-06-09,646.4
2016-06-10,664.15
2016-06-13,653.65
2016-06-14,643.25
2016-06-15,649.85
2016-06-16,650.1
2016-06-17,653.9
2016-06-20,655.15
2016-06-21,686.9
2016-06-22,770.15
2016-06-23,745.0
2016-06-24,718.1
2016-06-27,751.15
2016-06-28,765.2
2016-06-29,751.75
2016-06-30,740.35
2016-07-01,735.7
2016-07-04,727.8
2016-07-05,733.1
2016-07-07,728.6
2016-07-08,718.25
2016-07-11,731.9
2016-07-12,735.75
2016-07-13,735.65
2016-07-14,734.2
2016-07-15,725.1
2016-07-18,708.1
2016-07-19,716.55
2016-07-20,718.7
2016-07-21,720.05
2016-07-22,735.95
2016-07-25,746.3
2016-07-26,770.25
2016-07-27,768.15
2016-07-28,786.6
2016-07-29,778.3
2016-08-01,734.1
2016-08-02,735.1
2016-08-03,724.25
2016-08-04,740.3
2016-08-05,742.65
2016-08-08,753.55
2016-08-09,750.4
2016-08-10,760.4
2016-08-11,762.1
2016-08-12,776.5
2016-08-16,772.85
2016-08-17,770.7
2016-08-18,759.55
2016-08-19,771.2
2016-08-22,768.6
2016-08-23,763.7
2016-08-24,767.6
2016-08-25,770.4
2016-08-26,761.15
2016-08-29,768.1
2016-08-30,759.8
2016-08-31,768.2
2016-09-01,766.35
2016-09-02,763.8
2016-09-06,758.1
2016-09-07,761.7
2016-09-08,770.75
2016-09-09,770.6
2016-09-12,752.7
2016-09-14,761.9
2016-09-15,765.1
2016-09-16,765.3
2016-09-19,765.3
2016-09-20,769.55
2016-09-21,771.35
2016-09-22,764.35
2016-09-23,772.2
2016-09-26,770.25
2016-09-27,766.25
2016-09-28,754.4
2016-09-29,726.95
2016-09-30,761.75
2016-10-03,759.8
2016-10-04,742.15
2016-10-05,745.1
2016-10-06,743.95
2016-10-07,733.1
2016-10-10,753.15
2016-10-13,730.85
2016-10-14,749.55
2016-10-17,760.35
2016-10-18,762.05
2016-10-19,763.15
2016-10-20,756.75
2016-10-21,760.7
2016-10-24,761.75
2016-10-25,762.4
2016-10-26,761.45
2016-10-27,760.25
2016-10-28,765.9
2016-10-30,765.95
2016-11-01,763.55
2016-11-02,760.35
2016-11-03,760.2
2016-11-04,744.65
2016-11-07,761.45
2016-11-08,760.4
2016-11-09,735.1
2016-11-10,759.5
2016-11-11,749.75
2016-11-15,742.0
2016-11-16,730.35
2016-11-17,732.35
2016-11-18,717.85
2016-11-21,694.25
2016-11-22,687.05
2016-11-23,695.55
2016-11-24,698.3
2016-11-25,700.65
2016-11-28,702.55
2016-11-29,712.9
2016-11-30,715.45
2016-12-01,710.65
2016-12-02,709.8
2016-12-05,704.1
2016-12-06,709.15
2016-12-07,704.5
2016-12-08,712.85
2016-12-09,710.15
2016-12-12,720.25
2016-12-13,714.3
2016-12-14,715.4
2016-12-15,715.45
2016-12-16,717.75
2016-12-19,706.55
2016-12-20,710.0
2016-12-21,724.75
2016-12-22,726.0
2016-12-23,725.0
2016-12-26,695.15
2016-12-27,706.75
2016-12-28,708.0
2016-12-29,706.35
2016-12-30,715.4
