Date,PIONDIST
2016-01-01,359.45
2016-01-04,377.25
2016-02-09,250.2
2016-02-10,237.7
2016-02-11,225.85
2016-02-12,214.6
2016-02-15,203.9
2016-02-16,193.75
2016-02-17,184.1
2016-02-18,174.9
2016-02-19,169.3
2016-02-22,168.9
2016-02-23,160.5
2016-02-24,152.5
2016-02-25,144.9
2016-02-26,137.7
2016-02-29,130.85
2016-03-01,124.35
2016-03-02,130.55
2016-03-03,124.05
2016-03-04,117.85
2016-03-08,112.0
2016-03-09,106.4
2016-03-10,101.1
2016-03-11,96.05
2016-03-14,91.25
2016-03-15,86.7
2016-03-16,91.0
2016-03-17,94.2
2016-03-18,93.2
2016-03-21,96.6
2016-03-22,101.4
2016-03-23,106.45
2016-03-28,111.5
2016-03-29,117.05
2016-03-30,122.9
2016-03-31,129.0
2016-04-01,135.45
2016-04-04,142.2
2016-04-05,149.3
2016-04-06,156.75
2016-04-07,164.55
2016-04-08,156.35
2016-04-11,148.55
2016-04-12,141.15
2016-04-13,134.1
2016-04-18,127.4
2016-04-20,133.75
2016-04-21,140.4
2016-04-22,137.1
2016-04-25,131.95
2016-04-26,131.55
2016-04-27,133.6
2016-04-28,131.0
2016-04-29,130.35
2016-05-02,132.6
2016-05-03,131.55
2016-05-04,125.6
2016-05-05,119.6
2016-05-06,125.55
2016-05-09,130.7
2016-05-10,127.15
2016-05-11,126.9
2016-05-12,121.55
2016-05-13,120.6
2016-05-16,116.9
2016-05-17,122.7
2016-05-18,128.8
2016-05-19,135.2
2016-05-20,138.85
2016-05-23,136.85
2016-05-24,130.1
2016-05-25,124.95
2016-05-26,124.95
2016-05-27,126.8
2016-05-30,128.9
2016-05-31,127.9
2016-06-01,128.15
2016-06-02,126.15
2016-06-03,124.3
2016-06-06,123.15
2016-06-07,123.95
2016-06-08,132.85
2016-06-09,146.1
2016-06-10,160.7
2016-06-13,156.05
2016-06-14,156.3
2016-06-15,154.45
2016-06-16,150.6
2016-06-17,145.4
2016-06-20,149.35
2016-06-21,156.8
2016-06-22,162.75
2016-06-23,160.15
2016-06-24,152.15
2016-06-27,154.1
2016-06-28,155.85
2016-06-29,163.25
2016-06-30,155.1
2016-07-01,148.6
2016-07-04,149.05
2016-07-05,150.4
2016-07-07,149.95
2016-07-08,150.1
2016-07-11,150.2
2016-07-12,149.0
2016-07-13,149.1
2016-07-14,149.65
2016-07-15,147.35
2016-07-18,146.8
2016-07-19,149.0
2016-07-20,151.4
2016-07-21,147.75
2016-07-22,149.65
2016-07-25,152.45
2016-07-26,152.65
2016-07-27,150.75
2016-07-28,148.85
2016-07-29,146.45
2016-08-01,146.15
2016-08-02,141.8
2016-08-03,147.0
2016-08-04,142.1
2016-08-05,142.75
2016-08-08,129.95
2016-08-09,124.65
2016-08-10,112.35
2016-08-11,105.3
2016-08-12,126.35
2016-08-16,145.0
2016-08-17,135.75
2016-08-18,128.55
2016-08-19,133.95
2016-08-22,131.05
2016-08-23,128.25
2016-08-24,128.4
2016-08-25,128.3
2016-08-26,126.15
2016-08-29,124.6
2016-08-30,124.25
2016-08-31,124.5
2016-09-01,125.6
2016-09-02,142.05
2016-09-06,142.6
2016-09-07,140.05
2016-09-08,143.65
2016-09-09,143.7
2016-09-12,139.8
2016-09-14,144.0
2016-09-15,144.05
2016-09-16,160.35
2016-09-19,152.95
2016-09-20,153.1
2016-09-21,150.7
2016-09-22,156.6
2016-09-23,157.4
2016-09-26,173.15
2016-09-27,207.75
2016-09-28,209.0
2016-09-29,217.4
2016-09-30,239.1
2016-10-03,235.05
2016-10-04,242.1
2016-10-05,240.4
2016-10-06,229.85
2016-10-07,224.25
2016-10-10,226.5
2016-10-13,219.95
2016-10-14,214.7
2016-10-17,214.5
2016-10-18,217.85
2016-10-19,216.1
2016-10-20,219.05
2016-10-21,216.55
2016-10-24,213.8
2016-10-25,215.8
2016-10-26,216.4
2016-10-27,217.35
2016-10-28,214.65
2016-10-30,213.85
2016-11-01,212.1
2016-11-02,209.65
2016-11-03,205.25
2016-11-04,180.8
2016-11-07,187.5
2016-11-08,189.4
2016-11-09,174.05
2016-11-10,208.85
2016-11-11,195.6
2016-11-15,179.55
2016-11-16,174.75
2016-11-17,171.85
2016-11-18,166.15
2016-11-21,154.0
2016-11-22,148.75
2016-11-23,166.45
2016-11-24,161.3
2016-11-25,177.55
2016-11-28,213.05
2016-11-29,195.75
2016-11-30,200.05
2016-12-01,195.75
2016-12-02,191.75
2016-12-05,190.75
2016-12-06,189.8
2016-12-07,186.45
2016-12-08,186.65
2016-12-09,187.45
2016-12-12,186.4
2016-12-13,188.55
2016-12-14,199.5
2016-12-15,193.4
2016-12-16,193.2
2016-12-19,187.15
2016-12-20,184.5
2016-12-21,180.75
2016-12-22,179.8
2016-12-23,180.1
2016-12-26,175.4
2016-12-27,178.1
2016-12-28,177.8
2016-12-29,187.7
2016-12-30,184.3
