Date,DOLPHINOFF
2016-01-01,132.95
2016-01-04,133.4
2016-01-05,130.1
2016-01-06,124.65
2016-01-07,120.25
2016-01-08,118.85
2016-01-11,118.85
2016-01-12,116.65
2016-01-13,108.85
2016-01-14,105.75
2016-01-15,100.6
2016-01-18,93.0
2016-01-19,102.4
2016-01-20,95.9
2016-01-21,98.9
2016-01-22,103.75
2016-01-25,102.9
2016-01-27,103.7
2016-01-28,103.95
2016-01-29,105.15
2016-02-01,104.5
2016-02-02,102.45
2016-02-03,98.0
2016-02-04,95.7
2016-02-05,93.8
2016-02-08,93.05
2016-02-09,89.25
2016-02-10,85.85
2016-02-11,82.75
2016-02-12,78.3
2016-02-15,82.65
2016-02-16,80.95
2016-02-17,76.9
2016-02-18,79.85
2016-02-19,79.0
2016-02-22,78.3
2016-02-23,75.8
2016-02-24,73.35
2016-02-25,71.9
2016-02-26,69.85
2016-02-29,68.3
2016-03-01,70.3
2016-03-02,72.85
2016-03-03,83.4
2016-03-04,83.85
2016-03-08,85.75
2016-03-09,83.1
2016-03-10,86.8
2016-03-11,85.7
2016-03-14,85.45
2016-03-15,82.95
2016-03-16,82.2
2016-03-17,83.95
2016-03-18,83.05
2016-03-21,83.85
2016-03-22,83.5
2016-03-23,83.75
2016-03-28,80.55
2016-03-29,80.15
2016-03-30,83.3
2016-03-31,82.75
2016-04-01,83.95
2016-04-04,83.25
2016-04-05,81.3
2016-04-06,80.65
2016-04-07,84.9
2016-04-08,87.3
2016-04-11,88.25
2016-04-12,89.25
2016-04-13,90.55
2016-04-18,87.35
2016-04-20,86.6
2016-04-21,86.75
2016-04-22,87.25
2016-04-25,89.5
2016-04-26,89.4
2016-04-27,101.45
2016-04-28,96.85
2016-04-29,96.85
2016-05-02,99.9
2016-05-03,97.35
2016-05-04,92.15
2016-05-05,93.25
2016-05-06,91.6
2016-05-09,92.35
2016-05-10,91.55
2016-05-11,89.35
2016-05-12,92.45
2016-05-13,90.8
2016-05-16,92.35
2016-05-17,94.8
2016-05-18,98.3
2016-05-19,92.8
2016-05-20,91.55
2016-05-23,90.65
2016-05-24,89.15
2016-05-25,90.0
2016-05-26,92.4
2016-05-27,94.15
2016-05-30,89.1
2016-05-31,87.9
2016-06-01,88.85
2016-06-02,87.25
2016-06-03,85.5
2016-06-06,86.1
2016-06-07,91.3
2016-06-08,92.4
2016-06-09,96.35
2016-06-10,94.6
2016-06-13,91.0
2016-06-14,92.6
2016-06-15,93.2
2016-06-16,91.5
2016-06-17,90.8
2016-06-20,91.65
2016-06-21,93.1
2016-06-22,91.4
2016-06-23,91.95
2016-06-24,87.55
2016-06-27,89.15
2016-06-28,90.55
2016-06-29,91.5
2016-06-30,92.4
2016-07-01,91.9
2016-07-04,92.5
2016-07-05,97.2
2016-07-07,95.25
2016-07-08,94.8
2016-07-11,95.7
2016-07-12,96.25
2016-07-13,96.6
2016-07-14,96.65
2016-07-15,94.6
2016-07-18,93.1
2016-07-19,92.45
2016-07-20,93.4
2016-07-21,93.05
2016-07-22,93.3
2016-07-25,93.6
2016-07-26,92.95
2016-07-27,91.4
2016-07-28,91.15
2016-07-29,91.9
2016-08-01,91.35
2016-08-02,90.05
2016-08-03,88.85
2016-08-04,87.75
2016-08-05,88.65
2016-08-08,96.55
2016-08-09,91.0
2016-08-10,88.55
2016-08-11,87.45
2016-08-12,87.4
2016-08-16,88.6
2016-08-17,90.6
2016-08-18,88.1
2016-08-19,90.65
2016-08-22,91.65
2016-08-23,89.9
2016-08-24,89.75
2016-08-25,89.45
2016-08-26,88.35
2016-08-29,87.9
2016-08-30,88.85
2016-08-31,88.9
2016-09-01,88.05
2016-09-02,87.65
2016-09-06,87.9
2016-09-07,90.0
2016-09-08,89.05
2016-09-09,89.05
2016-09-12,87.0
2016-09-14,86.8
2016-09-15,87.95
2016-09-16,86.5
2016-09-19,86.45
2016-09-20,86.2
2016-09-21,86.1
2016-09-22,86.45
2016-09-23,85.65
2016-09-26,83.6
2016-09-27,83.3
2016-09-28,83.95
2016-09-29,81.15
2016-09-30,83.15
2016-10-03,84.95
2016-10-04,85.55
2016-10-05,87.65
2016-10-06,88.65
2016-10-07,98.2
2016-10-10,112.25
2016-10-13,109.65
2016-10-14,107.45
2016-10-17,109.9
2016-10-18,107.6
2016-10-19,105.85
2016-10-20,104.9
2016-10-21,101.8
2016-10-24,106.35
2016-10-25,104.45
2016-10-26,101.15
2016-10-27,97.85
2016-10-28,99.3
2016-10-30,99.55
2016-11-01,101.35
2016-11-02,96.9
2016-11-03,94.9
2016-11-04,89.95
2016-11-07,91.8
2016-11-08,90.6
2016-11-09,86.25
2016-11-10,103.5
2016-11-11,100.85
2016-11-15,93.65
2016-11-16,94.35
2016-11-17,92.15
2016-11-18,92.3
2016-11-21,87.9
2016-11-22,90.5
2016-11-23,90.9
2016-11-24,90.6
2016-11-25,103.5
2016-11-28,99.4
2016-11-29,102.15
2016-11-30,113.9
2016-12-01,121.75
2016-12-02,116.9
2016-12-05,120.25
2016-12-06,119.1
2016-12-07,114.9
2016-12-08,117.15
2016-12-09,122.25
2016-12-12,141.35
2016-12-13,132.3
2016-12-14,127.3
2016-12-15,127.75
2016-12-16,127.1
2016-12-19,127.0
2016-12-20,122.15
2016-12-21,129.0
2016-12-22,122.7
2016-12-23,118.35
2016-12-26,115.75
2016-12-27,119.85
2016-12-28,123.15
2016-12-29,123.35
2016-12-30,124.05
