Date,ENGINERSIN
2016-01-01,248.9
2016-01-04,241.75
2016-01-05,240.35
2016-01-06,238.0
2016-01-07,224.6
2016-01-08,233.35
2016-01-11,231.5
2016-01-12,226.95
2016-01-13,225.15
2016-01-14,220.6
2016-01-15,210.05
2016-01-18,195.7
2016-01-19,210.8
2016-01-20,205.3
2016-01-21,207.95
2016-01-22,212.7
2016-01-25,209.85
2016-01-27,205.85
2016-01-28,193.65
2016-01-29,192.65
2016-02-01,190.95
2016-02-02,188.95
2016-02-03,183.35
2016-02-04,177.65
2016-02-05,179.85
2016-02-08,180.55
2016-02-09,176.4
2016-02-10,167.05
2016-02-11,150.05
2016-02-12,154.25
2016-02-15,157.45
2016-02-16,147.75
2016-02-17,147.35
2016-02-18,152.85
2016-02-19,152.3
2016-02-22,149.95
2016-02-23,148.65
2016-02-24,151.1
2016-02-25,149.25
2016-02-26,147.9
2016-02-29,150.2
2016-03-01,161.25
2016-03-02,159.1
2016-03-03,158.15
2016-03-04,165.65
2016-03-08,163.45
2016-03-09,163.25
2016-03-10,165.95
2016-03-11,162.5
2016-03-14,161.95
2016-03-15,160.15
2016-03-16,160.8
2016-03-17,160.6
2016-03-18,161.9
2016-03-21,166.0
2016-03-22,168.15
2016-03-23,167.2
2016-03-28,163.95
2016-03-29,162.05
2016-03-30,166.75
2016-03-31,170.1
2016-04-01,170.55
2016-04-04,171.9
2016-04-05,167.95
2016-04-06,166.25
2016-04-07,163.95
2016-04-08,162.35
2016-04-11,163.75
2016-04-12,169.65
2016-04-13,173.85
2016-04-18,173.3
2016-04-20,172.8
2016-04-21,176.6
2016-04-22,181.7
2016-04-25,180.65
2016-04-26,182.85
2016-04-27,184.7
2016-04-28,180.75
2016-04-29,179.3
2016-05-02,179.4
2016-05-03,180.6
2016-05-04,172.0
2016-05-05,173.4
2016-05-06,173.65
2016-05-09,174.05
2016-05-10,181.55
2016-05-11,184.25
2016-05-12,185.95
2016-05-13,178.65
2016-05-16,176.85
2016-05-17,182.7
2016-05-18,182.05
2016-05-19,180.75
2016-05-20,177.6
2016-05-23,176.25
2016-05-24,176.7
2016-05-25,178.5
2016-05-26,182.1
2016-05-27,180.45
2016-05-30,181.7
2016-05-31,179.35
2016-06-01,183.2
2016-06-02,195.25
2016-06-03,192.2
2016-06-06,189.65
2016-06-07,193.25
2016-06-08,194.0
2016-06-09,193.0
2016-06-10,192.65
2016-06-13,191.4
2016-06-14,194.15
2016-06-15,196.85
2016-06-16,200.7
2016-06-17,200.9
2016-06-20,201.3
2016-06-21,200.95
2016-06-22,199.5
2016-06-23,197.95
2016-06-24,197.1
2016-06-27,198.05
2016-06-28,203.2
2016-06-29,203.95
2016-06-30,203.7
2016-07-01,209.45
2016-07-04,210.9
2016-07-05,210.9
2016-07-07,209.3
2016-07-08,206.4
2016-07-11,207.75
2016-07-12,213.8
2016-07-13,209.55
2016-07-14,210.8
2016-07-15,207.45
2016-07-18,204.9
2016-07-19,205.55
2016-07-20,207.45
2016-07-21,222.45
2016-07-22,225.85
2016-07-25,229.5
2016-07-26,223.9
2016-07-27,228.35
2016-07-28,225.3
2016-07-29,227.15
2016-08-01,223.85
2016-08-02,223.85
2016-08-03,216.25
2016-08-04,217.5
2016-08-05,220.2
2016-08-08,229.45
2016-08-09,226.2
2016-08-10,221.05
2016-08-11,218.4
2016-08-12,217.4
2016-08-16,222.8
2016-08-17,228.1
2016-08-18,228.4
2016-08-19,235.8
2016-08-22,232.55
2016-08-23,231.85
2016-08-24,251.2
2016-08-25,260.25
2016-08-26,264.0
2016-08-29,264.7
2016-08-30,264.65
2016-08-31,261.6
2016-09-01,269.6
2016-09-02,269.65
2016-09-06,269.25
2016-09-07,267.7
2016-09-08,270.6
2016-09-09,265.15
2016-09-12,252.7
2016-09-14,259.5
2016-09-15,257.45
2016-09-16,256.05
2016-09-19,265.25
2016-09-20,261.75
2016-09-21,257.55
2016-09-22,261.65
2016-09-23,256.3
2016-09-26,255.3
2016-09-27,252.4
2016-09-28,256.65
2016-09-29,240.9
2016-09-30,248.45
2016-10-03,254.3
2016-10-04,253.55
2016-10-05,254.45
2016-10-06,257.8
2016-10-07,267.2
2016-10-10,266.2
2016-10-13,253.95
2016-10-14,253.95
2016-10-17,255.9
2016-10-18,263.0
2016-10-19,259.55
2016-10-20,266.05
2016-10-21,267.4
2016-10-24,276.65
2016-10-25,272.95
2016-10-26,270.25
2016-10-27,268.0
2016-10-28,269.35
2016-10-30,271.25
2016-11-01,271.65
2016-11-02,262.35
2016-11-03,251.15
2016-11-04,245.65
2016-11-07,251.1
2016-11-08,262.1
2016-11-09,266.2
2016-11-10,268.05
2016-11-11,268.0
2016-11-15,257.05
2016-11-16,259.85
2016-11-17,266.3
2016-11-18,283.6
2016-11-21,270.4
2016-11-22,274.85
2016-11-23,276.45
2016-11-24,277.35
2016-11-25,279.65
2016-11-28,292.5
2016-11-29,293.3
2016-11-30,292.8
2016-12-01,299.4
2016-12-02,289.95
2016-12-05,299.4
2016-12-06,293.9
2016-12-07,298.05
2016-12-08,306.1
2016-12-09,306.3
2016-12-12,311.85
2016-12-13,312.9
2016-12-14,305.7
2016-12-15,304.7
2016-12-16,306.1
2016-12-19,316.0
2016-12-20,312.85
2016-12-21,317.95
2016-12-22,316.4
2016-12-23,323.5
2016-12-26,301.95
2016-12-27,318.85
2016-12-28,331.85
2016-12-29,336.35
2016-12-30,151.0
