Date,NECCLTD
2016-03-02,48.15
2016-03-03,48.9
2016-03-04,51.0
2016-03-08,49.0
2016-03-09,49.7
2016-03-10,48.2
2016-03-11,50.45
2016-03-14,50.15
2016-03-15,48.35
2016-03-16,49.4
2016-03-17,51.0
2016-03-18,51.0
2016-03-21,49.0
2016-03-22,49.0
2016-03-23,49.0
2016-03-28,48.1
2016-03-29,48.35
2016-03-30,46.95
2016-03-31,44.0
2016-04-01,49.0
2016-04-04,46.75
2016-04-05,38.1
2016-04-06,37.9
2016-04-07,37.4
2016-04-08,38.1
2016-04-11,37.65
2016-04-12,37.95
2016-04-13,37.1
2016-04-18,37.55
2016-04-20,37.7
2016-04-21,38.1
2016-04-22,37.9
2016-04-25,36.55
2016-04-26,37.65
2016-04-27,37.3
2016-04-28,37.7
2016-04-29,36.6
2016-05-02,37.35
2016-05-03,37.65
2016-05-04,36.7
2016-05-05,36.5
2016-05-06,36.95
2016-05-10,37.2
2016-05-11,36.0
2016-05-12,35.65
2016-05-13,36.0
2016-05-16,36.0
2016-05-17,35.35
2016-05-18,35.8
2016-05-19,35.55
2016-05-20,35.5
2016-05-23,35.8
2016-05-24,35.05
2016-05-25,34.8
2016-05-26,35.55
2016-05-27,35.7
2016-05-30,35.35
2016-05-31,35.1
2016-06-01,33.4
2016-06-02,33.55
2016-06-03,34.6
2016-06-06,32.45
2016-06-07,35.8
2016-06-08,34.6
2016-06-09,34.9
2016-06-10,34.7
2016-06-13,35.7
2016-06-14,35.3
2016-06-15,35.0
2016-06-16,34.85
2016-06-17,34.3
2016-06-20,34.05
2016-06-21,33.55
2016-06-22,34.25
2016-06-24,34.1
2016-06-27,35.0
2016-06-28,35.9
2016-06-29,34.1
2016-06-30,34.6
2016-07-01,34.0
2016-07-04,34.0
2016-07-05,35.3
2016-07-07,35.0
2016-07-08,35.0
2016-07-11,35.7
2016-07-12,35.5
2016-07-13,35.4
2016-07-14,35.0
2016-07-15,35.5
2016-07-18,35.2
2016-07-19,41.0
2016-07-20,49.15
2016-07-21,44.85
2016-07-22,43.75
2016-07-25,45.75
2016-07-26,43.25
2016-07-27,41.9
2016-07-28,42.45
2016-07-29,43.5
2016-08-01,42.1
2016-08-02,44.65
2016-08-03,43.6
2016-08-04,41.25
2016-08-05,41.65
2016-08-08,41.35
2016-08-09,40.4
2016-08-10,40.85
2016-08-11,41.65
2016-08-12,41.0
2016-08-16,39.0
2016-08-17,38.55
2016-08-18,39.4
2016-08-19,39.95
2016-08-22,39.5
2016-08-23,38.65
2016-08-24,38.55
2016-08-25,38.15
2016-08-26,37.9
2016-08-29,37.9
2016-08-30,38.3
2016-08-31,42.45
2016-09-01,41.75
2016-09-02,41.0
2016-09-06,39.15
2016-09-07,39.2
2016-09-08,39.0
2016-09-09,38.7
2016-09-12,38.35
2016-09-14,39.15
2016-09-15,39.55
2016-09-16,39.9
2016-09-19,40.4
2016-09-20,39.75
2016-09-21,38.85
2016-09-22,39.5
2016-09-23,39.35
2016-09-26,38.85
2016-09-27,38.1
2016-09-28,40.35
2016-09-29,38.35
2016-09-30,38.9
2016-10-03,40.0
2016-10-04,40.25
2016-10-05,41.35
2016-10-06,40.2
2016-10-07,40.5
2016-10-10,40.75
2016-10-13,39.85
2016-10-14,41.15
2016-10-17,41.75
2016-10-18,40.2
2016-10-19,40.1
2016-10-20,40.95
2016-10-21,41.0
2016-10-24,40.6
2016-10-25,40.45
2016-10-26,41.05
2016-10-27,42.1
2016-10-28,41.8
2016-10-30,42.95
2016-11-01,45.0
2016-11-02,43.75
2016-11-03,45.0
2016-11-04,43.75
2016-11-07,44.0
2016-11-08,43.0
2016-11-09,40.55
2016-11-10,42.25
2016-11-11,41.45
2016-11-15,41.5
2016-11-16,41.5
2016-11-17,39.6
2016-11-18,40.5
2016-11-21,38.25
2016-11-22,38.05
2016-11-23,38.75
2016-11-24,39.45
2016-11-25,39.3
2016-11-28,40.75
2016-11-29,40.45
2016-11-30,39.75
2016-12-01,40.0
2016-12-02,39.0
2016-12-05,39.1
2016-12-06,39.95
2016-12-07,39.45
2016-12-08,40.7
2016-12-09,39.75
2016-12-12,39.05
2016-12-13,38.9
2016-12-14,39.85
2016-12-15,38.15
2016-12-16,36.65
2016-12-19,36.7
2016-12-20,36.75
2016-12-21,37.6
2016-12-22,37.8
2016-12-23,36.6
2016-12-26,36.85
2016-12-27,37.0
2016-12-28,37.0
2016-12-29,37.9
2016-12-30,42.95
