Date,DCW
2016-01-01,27.2
2016-01-04,26.55
2016-01-05,29.0
2016-01-06,28.0
2016-01-07,25.9
2016-01-08,29.35
2016-01-11,31.05
2016-01-12,30.1
2016-01-13,27.75
2016-01-14,27.1
2016-01-15,25.65
2016-01-18,23.85
2016-01-19,24.75
2016-01-20,23.7
2016-01-21,23.55
2016-01-22,24.4
2016-01-25,24.55
2016-01-27,24.55
2016-01-28,24.25
2016-01-29,25.4
2016-02-01,25.25
2016-02-02,24.75
2016-02-03,23.4
2016-02-04,23.4
2016-02-05,23.45
2016-02-08,23.35
2016-02-09,23.15
2016-02-10,22.45
2016-02-11,20.5
2016-02-12,20.5
2016-02-15,21.45
2016-02-16,20.2
2016-02-17,20.0
2016-02-18,20.2
2016-02-19,20.2
2016-02-22,20.85
2016-02-23,20.25
2016-02-24,19.6
2016-02-25,19.55
2016-02-26,19.35
2016-02-29,19.3
2016-03-01,20.65
2016-03-02,21.6
2016-03-03,21.9
2016-03-04,22.05
2016-03-08,22.0
2016-03-09,21.95
2016-03-10,22.7
2016-03-11,22.65
2016-03-14,22.5
2016-03-15,22.05
2016-03-16,22.1
2016-03-17,22.3
2016-03-18,22.15
2016-03-21,23.4
2016-03-22,23.2
2016-03-23,23.25
2016-03-28,23.4
2016-03-29,23.85
2016-03-30,24.45
2016-03-31,23.95
2016-04-01,24.15
2016-04-04,25.2
2016-04-05,24.4
2016-04-06,25.05
2016-04-07,25.25
2016-04-08,24.95
2016-04-11,25.1
2016-04-12,26.9
2016-04-13,27.45
2016-04-18,26.85
2016-04-20,26.4
2016-04-21,26.15
2016-04-22,26.15
2016-04-25,26.2
2016-04-26,27.8
2016-04-27,27.55
2016-04-28,28.1
2016-04-29,28.95
2016-05-02,29.25
2016-05-03,28.25
2016-05-04,27.35
2016-05-05,27.65
2016-05-06,28.0
2016-05-09,28.8
2016-05-10,29.5
2016-05-11,30.3
2016-05-12,30.2
2016-05-13,29.6
2016-05-16,29.3
2016-05-17,29.3
2016-05-18,30.35
2016-05-19,29.1
2016-05-20,28.9
2016-05-23,29.3
2016-05-24,28.75
2016-05-25,27.15
2016-05-26,26.8
2016-05-27,28.65
2016-05-30,28.85
2016-05-31,28.75
2016-06-01,28.95
2016-06-02,28.25
2016-06-03,28.05
2016-06-06,28.05
2016-06-07,27.75
2016-06-08,29.55
2016-06-09,30.2
2016-06-10,29.0
2016-06-13,28.35
2016-06-14,29.15
2016-06-15,29.15
2016-06-16,28.2
2016-06-17,28.5
2016-06-20,28.6
2016-06-21,28.45
2016-06-22,27.7
2016-06-23,27.25
2016-06-24,27.15
2016-06-27,27.4
2016-06-28,31.55
2016-06-29,32.6
2016-06-30,31.4
2016-07-01,32.2
2016-07-04,33.6
2016-07-05,32.05
2016-07-07,30.95
2016-07-08,31.0
2016-07-11,31.15
2016-07-12,30.9
2016-07-13,29.8
2016-07-14,29.85
2016-07-15,28.95
2016-07-18,29.25
2016-07-19,28.8
2016-07-20,29.8
2016-07-21,29.6
2016-07-22,31.1
2016-07-25,31.9
2016-07-26,30.75
2016-07-27,30.15
2016-07-28,29.95
2016-07-29,29.3
2016-08-01,28.9
2016-08-02,28.65
2016-08-03,28.65
2016-08-04,28.5
2016-08-05,29.2
2016-08-08,28.85
2016-08-09,28.35
2016-08-10,27.85
2016-08-11,27.45
2016-08-12,27.7
2016-08-16,27.15
2016-08-17,28.0
2016-08-18,28.1
2016-08-19,27.8
2016-08-22,29.35
2016-08-23,28.75
2016-08-24,30.55
2016-08-25,30.0
2016-08-26,29.65
2016-08-29,31.45
2016-08-30,30.8
2016-08-31,30.05
2016-09-01,29.6
2016-09-02,30.4
2016-09-06,29.7
2016-09-07,27.7
2016-09-08,27.55
2016-09-09,28.15
2016-09-12,26.9
2016-09-14,28.5
2016-09-15,28.4
2016-09-16,27.95
2016-09-19,28.25
2016-09-20,28.2
2016-09-21,28.0
2016-09-22,28.0
2016-09-23,27.95
2016-09-26,27.65
2016-09-27,28.15
2016-09-28,30.6
2016-09-29,26.9
2016-09-30,27.75
2016-10-03,30.55
2016-10-04,30.85
2016-10-05,32.0
2016-10-06,30.95
2016-10-07,33.55
2016-10-10,35.95
2016-10-13,37.8
2016-10-14,38.35
2016-10-17,35.85
2016-10-18,37.9
2016-10-19,37.05
2016-10-20,37.3
2016-10-21,39.4
2016-10-24,37.85
2016-10-25,37.05
2016-10-26,36.55
2016-10-27,36.45
2016-10-28,36.65
2016-10-30,36.85
2016-11-01,35.7
2016-11-02,34.25
2016-11-03,33.65
2016-11-04,32.35
2016-11-07,32.75
2016-11-08,32.2
2016-11-09,31.75
2016-11-10,31.9
2016-11-11,30.75
2016-11-15,28.4
2016-11-16,28.55
2016-11-17,28.3
2016-11-18,28.8
2016-11-21,26.55
2016-11-22,27.45
2016-11-23,28.4
2016-11-24,28.2
2016-11-25,28.45
2016-11-28,28.35
2016-11-29,28.7
2016-11-30,28.45
2016-12-01,28.05
2016-12-02,27.75
2016-12-05,28.65
2016-12-06,29.85
2016-12-07,30.5
2016-12-08,30.9
2016-12-09,29.6
2016-12-12,29.1
2016-12-13,30.8
2016-12-14,29.55
2016-12-15,29.65
2016-12-16,29.85
2016-12-19,29.35
2016-12-20,28.5
2016-12-21,28.45
2016-12-22,28.0
2016-12-23,29.55
2016-12-26,28.85
2016-12-27,28.85
2016-12-28,28.1
2016-12-29,28.2
2016-12-30,29.25
