Date,SETFNN50
2016-01-01,203.35
2016-01-04,201.79
2016-01-05,202.15
2016-01-06,202.0
2016-01-07,196.0
2016-01-11,196.05
2016-01-12,195.15
2016-01-13,191.05
2016-01-14,191.65
2016-01-15,189.45
2016-01-18,181.86
2016-01-19,183.75
2016-01-20,181.82
2016-01-21,178.35
2016-01-22,182.5
2016-01-25,183.0
2016-01-27,183.4
2016-01-28,182.9
2016-01-29,184.2
2016-02-01,184.8
2016-02-03,181.15
2016-02-04,180.0
2016-02-05,183.2
2016-02-09,181.1
2016-02-10,177.55
2016-02-11,173.25
2016-02-12,172.3
2016-02-15,178.0
2016-02-16,176.1
2016-02-17,171.5
2016-02-18,175.0
2016-02-23,175.0
2016-02-24,173.05
2016-02-25,171.75
2016-02-26,173.05
2016-02-29,173.05
2016-03-02,183.35
2016-03-03,182.8
2016-03-04,184.0
2016-03-08,184.0
2016-03-09,186.3
2016-03-10,183.0
2016-03-11,185.4
2016-03-14,186.0
2016-03-15,184.4
2016-03-16,181.3
2016-03-17,183.4
2016-03-18,184.9
2016-03-21,189.45
2016-03-22,187.15
2016-03-28,186.15
2016-03-29,184.66
2016-03-30,175.59
2016-03-31,191.3
2016-04-04,189.5
2016-04-05,188.05
2016-04-07,189.1
2016-04-11,188.65
2016-04-18,195.5
2016-04-20,197.65
2016-04-21,197.0
2016-04-22,197.7
2016-04-26,203.99
2016-04-27,203.99
2016-04-28,203.99
2016-04-29,197.45
2016-05-02,198.0
2016-05-03,199.0
2016-05-04,196.0
2016-05-05,195.75
2016-05-06,194.6
2016-05-09,195.35
2016-05-10,198.15
2016-05-11,198.6
2016-05-12,199.0
2016-05-13,201.09
2016-05-16,198.5
2016-05-17,196.15
2016-05-19,196.2
2016-05-20,197.1
2016-05-23,196.0
2016-05-24,194.5
2016-05-25,197.6
2016-05-26,197.8
2016-05-27,199.0
2016-05-30,201.6
2016-05-31,200.0
2016-06-01,202.0
2016-06-02,201.3
2016-06-03,202.3
2016-06-06,217.3
2016-06-07,202.0
2016-06-08,203.25
2016-06-09,207.8
2016-06-10,202.42
2016-06-13,201.0
2016-06-14,205.0
2016-06-15,203.7
2016-06-16,201.6
2016-06-20,202.0
2016-06-21,201.0
2016-06-22,202.0
2016-06-23,200.65
2016-06-24,198.3
2016-06-27,202.75
2016-06-28,203.0
2016-06-29,205.0
2016-06-30,206.3
2016-07-01,209.75
2016-07-04,219.57
2016-07-05,214.55
2016-07-07,213.0
2016-07-08,211.5
2016-07-11,215.4
2016-07-12,218.0
2016-07-13,215.8
2016-07-14,217.0
2016-07-15,217.5
2016-07-18,217.8
2016-07-19,217.0
2016-07-20,218.1
2016-07-21,220.35
2016-07-22,222.25
2016-07-25,225.15
2016-07-26,225.57
2016-07-27,225.17
2016-07-28,226.6
2016-07-29,227.65
2016-08-01,228.0
2016-08-02,225.83
2016-08-03,223.63
2016-08-04,225.1
2016-08-05,227.0
2016-08-08,230.6
2016-08-09,229.5
2016-08-10,224.4
2016-08-11,224.1
2016-08-12,228.3
2016-08-17,230.2
2016-08-18,233.25
2016-08-19,232.15
2016-08-22,231.18
2016-08-23,230.2
2016-08-24,232.3
2016-08-25,230.9
2016-08-26,231.85
2016-08-29,231.6
2016-08-30,233.2
2016-08-31,233.0
2016-09-01,233.0
2016-09-02,232.75
2016-09-06,237.0
2016-09-07,237.55
2016-09-08,239.0
2016-09-09,239.2
2016-09-12,230.5
2016-09-14,232.2
2016-09-15,232.65
2016-09-16,234.65
2016-09-19,234.4
2016-09-20,232.1
2016-09-21,232.35
2016-09-22,234.8
2016-09-23,235.6
2016-09-26,236.0
2016-09-27,235.05
2016-09-28,235.85
2016-09-29,230.95
2016-09-30,232.45
2016-10-03,237.25
2016-10-04,240.6
2016-10-05,241.25
2016-10-06,243.6
2016-10-07,241.5
2016-10-10,243.0
2016-10-13,238.63
2016-10-14,240.1
2016-10-17,238.55
2016-10-18,239.6
2016-10-19,243.0
2016-10-20,240.7
2016-10-21,245.75
2016-10-24,246.0
2016-10-25,246.85
2016-10-26,247.0
2016-10-27,236.0
2016-10-28,238.35
2016-10-30,262.03
2016-11-01,252.51
2016-11-02,238.05
2016-11-03,235.19
2016-11-04,231.4
2016-11-07,239.91
2016-11-08,243.63
2016-11-09,234.42
2016-11-10,230.85
2016-11-11,224.98
2016-11-15,215.17
2016-11-16,216.02
2016-11-17,217.05
2016-11-18,216.65
2016-11-21,207.04
2016-11-22,214.5
2016-11-23,217.05
2016-11-24,216.8
2016-11-25,221.0
2016-11-28,222.97
2016-11-29,222.45
2016-11-30,226.4
2016-12-01,224.4
2016-12-02,221.25
2016-12-05,220.95
2016-12-06,225.0
2016-12-07,222.5
2016-12-08,226.0
2016-12-09,226.2
2016-12-12,224.29
2016-12-13,222.05
2016-12-14,220.95
2016-12-15,220.45
2016-12-16,219.25
2016-12-19,218.0
2016-12-20,216.0
2016-12-21,215.7
2016-12-22,212.55
2016-12-23,211.95
2016-12-26,208.25
2016-12-27,210.95
2016-12-28,213.59
2016-12-29,215.5
2016-12-30,217.5
