Date,BLUEBLENDS
2016-01-04,45.7
2016-03-09,99.25
2016-03-10,98.85
2016-03-11,103.7
2016-03-14,103.65
2016-03-15,99.05
2016-03-16,98.05
2016-03-17,97.3
2016-03-18,98.1
2016-03-21,96.25
2016-03-22,96.4
2016-03-23,97.65
2016-03-28,94.8
2016-03-29,90.1
2016-03-30,85.6
2016-03-31,81.35
2016-04-01,82.75
2016-04-04,85.55
2016-04-05,84.7
2016-04-06,83.2
2016-04-07,83.6
2016-04-08,83.9
2016-04-11,83.4
2016-04-12,86.8
2016-04-13,89.55
2016-04-18,90.55
2016-04-20,91.15
2016-04-21,90.7
2016-04-22,89.6
2016-04-25,89.95
2016-04-26,89.25
2016-04-27,89.5
2016-04-28,89.1
2016-04-29,88.15
2016-05-02,88.8
2016-05-03,89.9
2016-05-04,92.0
2016-05-05,90.4
2016-05-06,89.05
2016-05-09,90.3
2016-05-10,89.8
2016-05-11,97.35
2016-05-12,96.75
2016-05-13,98.9
2016-05-16,90.95
2016-05-17,85.05
2016-05-18,83.8
2016-05-19,81.9
2016-05-20,84.35
2016-05-23,85.0
2016-05-24,83.45
2016-05-25,85.9
2016-05-26,84.1
2016-05-27,83.95
2016-05-30,83.55
2016-05-31,84.25
2016-06-01,84.35
2016-06-02,84.3
2016-06-03,82.95
2016-06-06,81.75
2016-06-07,84.2
2016-06-08,82.45
2016-06-09,81.45
2016-06-10,79.1
2016-06-13,79.1
2016-06-14,76.55
2016-06-15,76.15
2016-06-16,74.95
2016-06-17,74.05
2016-06-20,61.65
2016-06-21,58.75
2016-06-22,62.85
2016-06-23,68.85
2016-06-24,62.6
2016-06-27,64.85
2016-06-28,65.9
2016-06-29,63.6
2016-06-30,67.4
2016-07-01,66.65
2016-07-04,66.8
2016-07-05,66.3
2016-07-07,67.75
2016-07-08,68.25
2016-07-11,68.45
2016-07-12,65.9
2016-07-13,65.1
2016-07-14,64.95
2016-07-15,65.95
2016-07-18,65.05
2016-07-19,65.5
2016-07-20,66.75
2016-07-21,67.0
2016-07-22,66.05
2016-07-25,67.45
2016-07-26,70.35
2016-07-27,72.1
2016-07-28,80.2
2016-07-29,80.45
2016-08-01,79.6
2016-08-02,75.8
2016-08-03,73.05
2016-08-04,70.9
2016-08-05,69.55
2016-08-08,70.0
2016-08-09,70.2
2016-08-10,66.35
2016-08-11,68.3
2016-08-12,66.45
2016-08-16,70.0
2016-08-17,70.3
2016-08-18,69.25
2016-08-19,70.7
2016-08-22,70.5
2016-08-23,69.55
2016-08-24,68.4
2016-08-25,68.25
2016-08-26,67.85
2016-08-29,66.95
2016-08-30,66.7
2016-08-31,67.65
2016-09-01,68.45
2016-09-02,66.45
2016-09-06,64.6
2016-09-07,63.5
2016-09-08,64.95
2016-09-09,59.25
2016-09-12,58.05
2016-09-14,58.75
2016-09-15,59.95
2016-09-16,59.2
2016-09-19,57.05
2016-09-20,56.55
2016-09-21,56.8
2016-09-22,55.85
2016-09-23,56.75
2016-09-26,57.8
2016-09-27,57.05
2016-09-28,52.7
2016-09-29,48.85
2016-09-30,48.15
2016-10-03,48.55
2016-10-04,49.25
2016-10-05,52.5
2016-10-06,53.35
2016-10-07,52.8
2016-10-10,52.05
2016-10-13,52.9
2016-10-14,54.9
2016-10-17,57.5
2016-10-18,62.05
2016-10-19,62.65
2016-10-20,62.95
2016-10-21,62.15
2016-10-24,64.45
2016-10-25,62.4
2016-10-26,60.9
2016-10-27,62.5
2016-10-28,62.65
2016-10-30,62.45
2016-11-01,62.15
2016-11-02,58.9
2016-11-03,60.35
2016-11-04,56.15
2016-11-07,55.65
2016-11-08,56.75
2016-11-09,51.0
2016-11-10,50.7
2016-11-11,49.7
2016-11-15,46.55
2016-11-16,46.05
2016-11-17,43.55
2016-11-18,42.35
2016-11-21,41.6
2016-11-22,40.25
2016-11-23,42.05
2016-11-24,44.35
2016-11-25,47.65
2016-11-28,49.1
2016-11-29,50.25
2016-11-30,47.4
2016-12-01,48.8
2016-12-02,48.45
2016-12-05,46.6
2016-12-06,48.75
2016-12-07,48.2
2016-12-08,48.4
2016-12-09,47.4
2016-12-12,48.7
2016-12-13,48.15
2016-12-14,48.15
2016-12-15,47.5
2016-12-16,46.45
2016-12-19,45.85
2016-12-20,43.85
2016-12-21,43.9
2016-12-22,43.15
2016-12-23,42.05
2016-12-26,42.0
2016-12-27,41.6
2016-12-28,41.7
2016-12-29,42.2
2016-12-30,43.5
