Date,JSWENERGY
2016-01-01,86.65
2016-01-04,85.1
2016-01-05,85.0
2016-01-06,84.05
2016-01-07,79.6
2016-01-08,82.9
2016-01-11,82.95
2016-01-12,83.7
2016-01-13,80.0
2016-01-14,77.9
2016-01-15,72.3
2016-01-18,70.25
2016-01-19,74.5
2016-01-20,69.6
2016-01-21,73.45
2016-01-22,74.3
2016-01-25,73.65
2016-01-27,73.95
2016-01-28,74.5
2016-01-29,76.65
2016-02-01,75.15
2016-02-02,74.4
2016-02-03,69.15
2016-02-04,70.0
2016-02-05,70.75
2016-02-08,70.25
2016-02-09,69.35
2016-02-10,68.15
2016-02-11,62.6
2016-02-12,62.75
2016-02-15,65.8
2016-02-16,63.6
2016-02-17,64.8
2016-02-18,67.85
2016-02-19,66.05
2016-02-22,65.85
2016-02-23,64.3
2016-02-24,65.2
2016-02-25,62.8
2016-02-26,62.25
2016-02-29,61.75
2016-03-01,63.15
2016-03-02,63.1
2016-03-03,66.05
2016-03-04,69.4
2016-03-08,69.6
2016-03-09,69.1
2016-03-10,69.95
2016-03-11,69.1
2016-03-14,68.45
2016-03-15,66.5
2016-03-16,68.2
2016-03-17,68.35
2016-03-18,70.55
2016-03-21,71.65
2016-03-22,72.3
2016-03-23,70.25
2016-03-28,65.9
2016-03-29,66.7
2016-03-30,68.95
2016-03-31,69.55
2016-04-01,67.95
2016-04-04,67.95
2016-04-05,66.0
2016-04-06,66.3
2016-04-07,65.95
2016-04-08,65.2
2016-04-11,67.0
2016-04-12,68.35
2016-04-13,69.75
2016-04-18,71.6
2016-04-20,72.1
2016-04-21,70.7
2016-04-22,69.65
2016-04-25,68.05
2016-04-26,68.15
2016-04-27,67.85
2016-04-28,67.3
2016-04-29,67.7
2016-05-02,67.1
2016-05-03,66.6
2016-05-04,66.65
2016-05-05,66.7
2016-05-06,67.75
2016-05-09,68.55
2016-05-10,68.55
2016-05-11,68.0
2016-05-12,67.8
2016-05-13,67.65
2016-05-16,70.2
2016-05-17,71.0
2016-05-18,70.8
2016-05-19,69.4
2016-05-20,68.0
2016-05-23,67.2
2016-05-24,67.0
2016-05-25,67.9
2016-05-26,68.5
2016-05-27,71.7
2016-05-30,71.8
2016-05-31,71.15
2016-06-01,70.3
2016-06-02,70.1
2016-06-03,69.1
2016-06-06,69.55
2016-06-07,70.75
2016-06-08,80.45
2016-06-09,78.3
2016-06-10,80.0
2016-06-13,78.8
2016-06-14,79.15
2016-06-15,81.95
2016-06-16,84.3
2016-06-17,84.1
2016-06-20,83.65
2016-06-21,83.3
2016-06-22,79.35
2016-06-23,80.7
2016-06-24,79.9
2016-06-27,80.05
2016-06-28,79.9
2016-06-29,84.55
2016-06-30,83.9
2016-07-01,83.2
2016-07-04,84.5
2016-07-05,85.05
2016-07-07,84.3
2016-07-08,83.65
2016-07-11,82.05
2016-07-12,83.1
2016-07-13,80.95
2016-07-14,80.2
2016-07-15,80.05
2016-07-18,80.05
2016-07-19,81.3
2016-07-20,83.55
2016-07-21,79.85
2016-07-22,79.45
2016-07-25,80.2
2016-07-26,79.45
2016-07-27,78.5
2016-07-28,81.05
2016-07-29,82.55
2016-08-01,82.5
2016-08-02,81.7
2016-08-03,79.5
2016-08-04,79.75
2016-08-05,81.5
2016-08-08,82.15
2016-08-09,82.95
2016-08-10,81.5
2016-08-11,77.9
2016-08-12,80.0
2016-08-16,78.15
2016-08-17,78.95
2016-08-18,79.5
2016-08-19,79.5
2016-08-22,78.6
2016-08-23,78.55
2016-08-24,79.0
2016-08-25,80.05
2016-08-26,78.0
2016-08-29,77.8
2016-08-30,77.95
2016-08-31,77.7
2016-09-01,76.2
2016-09-02,76.5
2016-09-06,77.5
2016-09-07,77.85
2016-09-08,79.6
2016-09-09,81.85
2016-09-12,79.1
2016-09-14,81.3
2016-09-15,80.7
2016-09-16,79.65
2016-09-19,80.45
2016-09-20,79.4
2016-09-21,79.2
2016-09-22,78.75
2016-09-23,79.05
2016-09-26,77.55
2016-09-27,77.6
2016-09-28,77.6
2016-09-29,72.9
2016-09-30,73.05
2016-10-03,74.35
2016-10-04,75.2
2016-10-05,74.7
2016-10-06,74.5
2016-10-07,73.6
2016-10-10,74.25
2016-10-13,70.1
2016-10-14,71.0
2016-10-17,69.95
2016-10-18,70.8
2016-10-19,71.5
2016-10-20,71.85
2016-10-21,70.95
2016-10-24,70.75
2016-10-25,70.0
2016-10-26,66.7
2016-10-27,65.05
2016-10-28,65.4
2016-10-30,65.7
2016-11-01,66.55
2016-11-02,65.4
2016-11-03,64.2
2016-11-04,62.7
2016-11-07,62.85
2016-11-08,62.4
2016-11-09,59.1
2016-11-10,62.8
2016-11-11,61.1
2016-11-15,57.2
2016-11-16,57.95
2016-11-17,56.85
2016-11-18,56.85
2016-11-21,54.65
2016-11-22,54.3
2016-11-23,55.3
2016-11-24,54.8
2016-11-25,56.7
2016-11-28,57.3
2016-11-29,59.3
2016-11-30,59.6
2016-12-01,58.6
2016-12-02,56.95
2016-12-05,56.4
2016-12-06,58.35
2016-12-07,57.45
2016-12-08,58.1
2016-12-09,58.85
2016-12-12,58.5
2016-12-13,58.75
2016-12-14,59.25
2016-12-15,61.75
2016-12-16,60.05
2016-12-19,60.4
2016-12-20,59.1
2016-12-21,59.8
2016-12-22,58.6
2016-12-23,58.35
2016-12-26,55.45
2016-12-27,56.7
2016-12-28,58.7
2016-12-29,59.75
2016-12-30,60.85
