Date,KOKUYOCMLN
2016-01-01,100.25
2016-01-04,98.2
2016-01-05,97.2
2016-01-06,99.2
2016-01-07,95.2
2016-01-08,96.6
2016-01-11,95.55
2016-01-12,96.8
2016-01-13,90.85
2016-01-14,91.4
2016-01-15,87.55
2016-01-18,79.75
2016-01-19,84.7
2016-01-20,82.2
2016-01-21,83.95
2016-01-22,85.1
2016-01-25,85.65
2016-01-27,85.85
2016-01-28,87.8
2016-01-29,84.65
2016-02-01,80.4
2016-02-02,79.8
2016-02-03,76.4
2016-02-04,74.3
2016-02-05,76.2
2016-02-08,77.25
2016-02-09,76.05
2016-02-10,72.9
2016-02-11,69.2
2016-02-12,68.85
2016-02-15,72.35
2016-02-16,68.2
2016-02-17,69.55
2016-02-18,69.9
2016-02-19,69.65
2016-02-22,69.2
2016-02-23,69.4
2016-02-24,67.7
2016-02-25,67.7
2016-02-26,67.6
2016-02-29,68.2
2016-03-01,72.15
2016-03-02,78.2
2016-03-03,80.8
2016-03-04,80.45
2016-03-08,79.75
2016-03-09,81.4
2016-03-10,87.35
2016-03-11,83.2
2016-03-14,83.55
2016-03-15,85.95
2016-03-16,85.95
2016-03-17,83.8
2016-03-18,83.3
2016-03-21,84.25
2016-03-22,85.1
2016-03-23,83.3
2016-03-28,80.9
2016-03-29,82.4
2016-03-30,83.45
2016-03-31,83.3
2016-04-01,83.25
2016-04-04,83.5
2016-04-05,83.45
2016-04-06,82.65
2016-04-07,81.75
2016-04-08,83.8
2016-04-11,82.8
2016-04-12,83.3
2016-04-13,86.1
2016-04-18,87.75
2016-04-20,89.3
2016-04-21,86.5
2016-04-22,88.95
2016-04-25,92.25
2016-04-26,90.75
2016-04-27,90.65
2016-04-28,89.8
2016-04-29,88.75
2016-05-02,87.75
2016-05-03,88.95
2016-05-04,87.1
2016-05-05,87.1
2016-05-06,85.95
2016-05-09,86.75
2016-05-10,90.95
2016-05-11,93.75
2016-05-12,91.65
2016-05-13,79.05
2016-05-16,77.35
2016-05-17,78.4
2016-05-18,78.4
2016-05-19,78.35
2016-05-20,77.95
2016-05-23,76.6
2016-05-24,75.25
2016-05-25,74.3
2016-05-26,74.4
2016-05-27,75.35
2016-05-30,75.3
2016-05-31,74.4
2016-06-01,75.2
2016-06-02,76.75
2016-06-03,77.7
2016-06-06,76.1
2016-06-07,75.8
2016-06-08,75.95
2016-06-09,76.5
2016-06-10,75.7
2016-06-13,75.85
2016-06-14,72.85
2016-06-15,74.2
2016-06-16,72.9
2016-06-17,73.5
2016-06-20,72.25
2016-06-21,72.75
2016-06-22,72.4
2016-06-23,71.8
2016-06-24,70.9
2016-06-27,70.6
2016-06-28,74.15
2016-06-29,76.05
2016-06-30,77.65
2016-07-01,77.0
2016-07-04,74.4
2016-07-05,75.55
2016-07-07,75.85
2016-07-08,74.45
2016-07-11,74.7
2016-07-12,82.15
2016-07-13,80.1
2016-07-14,82.15
2016-07-15,82.4
2016-07-18,81.6
2016-07-19,80.25
2016-07-20,84.15
2016-07-21,84.25
2016-07-22,83.55
2016-07-25,81.75
2016-07-26,79.95
2016-07-27,78.65
2016-07-28,85.9
2016-07-29,82.65
2016-08-01,76.25
2016-08-02,76.7
2016-08-03,76.3
2016-08-04,80.35
2016-08-05,81.6
2016-08-08,79.65
2016-08-09,77.9
2016-08-10,78.05
2016-08-11,76.45
2016-08-12,75.9
2016-08-16,75.4
2016-08-17,76.85
2016-08-18,78.05
2016-08-19,77.1
2016-08-22,78.4
2016-08-23,78.35
2016-08-24,77.7
2016-08-25,77.85
2016-08-26,76.75
2016-08-29,78.05
2016-08-30,78.55
2016-08-31,78.5
2016-09-01,80.1
2016-09-02,81.3
2016-09-06,81.05
2016-09-07,79.75
2016-09-08,81.2
2016-09-09,83.0
2016-09-12,80.1
2016-09-14,80.6
2016-09-15,80.9
2016-09-16,80.0
2016-09-19,84.1
2016-09-20,83.45
2016-09-21,83.9
2016-09-22,83.75
2016-09-23,83.7
2016-09-26,82.95
2016-09-27,83.0
2016-09-28,85.7
2016-09-29,78.05
2016-09-30,81.75
2016-10-03,81.5
2016-10-04,81.45
2016-10-05,80.85
2016-10-06,81.15
2016-10-07,82.4
2016-10-10,81.45
2016-10-13,83.05
2016-10-14,82.55
2016-10-17,83.75
2016-10-18,88.2
2016-10-19,90.3
2016-10-20,89.15
2016-10-21,88.65
2016-10-24,89.0
2016-10-25,87.8
2016-10-26,87.95
2016-10-27,89.3
2016-10-28,96.2
2016-10-30,96.95
2016-11-01,95.7
2016-11-02,93.0
2016-11-03,90.6
2016-11-04,94.05
2016-11-07,92.3
2016-11-08,90.35
2016-11-09,90.7
2016-11-10,89.7
2016-11-11,86.8
2016-11-15,82.65
2016-11-16,82.95
2016-11-17,82.65
2016-11-18,83.15
2016-11-21,79.2
2016-11-22,78.75
2016-11-23,79.6
2016-11-24,82.05
2016-11-25,83.05
2016-11-28,81.5
2016-11-29,80.9
2016-11-30,81.8
2016-12-01,80.5
2016-12-02,79.35
2016-12-05,80.8
2016-12-06,81.0
2016-12-07,81.65
2016-12-08,81.4
2016-12-09,81.95
2016-12-12,82.25
2016-12-13,82.2
2016-12-14,81.5
2016-12-15,81.85
2016-12-16,82.2
2016-12-19,81.55
2016-12-20,81.6
2016-12-21,81.3
2016-12-22,80.2
2016-12-23,79.75
2016-12-26,78.2
2016-12-27,79.85
2016-12-28,80.6
2016-12-29,79.35
2016-12-30,80.65
