Date,RUCHISOYA
2016-01-01,30.0
2016-01-04,29.95
2016-01-05,30.5
2016-01-06,31.7
2016-01-07,29.85
2016-01-08,29.95
2016-01-11,29.75
2016-01-12,29.5
2016-01-13,28.2
2016-01-14,27.65
2016-01-15,26.9
2016-01-18,25.85
2016-01-19,26.25
2016-01-20,23.95
2016-01-21,24.55
2016-01-22,23.95
2016-01-25,23.95
2016-01-27,23.95
2016-01-28,24.0
2016-01-29,24.0
2016-02-01,24.05
2016-02-02,23.7
2016-02-03,22.75
2016-02-04,23.2
2016-02-05,24.5
2016-02-08,24.0
2016-02-09,24.1
2016-02-10,23.85
2016-02-11,22.0
2016-02-12,22.95
2016-02-15,24.0
2016-02-16,22.4
2016-02-17,23.65
2016-02-18,23.95
2016-02-19,24.0
2016-02-22,23.95
2016-02-23,23.9
2016-02-24,23.9
2016-02-25,24.1
2016-02-26,24.0
2016-02-29,23.8
2016-03-01,24.85
2016-03-02,24.8
2016-03-03,24.85
2016-03-04,24.9
2016-03-08,26.05
2016-03-09,27.2
2016-03-10,27.55
2016-03-11,28.2
2016-03-14,27.9
2016-03-15,27.8
2016-03-16,28.05
2016-03-17,28.5
2016-03-18,28.55
2016-03-21,29.85
2016-03-22,30.2
2016-03-23,32.25
2016-03-28,31.9
2016-03-29,30.0
2016-03-30,32.15
2016-03-31,32.85
2016-04-01,32.4
2016-04-04,31.3
2016-04-05,29.9
2016-04-06,30.75
2016-04-07,30.0
2016-04-08,30.3
2016-04-11,29.9
2016-04-12,29.6
2016-04-13,29.8
2016-04-18,29.75
2016-04-20,29.1
2016-04-21,29.25
2016-04-22,30.5
2016-04-25,29.65
2016-04-26,29.15
2016-04-27,30.05
2016-04-28,28.6
2016-04-29,28.55
2016-05-02,27.1
2016-05-03,26.3
2016-05-04,24.85
2016-05-05,24.0
2016-05-06,23.95
2016-05-09,23.95
2016-05-10,22.95
2016-05-11,23.9
2016-05-12,23.85
2016-05-13,23.4
2016-05-16,23.25
2016-05-17,23.25
2016-05-18,23.25
2016-05-19,23.05
2016-05-20,22.45
2016-05-23,21.9
2016-05-24,22.1
2016-05-25,22.65
2016-05-26,23.3
2016-05-27,22.2
2016-05-30,22.0
2016-05-31,22.05
2016-06-01,21.55
2016-06-02,22.0
2016-06-03,21.2
2016-06-06,21.05
2016-06-07,20.75
2016-06-08,20.2
2016-06-09,20.35
2016-06-10,20.45
2016-06-13,20.55
2016-06-14,20.9
2016-06-15,21.45
2016-06-16,21.2
2016-06-17,21.2
2016-06-20,22.05
2016-06-21,21.85
2016-06-22,21.55
2016-06-23,21.8
2016-06-24,20.75
2016-06-27,20.95
2016-06-28,21.5
2016-06-29,22.95
2016-06-30,22.5
2016-07-01,22.25
2016-07-04,22.15
2016-07-05,22.35
2016-07-07,22.8
2016-07-08,22.3
2016-07-11,23.35
2016-07-12,23.0
2016-07-13,23.15
2016-07-14,23.35
2016-07-15,22.9
2016-07-18,22.6
2016-07-19,22.2
2016-07-20,22.45
2016-07-21,22.15
2016-07-22,22.95
2016-07-25,24.3
2016-07-26,24.05
2016-07-27,24.15
2016-07-28,23.6
2016-07-29,23.55
2016-08-01,23.75
2016-08-02,22.8
2016-08-03,22.95
2016-08-04,22.85
2016-08-05,23.6
2016-08-08,23.8
2016-08-09,23.8
2016-08-10,23.2
2016-08-11,23.2
2016-08-12,23.0
2016-08-16,22.25
2016-08-17,21.9
2016-08-18,21.9
2016-08-19,21.65
2016-08-22,21.25
2016-08-23,20.55
2016-08-24,20.7
2016-08-25,20.75
2016-08-26,20.6
2016-08-29,20.05
2016-08-30,20.15
2016-08-31,20.3
2016-09-01,19.35
2016-09-02,20.4
2016-09-06,20.85
2016-09-07,20.5
2016-09-08,20.95
2016-09-09,21.4
2016-09-12,20.55
2016-09-14,20.95
2016-09-15,20.6
2016-09-16,20.4
2016-09-19,20.45
2016-09-20,20.9
2016-09-21,20.65
2016-09-22,20.5
2016-09-23,20.65
2016-09-26,20.65
2016-09-27,21.05
2016-09-28,22.25
2016-09-29,20.3
2016-09-30,20.85
2016-10-03,21.85
2016-10-04,21.85
2016-10-05,21.9
2016-10-06,23.7
2016-10-07,23.55
2016-10-10,23.95
2016-10-13,23.15
2016-10-14,23.3
2016-10-17,23.45
2016-10-18,24.0
2016-10-19,23.8
2016-10-20,23.65
2016-10-21,23.35
2016-10-24,23.5
2016-10-25,23.45
2016-10-26,23.1
2016-10-27,22.75
2016-10-28,22.85
2016-10-30,23.05
2016-11-01,23.2
2016-11-02,22.9
2016-11-03,22.85
2016-11-04,22.4
2016-11-07,22.6
2016-11-08,22.85
2016-11-09,21.55
2016-11-10,22.35
2016-11-11,21.3
2016-11-15,20.35
2016-11-16,20.25
2016-11-17,20.3
2016-11-18,20.1
2016-11-21,19.45
2016-11-22,19.05
2016-11-23,19.05
2016-11-24,19.5
2016-11-25,20.0
2016-11-28,20.0
2016-11-29,20.1
2016-11-30,20.65
2016-12-01,19.85
2016-12-02,19.8
2016-12-05,19.8
2016-12-06,19.85
2016-12-07,19.35
2016-12-08,19.55
2016-12-09,19.7
2016-12-12,19.7
2016-12-13,20.05
2016-12-14,19.7
2016-12-15,19.65
2016-12-16,19.75
2016-12-19,19.6
2016-12-20,19.15
2016-12-21,19.15
2016-12-22,19.1
2016-12-23,18.95
2016-12-26,18.8
2016-12-27,18.85
2016-12-28,18.75
2016-12-29,18.95
2016-12-30,18.95
