Date,KELLTONTEC
2016-03-02,186.55
2016-03-03,195.85
2016-03-04,215.4
2016-03-08,227.75
2016-03-09,228.35
2016-03-10,226.85
2016-03-11,229.2
2016-03-14,225.95
2016-03-15,225.6
2016-03-16,224.45
2016-03-17,217.8
2016-03-18,214.2
2016-03-21,216.9
2016-03-22,219.2
2016-03-23,219.0
2016-03-28,216.75
2016-03-29,216.4
2016-03-30,217.65
2016-03-31,214.3
2016-04-01,227.6
2016-04-04,224.55
2016-04-05,220.15
2016-04-06,217.2
2016-04-07,215.05
2016-04-08,214.9
2016-04-11,201.8
2016-04-12,203.25
2016-04-13,207.45
2016-04-18,201.25
2016-04-20,203.7
2016-04-21,203.4
2016-04-22,204.1
2016-04-25,203.5
2016-04-26,202.05
2016-04-27,207.9
2016-04-28,203.8
2016-04-29,202.3
2016-05-02,200.85
2016-05-03,199.85
2016-05-04,195.6
2016-05-05,193.15
2016-05-06,198.95
2016-05-09,204.1
2016-05-10,202.4
2016-05-11,199.8
2016-05-12,199.1
2016-05-13,200.45
2016-05-16,197.55
2016-05-17,195.65
2016-05-18,193.1
2016-05-19,180.2
2016-05-20,173.05
2016-05-23,166.7
2016-05-24,194.1
2016-05-25,189.25
2016-05-26,201.0
2016-05-27,202.9
2016-05-30,191.65
2016-05-31,182.2
2016-06-01,189.3
2016-06-02,184.85
2016-06-03,180.75
2016-06-06,176.5
2016-06-07,176.95
2016-06-08,180.35
2016-06-09,177.7
2016-06-10,175.9
2016-06-13,175.15
2016-06-14,174.7
2016-06-15,173.4
2016-06-16,169.1
2016-06-17,170.65
2016-06-20,172.05
2016-06-21,172.0
2016-06-22,168.7
2016-06-23,167.25
2016-06-24,162.65
2016-06-27,157.9
2016-06-28,148.55
2016-06-29,159.15
2016-06-30,165.95
2016-07-01,166.85
2016-07-04,168.95
2016-07-05,166.1
2016-07-07,165.8
2016-07-08,163.05
2016-07-11,160.45
2016-07-12,164.15
2016-07-13,162.05
2016-07-14,167.0
2016-07-15,165.65
2016-07-18,164.65
2016-07-19,166.0
2016-07-20,164.5
2016-07-21,163.2
2016-07-22,165.75
2016-07-25,165.25
2016-07-26,163.05
2016-07-27,161.45
2016-07-28,162.0
2016-07-29,162.05
2016-08-01,161.8
2016-08-02,161.25
2016-08-03,161.2
2016-08-04,158.35
2016-08-05,163.0
2016-08-08,164.65
2016-08-09,155.35
2016-08-10,150.95
2016-08-11,143.3
2016-08-12,135.0
2016-08-16,138.95
2016-08-17,139.2
2016-08-18,137.15
2016-08-19,136.9
2016-08-22,136.85
2016-08-23,129.0
2016-08-24,128.9
2016-08-25,115.65
2016-08-26,124.2
2016-08-29,120.95
2016-08-30,118.35
2016-08-31,120.35
2016-09-01,116.2
2016-09-02,116.0
2016-09-06,122.0
2016-09-07,120.1
2016-09-08,118.0
2016-09-09,119.45
2016-09-12,117.9
2016-09-14,136.85
2016-09-15,131.7
2016-09-16,130.45
2016-09-19,129.25
2016-09-20,129.1
2016-09-21,128.25
2016-09-22,128.75
2016-09-23,130.75
2016-09-26,126.1
2016-09-27,123.95
2016-09-28,122.4
2016-09-29,114.65
2016-09-30,114.95
2016-10-03,116.85
2016-10-04,115.95
2016-10-05,114.9
2016-10-06,113.95
2016-10-07,112.9
2016-10-10,108.9
2016-10-13,102.1
2016-10-14,101.35
2016-10-17,87.4
2016-10-18,84.25
2016-10-19,101.1
2016-10-20,118.05
2016-10-21,121.6
2016-10-24,116.0
2016-10-25,110.7
2016-10-26,123.75
2016-10-27,122.9
2016-10-28,123.2
2016-10-30,123.6
2016-11-01,119.75
2016-11-02,116.55
2016-11-03,113.2
2016-11-04,105.85
2016-11-07,110.1
2016-11-08,112.2
2016-11-09,105.2
2016-11-10,107.35
2016-11-11,108.1
2016-11-15,101.65
2016-11-16,101.4
2016-11-17,100.8
2016-11-18,101.65
2016-11-21,100.2
2016-11-22,101.4
2016-11-23,110.35
2016-11-24,115.35
2016-11-25,115.4
2016-11-28,120.85
2016-11-29,117.45
2016-11-30,117.8
2016-12-01,112.6
2016-12-02,115.45
2016-12-05,112.15
2016-12-06,111.8
2016-12-07,110.75
2016-12-08,112.0
2016-12-09,112.95
2016-12-12,112.55
2016-12-13,111.7
2016-12-14,110.45
2016-12-15,110.7
2016-12-16,112.0
2016-12-19,112.1
2016-12-20,112.1
2016-12-21,111.85
2016-12-22,112.3
2016-12-23,112.15
2016-12-26,104.85
2016-12-27,109.15
2016-12-28,112.1
2016-12-29,115.15
2016-12-30,115.0
